,Non-plasma B cells,Plasma B cells,CD4 T,CD8 T (GZMK high),CD8 T effector,DC,Endothelial Cells,Cancer Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Double-neg-like T,Monocytes
A1BG,-0.0924207,0.792537,-0.048631,0.016653,0,0.0886959,0,0,0,0,-0.0210148,0.144404,-0.161048,0,-0.0371912,-0.0279959
A2M,-0.135907,-0.128867,-0.13611,-0.134629,0,-0.106137,0.761046,0,0,0.439614,0.141189,-0.134592,-0.134124,0,-0.136772,-0.126801
A4GALT,0.00919681,-0.130077,-0.115696,-0.142604,0,-0.132668,0.626815,0,0,0.510799,-0.132586,-0.137027,-0.12466,0,-0.145175,-0.136804
AADAT,-0.104358,-0.0832289,-0.103622,-0.101703,0,-0.0983122,0,0,0,0,-0.0855038,0.346964,-0.0898607,0,-0.107272,-0.0824283
AAGAB,-0.131968,-0.13362,0.335533,0.00470736,0,-0.117556,0,0,0,0,-0.114701,-0.167162,0.101189,0,-0.0581004,-0.126863
AAK1,-0.366926,-0.23726,0.279631,0.4148,0,-0.220221,0,0,0,0,0.0339663,-0.131441,0.306021,0,0.441424,-0.148855
AAMDC,-0.214594,-0.123931,-0.102569,-0.16732,0,-0.105623,0,0,0,0.459628,-0.00665849,0.0221753,-0.146988,0,-0.186385,-0.134745
AAMP,-0.133068,0.097625,0.129816,-0.132622,0,-0.0473992,0,0,0,0.451379,-0.137469,-0.124512,0.024344,0,-0.190531,-0.125158
AARD,-0.0869607,-0.0705477,-0.0526265,-0.079104,0,-0.0315193,0,0,0,0,-0.0619868,0.693031,-0.00408169,0,-0.0926932,-0.0572056
AARS,-0.13553,0.601101,-0.00753246,-0.140569,0,-0.106817,0,0,0,0,0.030786,-0.0718475,-0.13668,0,-0.163546,-0.222016
AASS,-0.115361,-0.156314,-0.124966,-0.119117,0,-0.139484,0,0,0,0.474342,-0.0099547,-0.0121573,-0.110998,0,-0.133968,-0.142138
