,B Cells_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Fibroblasts_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean
IPIGYN015.T1,43.909,152.889,29.800,91.671,6.891,225.092,155.894,30.431,515.824,380.132,531.274
IPIGYN019.T1,1.052,1.224,23.017,3.034,18.129,145.232,1.000,1.000,384.412,3.043,701.696
IPIGYN021.T1,24.492,365.205,36.703,136.599,13.032,179.425,192.010,1.000,307.688,22.600,394.981
IPIHEP001.T1,1.000,519.393,19.785,33.695,46.937,20.319,53.953,13.952,98.024,815.646,233.259
IPIHNSC021.T1,3.099,291.755,119.879,152.895,72.893,448.440,41.589,3.942,694.156,64.808,334.390
IPIHNSC024.T1,3.262,10.478,3.834,20.806,14.372,211.101,12.087,5.021,14.432,60.217,17.642
IPIKID030.T1,23.825,91.234,173.242,153.195,141.741,2.352,243.971,46.928,4371.239,193.319,56.080
IPIKID031.T1,59.858,572.728,281.676,124.857,83.102,25.448,183.829,7.277,2265.816,105.940,36.394
IPIKID031.T2,4.796,64.837,171.711,179.298,82.979,103.264,544.038,1.002,1107.801,172.873,176.681
IPILUNG021.T1,23.678,256.556,2.623,51.985,21.067,123.381,53.515,9.481,4.139,93.122,592.471
IPILUNG030.T1,241.313,523.762,207.952,405.489,14.850,93.207,106.348,14.662,1379.147,112.254,434.278
IPILUNG030.T2,853.832,768.937,109.780,295.541,6.686,2.227,15.197,13.522,117.872,83.326,7.535
IPIBLAD020.T1,23.069,292.071,28.458,114.394,20.995,192.756,268.401,33.635,194.315,348.669,704.331
IPIBLAD024.T1,7.417,94.187,141.518,176.336,2.658,32.671,55.678,3.602,814.309,383.508,1140.529
IPIBLAD026.T1,15.871,476.168,93.228,66.635,10.722,10.328,189.965,26.913,619.622,44.788,1136.842
IPIBLAD028.T1,17.573,244.300,122.747,141.317,12.686,256.204,84.131,25.190,271.972,340.127,1007.355
IPIBLAD029.T1,29.138,175.792,112.275,275.750,10.872,1.549,270.655,7.235,942.283,750.158,1.500
IPIBLAD030.T1,160.933,380.710,270.768,447.548,9.115,141.381,90.292,44.515,1241.725,259.860,80.440
IPIBLAD032.T1,48.635,510.122,53.057,219.257,44.555,37.986,363.747,33.937,335.739,366.505,224.116
IPIKID067.T1,5.036,87.521,45.939,101.719,35.063,12.980,382.799,24.795,3192.782,74.922,185.090
IPIKID078.T1,14.407,106.031,295.058,207.034,38.878,2.391,827.468,7.458,1065.477,382.878,46.659
IPIKID079.T1,142.935,242.039,321.765,172.257,90.151,6.871,475.662,43.292,1244.465,333.715,15.343
IPILUNG080.T1,46.453,1627.257,278.281,233.152,16.956,12.091,144.561,61.677,625.572,171.889,93.951
IPILUNG081.T1,18.281,133.234,66.603,122.059,15.193,52.972,203.478,52.949,90.978,97.174,603.556
IPILUNG085.T1,32.189,250.186,137.938,199.764,19.052,21.184,78.615,52.846,822.192,145.899,847.434
IPIMEL288.T1,944.033,1620.238,107.389,372.191,3.998,9.416,39.855,1.000,278.301,36.276,1.277
IPIMEL321.T1,1.000,80.694,85.525,98.606,51.629,323.356,127.201,4.588,286.979,74.822,4.268
IPIBLAD019.T1,20.114,197.273,640.696,344.541,19.911,225.314,98.748,29.228,1835.537,163.422,353.358
IPIBLAD034.T1,35.602,155.171,99.049,87.240,18.601,549.186,136.147,28.145,332.414,179.083,773.836
IPIBLAD036.T1,509.609,442.630,641.025,456.405,13.806,25.579,130.189,58.358,1311.188,197.583,36.131
IPIKID106.T1,116.524,280.193,169.272,185.028,421.549,155.613,65.538,13.739,1080.262,35.740,89.269
IPIKID108.T1,58.855,226.042,211.862,138.806,31.620,13.364,230.974,8.923,906.062,237.972,12.453
