,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-OR-A5LO-01A,0.011,0.000,0.001,0.000,0.010,0.006,0.003,0.029,0.051,0.043,0.008,0.001,0.000,0.000,0.001,0.837,0.837
TCGA-P6-A5OG-01A,0.000,0.000,0.011,0.012,0.014,0.000,0.000,0.150,0.096,0.127,0.109,0.000,0.000,0.000,0.001,0.478,0.478
TCGA-OR-A5J6-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.133,0.000,0.018,0.248,0.008,0.000,0.000,0.000,0.591,0.591
TCGA-OR-A5LT-01A,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.005,0.000,0.001,0.030,0.000,0.000,0.000,0.000,0.960,0.960
TCGA-OR-A5JY-01A,0.000,0.001,0.003,0.001,0.000,0.000,0.006,0.058,0.005,0.035,0.067,0.004,0.000,0.000,0.000,0.819,0.819
TCGA-OR-A5JV-01A,0.000,0.000,0.006,0.000,0.020,0.000,0.000,0.057,0.000,0.043,0.349,0.005,0.000,0.000,0.000,0.519,0.519
TCGA-OR-A5JT-01A,0.000,0.000,0.002,0.000,0.008,0.000,0.002,0.058,0.000,0.041,0.036,0.001,0.000,0.000,0.000,0.852,0.852
TCGA-OR-A5KX-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.064,0.025,0.046,0.094,0.002,0.000,0.000,0.000,0.768,0.768
TCGA-OR-A5K3-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.010,0.092,0.000,0.000,0.000,0.000,0.885,0.885
TCGA-OR-A5JZ-01A,0.000,0.000,0.004,0.000,0.005,0.000,0.009,0.067,0.000,0.010,0.057,0.021,0.000,0.000,0.000,0.828,0.828
TCGA-OR-A5LC-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.058,0.072,0.050,0.017,0.001,0.000,0.000,0.000,0.799,0.799
TCGA-OR-A5LH-01A,0.000,0.000,0.005,0.000,0.018,0.000,0.000,0.067,0.000,0.028,0.157,0.006,0.000,0.000,0.000,0.718,0.718
TCGA-OR-A5LM-01A,0.000,0.000,0.005,0.000,0.012,0.000,0.001,0.040,0.000,0.036,0.058,0.012,0.000,0.000,0.000,0.837,0.837
TCGA-OR-A5J5-01A,0.001,0.000,0.000,0.000,0.013,0.000,0.007,0.011,0.010,0.036,0.010,0.002,0.000,0.000,0.000,0.909,0.909
TCGA-P6-A5OF-01A,0.002,0.000,0.001,0.000,0.005,0.000,0.002,0.052,0.051,0.003,0.040,0.006,0.000,0.000,0.000,0.838,0.838
TCGA-OR-A5LD-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.008,0.000,0.004,0.004,0.000,0.000,0.000,0.000,0.981,0.981
TCGA-OR-A5L3-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.008,0.000,0.004,0.016,0.002,0.000,0.000,0.000,0.969,0.969
TCGA-OR-A5LK-01A,0.000,0.000,0.000,0.000,0.019,0.000,0.011,0.029,0.000,0.014,0.192,0.009,0.000,0.000,0.000,0.725,0.725
TCGA-OR-A5LG-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.032,0.078,0.000,0.125,0.000,0.000,0.000,0.000,0.763,0.763
TCGA-OR-A5KO-01A,0.001,0.000,0.001,0.000,0.003,0.000,0.000,0.033,0.011,0.009,0.021,0.004,0.000,0.000,0.000,0.917,0.917
TCGA-OR-A5JJ-01A,0.015,0.000,0.003,0.004,0.011,0.000,0.000,0.027,0.032,0.043,0.035,0.004,0.000,0.000,0.000,0.825,0.825
TCGA-OR-A5JL-01A,0.003,0.000,0.009,0.000,0.010,0.000,0.003,0.081,0.000,0.032,0.095,0.014,0.000,0.000,0.000,0.753,0.753
TCGA-OR-A5KV-01A,0.000,0.000,0.002,0.000,0.017,0.000,0.004,0.025,0.007,0.001,0.024,0.008,0.000,0.000,0.000,0.913,0.913
TCGA-OR-A5JE-01A,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.050,0.037,0.000,0.078,0.002,0.000,0.000,0.000,0.827,0.827
TCGA-PK-A5HB-01A,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.056,0.000,0.106,0.009,0.005,0.000,0.000,0.000,0.822,0.822
TCGA-OR-A5JM-01A,0.001,0.000,0.001,0.000,0.008,0.000,0.002,0.020,0.012,0.001,0.010,0.003,0.000,0.000,0.000,0.942,0.942
TCGA-OR-A5JD-01A,0.000,0.000,0.001,0.000,0.020,0.000,0.005,0.029,0.000,0.040,0.143,0.000,0.000,0.000,0.000,0.761,0.761
TCGA-OR-A5LN-01A,0.000,0.000,0.000,0.000,0.005,0.000,0.001,0.029,0.000,0.002,0.116,0.000,0.000,0.000,0.000,0.846,0.846
TCGA-OR-A5K6-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.044,0.000,0.010,0.101,0.003,0.000,0.000,0.000,0.838,0.838
TCGA-OR-A5JR-01A,0.000,0.000,0.001,0.000,0.017,0.000,0.010,0.048,0.000,0.033,0.095,0.001,0.000,0.000,0.000,0.795,0.795
TCGA-OR-A5L6-01A,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.025,0.000,0.048,0.061,0.010,0.000,0.000,0.000,0.853,0.853
TCGA-OR-A5JI-01A,0.000,0.000,0.001,0.000,0.010,0.000,0.001,0.047,0.121,0.081,0.060,0.000,0.000,0.000,0.000,0.680,0.680
TCGA-OR-A5J2-01A,0.020,0.000,0.006,0.000,0.005,0.000,0.006,0.081,0.038,0.022,0.028,0.001,0.000,0.000,0.000,0.793,0.793
TCGA-OR-A5LL-01A,0.000,0.000,0.001,0.000,0.003,0.000,0.000,0.033,0.004,0.000,0.048,0.001,0.000,0.000,0.000,0.909,0.909
TCGA-OR-A5K1-01A,0.000,0.000,0.001,0.000,0.002,0.000,0.001,0.109,0.000,0.101,0.099,0.020,0.000,0.000,0.000,0.666,0.666
TCGA-PK-A5HA-01A,0.000,0.000,0.003,0.000,0.009,0.000,0.000,0.055,0.000,0.021,0.214,0.000,0.000,0.000,0.000,0.697,0.697
TCGA-OR-A5LR-01A,0.000,0.000,0.001,0.000,0.003,0.000,0.009,0.055,0.035,0.042,0.042,0.012,0.000,0.000,0.000,0.800,0.800
TCGA-OR-A5JX-01A,0.000,0.000,0.001,0.000,0.006,0.000,0.005,0.053,0.013,0.069,0.027,0.000,0.000,0.000,0.000,0.824,0.824
TCGA-OU-A5PI-01A,0.001,0.000,0.001,0.000,0.017,0.000,0.005,0.035,0.051,0.001,0.032,0.001,0.000,0.000,0.000,0.856,0.856
TCGA-OR-A5JA-01A,0.001,0.000,0.009,0.000,0.001,0.000,0.000,0.037,0.025,0.056,0.049,0.016,0.000,0.000,0.000,0.804,0.804
TCGA-OR-A5KY-01A,0.001,0.000,0.001,0.003,0.010,0.000,0.004,0.040,0.051,0.000,0.114,0.004,0.000,0.000,0.000,0.773,0.773
TCGA-OR-A5L9-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.004,0.058,0.095,0.003,0.000,0.000,0.000,0.830,0.830
TCGA-PK-A5H9-01A,0.000,0.000,0.001,0.000,0.001,0.000,0.003,0.168,0.045,0.074,0.123,0.013,0.002,0.000,0.003,0.566,0.566
TCGA-OR-A5JK-01A,0.009,0.000,0.004,0.000,0.045,0.000,0.010,0.027,0.093,0.076,0.157,0.001,0.000,0.000,0.000,0.576,0.576
TCGA-OR-A5LJ-01A,0.000,0.000,0.005,0.004,0.018,0.000,0.006,0.028,0.000,0.031,0.036,0.001,0.000,0.000,0.000,0.871,0.871
TCGA-OR-A5K9-01A,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.036,0.054,0.001,0.032,0.000,0.000,0.000,0.000,0.874,0.874
TCGA-OR-A5LA-01A,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.024,0.037,0.076,0.123,0.025,0.000,0.000,0.000,0.713,0.713
TCGA-OR-A5JP-01A,0.000,0.000,0.001,0.000,0.006,0.000,0.004,0.054,0.041,0.002,0.038,0.001,0.000,0.000,0.000,0.854,0.854
TCGA-OR-A5LE-01A,0.000,0.000,0.003,0.000,0.001,0.000,0.002,0.031,0.000,0.006,0.009,0.001,0.000,0.000,0.000,0.946,0.946
TCGA-OR-A5JB-01A,0.000,0.001,0.007,0.041,0.005,0.000,0.000,0.041,0.001,0.020,0.123,0.000,0.000,0.000,0.000,0.760,0.760
TCGA-OR-A5J3-01A,0.000,0.000,0.003,0.000,0.004,0.000,0.000,0.032,0.010,0.002,0.029,0.007,0.000,0.000,0.000,0.912,0.912
TCGA-OR-A5JQ-01A,0.009,0.000,0.004,0.000,0.030,0.000,0.025,0.068,0.075,0.050,0.089,0.007,0.000,0.000,0.000,0.643,0.643
TCGA-OR-A5J7-01A,0.000,0.000,0.004,0.000,0.005,0.000,0.000,0.061,0.000,0.051,0.025,0.004,0.000,0.000,0.000,0.850,0.850
TCGA-OR-A5KZ-01A,0.000,0.000,0.000,0.002,0.001,0.000,0.002,0.069,0.078,0.049,0.030,0.003,0.000,0.000,0.000,0.767,0.767
TCGA-OR-A5KW-01A,0.000,0.000,0.002,0.002,0.000,0.000,0.002,0.044,0.006,0.000,0.032,0.012,0.000,0.000,0.000,0.897,0.897
