,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-C5-A7UI-01A,0.050,0.003,0.040,0.041,0.001,0.000,0.009,0.041,0.013,0.008,0.010,0.000,0.000,0.011,0.001,0.770,0.770
TCGA-C5-A902-01A,0.000,0.000,0.001,0.115,0.001,0.000,0.013,0.053,0.001,0.000,0.010,0.000,0.007,0.011,0.000,0.787,0.787
TCGA-DS-A1OB-01A,0.000,0.000,0.010,0.003,0.000,0.000,0.001,0.031,0.000,0.001,0.039,0.000,0.000,0.011,0.000,0.903,0.903
TCGA-Q1-A6DW-01A,0.002,0.000,0.001,0.037,0.000,0.000,0.014,0.081,0.006,0.003,0.001,0.001,0.000,0.024,0.000,0.830,0.830
TCGA-EK-A2R7-01A,0.029,0.000,0.019,0.022,0.003,0.000,0.021,0.034,0.027,0.001,0.023,0.001,0.000,0.000,0.000,0.820,0.820
TCGA-C5-A7X8-01A,0.043,0.000,0.008,0.007,0.008,0.000,0.009,0.052,0.186,0.003,0.012,0.004,0.000,0.003,0.000,0.665,0.665
TCGA-Q1-A5R3-01A,0.000,0.001,0.015,0.015,0.007,0.000,0.004,0.025,0.002,0.000,0.002,0.002,0.000,0.002,0.000,0.925,0.925
TCGA-C5-A7X5-01A,0.000,0.000,0.005,0.002,0.000,0.000,0.000,0.025,0.005,0.000,0.002,0.000,0.000,0.007,0.000,0.954,0.954
TCGA-ZJ-A8QR-01A,0.006,0.001,0.001,0.008,0.000,0.000,0.011,0.069,0.023,0.002,0.008,0.004,0.000,0.026,0.001,0.841,0.841
TCGA-HM-A3JK-01A,0.011,0.000,0.017,0.002,0.005,0.000,0.038,0.086,0.202,0.023,0.029,0.006,0.000,0.007,0.000,0.575,0.575
TCGA-EA-A556-01A,0.001,0.000,0.003,0.004,0.009,0.000,0.004,0.022,0.111,0.008,0.005,0.002,0.000,0.000,0.000,0.830,0.830
TCGA-VS-A9V4-01A,0.001,0.000,0.001,0.005,0.000,0.001,0.007,0.012,0.004,0.006,0.003,0.002,0.000,0.004,0.000,0.954,0.954
TCGA-IR-A3L7-01A,0.000,0.000,0.000,0.014,0.000,0.000,0.005,0.023,0.033,0.000,0.001,0.001,0.000,0.011,0.004,0.906,0.906
TCGA-EK-A2RL-01A,0.000,0.000,0.000,0.026,0.000,0.000,0.002,0.016,0.019,0.000,0.007,0.000,0.000,0.000,0.000,0.930,0.930
TCGA-VS-A94X-01A,0.002,0.003,0.007,0.009,0.008,0.000,0.004,0.017,0.000,0.000,0.012,0.001,0.000,0.016,0.000,0.921,0.921
TCGA-VS-A9V3-01A,0.006,0.001,0.014,0.034,0.009,0.000,0.010,0.069,0.004,0.002,0.030,0.004,0.000,0.039,0.000,0.776,0.776
TCGA-EK-A2RO-01A,0.000,0.000,0.001,0.016,0.000,0.000,0.008,0.049,0.081,0.001,0.002,0.000,0.000,0.005,0.000,0.836,0.836
TCGA-JW-A5VJ-01A,0.004,0.001,0.003,0.012,0.012,0.000,0.005,0.038,0.000,0.000,0.015,0.002,0.000,0.023,0.001,0.884,0.884
TCGA-MA-AA42-01A,0.023,0.008,0.062,0.037,0.054,0.000,0.041,0.029,0.000,0.001,0.144,0.000,0.001,0.028,0.001,0.570,0.570
TCGA-C5-A1MK-01A,0.000,0.002,0.017,0.008,0.000,0.000,0.004,0.054,0.078,0.001,0.018,0.004,0.000,0.020,0.003,0.790,0.790
TCGA-UC-A7PG-01A,0.000,0.002,0.005,0.010,0.009,0.004,0.007,0.037,0.027,0.001,0.001,0.003,0.000,0.021,0.005,0.867,0.867
TCGA-VS-A9UH-01A,0.030,0.001,0.046,0.041,0.028,0.000,0.007,0.066,0.045,0.005,0.125,0.001,0.000,0.011,0.001,0.592,0.592
TCGA-4J-AA1J-01A,0.000,0.001,0.011,0.005,0.000,0.000,0.006,0.064,0.052,0.024,0.001,0.005,0.000,0.014,0.006,0.811,0.811
TCGA-C5-A1ME-01A,0.004,0.000,0.004,0.012,0.013,0.000,0.015,0.024,0.016,0.000,0.013,0.004,0.000,0.004,0.002,0.889,0.889
TCGA-C5-A8YR-01A,0.000,0.000,0.008,0.055,0.000,0.000,0.000,0.054,0.032,0.000,0.124,0.000,0.000,0.000,0.000,0.726,0.726
TCGA-EA-A5FO-01A,0.000,0.000,0.001,0.010,0.000,0.000,0.007,0.016,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.960,0.960
TCGA-MA-AA3Z-01A,0.002,0.001,0.021,0.060,0.005,0.000,0.037,0.041,0.000,0.000,0.011,0.001,0.000,0.018,0.000,0.801,0.801
TCGA-C5-A8XJ-01A,0.008,0.003,0.018,0.015,0.016,0.000,0.007,0.066,0.060,0.017,0.015,0.003,0.000,0.006,0.000,0.765,0.765
TCGA-R2-A69V-01A,0.007,0.003,0.026,0.063,0.022,0.000,0.051,0.038,0.021,0.001,0.155,0.002,0.000,0.026,0.002,0.583,0.583
TCGA-C5-A1BM-01A,0.011,0.003,0.015,0.027,0.000,0.000,0.032,0.035,0.000,0.001,0.098,0.000,0.000,0.042,0.000,0.735,0.735
TCGA-ZJ-AAXD-01A,0.003,0.001,0.003,0.018,0.002,0.001,0.005,0.038,0.069,0.022,0.000,0.002,0.000,0.018,0.001,0.818,0.818
TCGA-HM-A4S6-01A,0.001,0.000,0.015,0.050,0.001,0.000,0.033,0.057,0.018,0.007,0.057,0.002,0.000,0.040,0.000,0.719,0.719
TCGA-EA-A5ZF-01A,0.004,0.000,0.001,0.004,0.000,0.000,0.001,0.035,0.071,0.008,0.021,0.003,0.000,0.000,0.000,0.852,0.852
TCGA-C5-A1M6-01A,0.000,0.000,0.000,0.007,0.012,0.000,0.004,0.017,0.038,0.000,0.004,0.002,0.000,0.000,0.001,0.914,0.914
TCGA-DG-A2KK-01A,0.001,0.000,0.001,0.018,0.020,0.000,0.028,0.021,0.018,0.000,0.026,0.001,0.000,0.008,0.001,0.856,0.856
TCGA-HG-A2PA-01A,0.026,0.001,0.016,0.024,0.001,0.000,0.013,0.044,0.051,0.001,0.008,0.007,0.000,0.034,0.005,0.770,0.770
TCGA-VS-A8EH-01A,0.000,0.001,0.005,0.006,0.000,0.000,0.012,0.055,0.000,0.000,0.016,0.003,0.000,0.023,0.000,0.878,0.878
TCGA-FU-A5XV-01A,0.004,0.001,0.007,0.012,0.001,0.000,0.007,0.067,0.015,0.000,0.002,0.008,0.000,0.026,0.004,0.845,0.845
TCGA-C5-A1MF-01A,0.002,0.000,0.003,0.018,0.000,0.000,0.000,0.008,0.027,0.001,0.020,0.001,0.000,0.000,0.000,0.919,0.919
TCGA-EX-A449-01A,0.070,0.000,0.000,0.016,0.000,0.000,0.005,0.013,0.004,0.000,0.011,0.001,0.000,0.000,0.000,0.880,0.880
TCGA-C5-A2LX-01A,0.022,0.000,0.044,0.017,0.045,0.000,0.064,0.017,0.029,0.000,0.033,0.002,0.000,0.000,0.000,0.725,0.725
TCGA-HM-A3JJ-01A,0.009,0.001,0.018,0.011,0.001,0.000,0.052,0.088,0.098,0.009,0.028,0.004,0.000,0.005,0.000,0.675,0.675
TCGA-LP-A4AW-01A,0.004,0.001,0.011,0.000,0.004,0.000,0.009,0.126,0.090,0.066,0.006,0.004,0.000,0.009,0.001,0.669,0.669
TCGA-C5-A8XH-01A,0.000,0.001,0.026,0.028,0.001,0.000,0.019,0.058,0.017,0.000,0.041,0.001,0.000,0.011,0.000,0.797,0.797
TCGA-EK-A2RE-01A,0.000,0.000,0.011,0.002,0.000,0.000,0.004,0.067,0.007,0.003,0.000,0.003,0.000,0.018,0.005,0.879,0.879
TCGA-EK-A2RC-01A,0.011,0.001,0.006,0.048,0.007,0.000,0.016,0.060,0.055,0.000,0.035,0.002,0.000,0.022,0.000,0.735,0.735
TCGA-EA-A3HU-01A,0.036,0.000,0.027,0.161,0.001,0.000,0.015,0.062,0.005,0.001,0.057,0.000,0.011,0.017,0.000,0.606,0.606
