,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-4T-AA8H-01A,0.007,0.000,0.001,0.001,0.001,0.000,0.012,0.006,0.000,0.001,0.004,0.000,0.000,0.000,0.000,0.967,0.967
TCGA-AA-A00Q-01A,0.001,0.000,0.006,0.005,0.001,0.000,0.014,0.030,0.025,0.005,0.024,0.000,0.000,0.000,0.000,0.889,0.889
TCGA-AZ-4614-01A,0.000,0.000,0.003,0.008,0.002,0.000,0.003,0.014,0.001,0.000,0.003,0.000,0.000,0.000,0.000,0.966,0.966
TCGA-A6-2675-01A,0.008,0.001,0.021,0.000,0.001,0.000,0.011,0.053,0.124,0.017,0.069,0.004,0.000,0.001,0.000,0.690,0.690
TCGA-AA-A00U-01A,0.000,0.000,0.005,0.004,0.001,0.000,0.009,0.018,0.010,0.010,0.008,0.000,0.000,0.000,0.000,0.934,0.934
TCGA-A6-6781-01A,0.006,0.001,0.004,0.013,0.013,0.001,0.002,0.056,0.213,0.012,0.083,0.005,0.000,0.016,0.001,0.574,0.574
TCGA-CM-6169-01A,0.016,0.001,0.031,0.010,0.001,0.001,0.032,0.101,0.131,0.026,0.080,0.005,0.000,0.002,0.000,0.563,0.563
TCGA-AA-3516-01A,0.005,0.001,0.010,0.013,0.011,0.000,0.023,0.031,0.022,0.005,0.022,0.002,0.000,0.000,0.000,0.856,0.856
TCGA-AA-3552-01A,0.035,0.000,0.018,0.001,0.008,0.000,0.035,0.033,0.020,0.020,0.049,0.004,0.001,0.002,0.000,0.774,0.774
TCGA-D5-6931-01A,0.026,0.001,0.023,0.002,0.006,0.000,0.014,0.027,0.057,0.001,0.042,0.007,0.000,0.001,0.000,0.792,0.792
TCGA-SS-A7HO-01A,0.001,0.000,0.000,0.004,0.000,0.000,0.005,0.031,0.005,0.007,0.007,0.000,0.000,0.000,0.000,0.940,0.940
TCGA-AZ-6605-01A,0.023,0.001,0.029,0.003,0.001,0.000,0.015,0.073,0.204,0.021,0.058,0.005,0.000,0.000,0.000,0.566,0.566
TCGA-CA-6717-01A,0.017,0.015,0.024,0.004,0.008,0.001,0.031,0.059,0.094,0.030,0.068,0.007,0.000,0.000,0.000,0.643,0.643
TCGA-NH-A8F7-01A,0.000,0.000,0.000,0.002,0.000,0.000,0.006,0.010,0.000,0.008,0.005,0.000,0.000,0.000,0.000,0.969,0.969
TCGA-AD-6965-01A,0.000,0.001,0.006,0.007,0.003,0.000,0.004,0.035,0.031,0.013,0.012,0.003,0.000,0.000,0.000,0.885,0.885
TCGA-AA-A02H-01A,0.007,0.000,0.003,0.003,0.000,0.000,0.012,0.027,0.033,0.005,0.015,0.000,0.000,0.000,0.000,0.894,0.894
TCGA-AA-A022-01A,0.019,0.000,0.009,0.044,0.035,0.000,0.028,0.024,0.030,0.001,0.048,0.000,0.000,0.000,0.000,0.761,0.761
TCGA-AA-3680-01A,0.020,0.000,0.015,0.008,0.001,0.001,0.022,0.028,0.010,0.014,0.033,0.004,0.000,0.000,0.000,0.843,0.843
TCGA-A6-6650-01A,0.012,0.000,0.002,0.002,0.000,0.001,0.005,0.026,0.001,0.010,0.016,0.005,0.000,0.000,0.000,0.920,0.920
TCGA-G4-6311-01A,0.006,0.023,0.009,0.001,0.000,0.000,0.004,0.025,0.091,0.002,0.044,0.004,0.000,0.000,0.000,0.790,0.790
TCGA-A6-2677-01B,0.006,0.012,0.003,0.008,0.000,0.019,0.012,0.068,0.059,0.027,0.011,0.013,0.000,0.008,0.000,0.753,0.753
TCGA-AA-3815-01A,0.010,0.000,0.017,0.032,0.020,0.000,0.020,0.023,0.023,0.006,0.075,0.002,0.000,0.005,0.000,0.766,0.766
TCGA-CK-4951-01A,0.000,0.000,0.030,0.012,0.001,0.000,0.014,0.033,0.084,0.003,0.052,0.002,0.000,0.006,0.000,0.761,0.761
TCGA-CK-6748-01A,0.000,0.000,0.013,0.001,0.000,0.000,0.015,0.038,0.155,0.012,0.054,0.001,0.000,0.000,0.000,0.710,0.710
TCGA-CA-5255-01A,0.000,0.000,0.005,0.000,0.000,0.000,0.006,0.002,0.001,0.004,0.009,0.005,0.000,0.000,0.000,0.968,0.968
TCGA-CK-4952-01A,0.000,0.000,0.001,0.002,0.000,0.000,0.002,0.019,0.016,0.001,0.007,0.002,0.000,0.001,0.000,0.948,0.948
TCGA-AZ-4315-01A,0.000,0.000,0.004,0.007,0.001,0.000,0.004,0.015,0.026,0.009,0.045,0.001,0.000,0.000,0.000,0.888,0.888
TCGA-AA-3869-01A,0.001,0.000,0.013,0.011,0.001,0.000,0.016,0.026,0.026,0.011,0.056,0.002,0.000,0.002,0.001,0.835,0.835
TCGA-G4-6626-01A,0.000,0.000,0.003,0.005,0.002,0.000,0.006,0.018,0.004,0.007,0.006,0.001,0.000,0.000,0.000,0.948,0.948
TCGA-DM-A1D7-01A,0.001,0.000,0.004,0.004,0.000,0.000,0.007,0.022,0.005,0.005,0.015,0.000,0.000,0.000,0.000,0.937,0.937
TCGA-AA-3531-01A,0.003,0.000,0.005,0.004,0.000,0.000,0.012,0.020,0.026,0.001,0.012,0.000,0.000,0.000,0.000,0.917,0.917
TCGA-A6-5662-01A,0.000,0.000,0.001,0.004,0.000,0.000,0.005,0.039,0.051,0.012,0.018,0.001,0.000,0.000,0.000,0.868,0.868
TCGA-CM-4744-01A,0.000,0.000,0.004,0.018,0.007,0.000,0.004,0.009,0.000,0.002,0.011,0.000,0.000,0.000,0.000,0.943,0.943
TCGA-D5-5540-01A,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.008,0.028,0.002,0.009,0.001,0.000,0.000,0.000,0.941,0.941
TCGA-AZ-6608-01A,0.000,0.000,0.002,0.002,0.000,0.000,0.005,0.008,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.980,0.980
TCGA-AA-3518-01A,0.014,0.000,0.011,0.014,0.010,0.000,0.009,0.019,0.012,0.006,0.039,0.001,0.000,0.001,0.000,0.865,0.865
TCGA-CM-5863-01A,0.003,0.000,0.003,0.005,0.003,0.000,0.006,0.033,0.089,0.010,0.057,0.003,0.000,0.000,0.000,0.786,0.786
TCGA-A6-5666-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.024,0.003,0.003,0.004,0.000,0.000,0.000,0.000,0.960,0.960
TCGA-DM-A280-01A,0.000,0.000,0.003,0.001,0.000,0.000,0.001,0.014,0.030,0.007,0.020,0.001,0.000,0.000,0.000,0.922,0.922
TCGA-AA-3973-01A,0.000,0.001,0.007,0.005,0.004,0.000,0.006,0.026,0.041,0.011,0.012,0.001,0.000,0.000,0.000,0.887,0.887
TCGA-CM-4748-01A,0.008,0.006,0.013,0.004,0.000,0.008,0.015,0.042,0.048,0.017,0.039,0.011,0.001,0.000,0.001,0.785,0.785
