,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-CV-5442-01A,0.000,0.000,0.000,0.009,0.000,0.000,0.006,0.015,0.000,0.000,0.000,0.000,0.000,0.014,0.006,0.950,0.950
TCGA-CR-7392-01A,0.045,0.008,0.045,0.001,0.021,0.000,0.027,0.098,0.175,0.037,0.043,0.004,0.000,0.022,0.014,0.458,0.458
TCGA-UF-A71A-01A,0.000,0.002,0.003,0.001,0.001,0.000,0.007,0.045,0.110,0.024,0.026,0.003,0.000,0.004,0.000,0.773,0.773
TCGA-CN-A642-01A,0.000,0.000,0.006,0.040,0.001,0.000,0.020,0.044,0.036,0.003,0.034,0.001,0.000,0.004,0.000,0.811,0.811
TCGA-CV-A45U-01A,0.003,0.000,0.019,0.010,0.014,0.000,0.008,0.021,0.030,0.000,0.005,0.003,0.000,0.015,0.001,0.869,0.869
TCGA-CN-6012-01A,0.033,0.009,0.021,0.002,0.009,0.000,0.019,0.057,0.048,0.003,0.040,0.002,0.000,0.035,0.001,0.721,0.721
TCGA-CV-A45W-01A,0.096,0.006,0.024,0.001,0.022,0.000,0.014,0.050,0.054,0.019,0.074,0.004,0.001,0.008,0.002,0.627,0.627
TCGA-CV-A6K0-01B,0.001,0.000,0.048,0.000,0.017,0.001,0.071,0.084,0.133,0.031,0.023,0.004,0.000,0.023,0.001,0.563,0.563
TCGA-QK-A6VB-01A,0.000,0.001,0.003,0.000,0.000,0.000,0.003,0.033,0.039,0.006,0.004,0.003,0.000,0.018,0.000,0.890,0.890
TCGA-CV-6959-01A,0.008,0.004,0.015,0.004,0.001,0.000,0.020,0.111,0.046,0.036,0.030,0.003,0.000,0.017,0.017,0.686,0.686
TCGA-HD-7832-01A,0.000,0.001,0.014,0.021,0.000,0.000,0.000,0.039,0.011,0.000,0.020,0.001,0.000,0.016,0.000,0.877,0.877
TCGA-CV-7255-01A,0.000,0.001,0.008,0.000,0.000,0.000,0.003,0.040,0.041,0.022,0.001,0.003,0.000,0.009,0.002,0.870,0.870
TCGA-CR-5243-01A,0.032,0.001,0.044,0.014,0.022,0.000,0.022,0.066,0.102,0.007,0.005,0.004,0.000,0.018,0.002,0.663,0.663
TCGA-P3-A6T5-01A,0.001,0.000,0.020,0.007,0.001,0.000,0.012,0.037,0.064,0.001,0.004,0.002,0.000,0.020,0.004,0.827,0.827
TCGA-CV-6952-01A,0.005,0.002,0.025,0.012,0.007,0.001,0.015,0.063,0.023,0.027,0.005,0.002,0.000,0.021,0.006,0.787,0.787
TCGA-D6-A6ES-01A,0.000,0.000,0.006,0.000,0.000,0.000,0.004,0.023,0.000,0.000,0.007,0.001,0.000,0.010,0.002,0.946,0.946
TCGA-CN-5366-01A,0.000,0.002,0.012,0.017,0.008,0.000,0.002,0.081,0.099,0.021,0.030,0.001,0.000,0.008,0.000,0.718,0.718
TCGA-CQ-6223-01A,0.004,0.000,0.011,0.006,0.023,0.000,0.010,0.033,0.000,0.001,0.018,0.003,0.000,0.034,0.009,0.848,0.848
TCGA-F7-7848-01A,0.019,0.002,0.025,0.000,0.011,0.000,0.022,0.093,0.060,0.006,0.008,0.002,0.000,0.023,0.022,0.706,0.706
TCGA-CV-A6JM-01A,0.006,0.000,0.008,0.000,0.004,0.000,0.002,0.031,0.000,0.003,0.026,0.000,0.000,0.000,0.001,0.918,0.918
TCGA-CN-5359-01A,0.005,0.002,0.037,0.003,0.026,0.004,0.023,0.067,0.176,0.017,0.072,0.004,0.000,0.037,0.009,0.518,0.518
TCGA-P3-A5QA-01A,0.004,0.000,0.011,0.002,0.000,0.001,0.007,0.040,0.185,0.019,0.003,0.001,0.000,0.002,0.000,0.725,0.725
TCGA-CN-4734-01A,0.000,0.006,0.026,0.041,0.005,0.000,0.024,0.061,0.045,0.016,0.014,0.003,0.000,0.019,0.009,0.732,0.732
TCGA-CV-6441-01A,0.000,0.000,0.002,0.002,0.000,0.000,0.012,0.021,0.031,0.010,0.006,0.000,0.000,0.013,0.000,0.902,0.902
TCGA-CV-A6JY-01A,0.007,0.000,0.007,0.002,0.001,0.003,0.007,0.065,0.000,0.009,0.002,0.006,0.000,0.024,0.004,0.864,0.864
TCGA-D6-6825-01A,0.001,0.001,0.055,0.020,0.026,0.000,0.027,0.089,0.052,0.015,0.048,0.003,0.000,0.034,0.002,0.627,0.627
TCGA-CR-5247-01A,0.001,0.000,0.005,0.001,0.000,0.000,0.004,0.038,0.216,0.001,0.005,0.002,0.000,0.000,0.000,0.728,0.728
TCGA-CV-7410-01A,0.014,0.153,0.075,0.001,0.017,0.012,0.055,0.114,0.071,0.027,0.033,0.003,0.000,0.021,0.005,0.398,0.398
TCGA-CV-7091-01A,0.001,0.001,0.021,0.010,0.001,0.000,0.021,0.052,0.075,0.008,0.008,0.002,0.000,0.011,0.001,0.788,0.788
TCGA-BA-5153-01A,0.031,0.001,0.046,0.065,0.010,0.000,0.046,0.052,0.026,0.002,0.020,0.002,0.001,0.016,0.000,0.680,0.680
TCGA-CV-7428-01A,0.000,0.004,0.015,0.028,0.009,0.000,0.025,0.062,0.034,0.016,0.022,0.001,0.000,0.037,0.004,0.745,0.745
TCGA-CX-7086-01A,0.003,0.001,0.010,0.004,0.006,0.000,0.012,0.078,0.002,0.007,0.001,0.002,0.000,0.033,0.018,0.821,0.821
TCGA-CN-5364-01A,0.000,0.001,0.013,0.009,0.000,0.000,0.021,0.067,0.040,0.012,0.040,0.002,0.000,0.027,0.001,0.767,0.767
TCGA-BA-A6DB-01A,0.005,0.001,0.040,0.000,0.034,0.001,0.056,0.062,0.085,0.028,0.029,0.005,0.001,0.024,0.007,0.623,0.623
TCGA-CQ-5325-01A,0.063,0.000,0.047,0.029,0.034,0.000,0.047,0.073,0.095,0.032,0.060,0.004,0.000,0.030,0.014,0.473,0.473
TCGA-CN-4731-01A,0.002,0.001,0.008,0.006,0.000,0.000,0.030,0.045,0.152,0.000,0.008,0.003,0.003,0.012,0.000,0.730,0.730
TCGA-CV-7427-01A,0.000,0.003,0.042,0.029,0.021,0.000,0.052,0.103,0.005,0.001,0.035,0.001,0.000,0.043,0.006,0.659,0.659
TCGA-CR-6467-01A,0.025,0.047,0.037,0.030,0.037,0.000,0.056,0.046,0.025,0.004,0.028,0.001,0.000,0.004,0.000,0.658,0.658
TCGA-CV-7183-01A,0.000,0.001,0.004,0.004,0.000,0.000,0.005,0.071,0.032,0.011,0.000,0.004,0.000,0.011,0.008,0.847,0.847
TCGA-CV-A6JN-01A,0.000,0.000,0.012,0.011,0.001,0.000,0.012,0.048,0.000,0.002,0.001,0.001,0.000,0.015,0.001,0.895,0.895
TCGA-D6-A6EN-01A,0.000,0.001,0.023,0.029,0.015,0.000,0.009,0.042,0.000,0.000,0.049,0.001,0.000,0.000,0.001,0.829,0.829
TCGA-CQ-A4C7-01A,0.000,0.002,0.021,0.003,0.003,0.000,0.007,0.077,0.155,0.022,0.012,0.001,0.000,0.007,0.000,0.691,0.691
TCGA-CV-5435-01A,0.000,0.005,0.005,0.000,0.000,0.000,0.010,0.040,0.084,0.010,0.013,0.000,0.000,0.000,0.000,0.833,0.833
TCGA-CR-7370-01A,0.009,0.008,0.012,0.002,0.003,0.000,0.006,0.045,0.089,0.014,0.030,0.006,0.000,0.013,0.001,0.762,0.762
TCGA-CN-4722-01A,0.010,0.010,0.015,0.001,0.010,0.003,0.008,0.100,0.074,0.033,0.002,0.005,0.000,0.011,0.013,0.705,0.705
TCGA-F7-8489-01A,0.014,0.001,0.046,0.023,0.006,0.000,0.060,0.107,0.035,0.001,0.024,0.000,0.000,0.028,0.000,0.656,0.656
TCGA-CV-A6K2-01A,0.000,0.000,0.008,0.012,0.000,0.000,0.010,0.054,0.048,0.000,0.025,0.000,0.000,0.022,0.001,0.820,0.820
TCGA-HD-8634-01A,0.000,0.002,0.012,0.005,0.000,0.000,0.013,0.058,0.000,0.011,0.001,0.003,0.000,0.018,0.005,0.872,0.872
TCGA-CN-6994-01A,0.000,0.000,0.014,0.004,0.001,0.000,0.013,0.046,0.128,0.000,0.043,0.003,0.000,0.015,0.000,0.730,0.730
TCGA-D6-A4Z9-01A,0.001,0.002,0.012,0.009,0.001,0.000,0.009,0.076,0.036,0.005,0.004,0.002,0.000,0.016,0.006,0.821,0.821
TCGA-CR-7376-01A,0.014,0.001,0.049,0.019,0.028,0.000,0.032,0.095,0.292,0.029,0.142,0.007,0.000,0.031,0.008,0.252,0.252
TCGA-CR-7391-01A,0.013,0.001,0.044,0.003,0.022,0.001,0.043,0.107,0.098,0.039,0.028,0.006,0.000,0.028,0.016,0.552,0.552
TCGA-T2-A6X2-01A,0.000,0.001,0.010,0.042,0.004,0.000,0.013,0.066,0.053,0.000,0.016,0.000,0.000,0.008,0.001,0.786,0.786
TCGA-BA-4074-01A,0.000,0.000,0.014,0.000,0.000,0.000,0.004,0.043,0.122,0.003,0.004,0.004,0.000,0.000,0.000,0.805,0.805
TCGA-CN-6022-01A,0.001,0.002,0.029,0.000,0.003,0.000,0.030,0.066,0.177,0.023,0.076,0.003,0.000,0.008,0.002,0.580,0.580
TCGA-CN-A6V3-01A,0.019,0.001,0.017,0.033,0.001,0.000,0.016,0.065,0.013,0.001,0.014,0.001,0.000,0.023,0.002,0.794,0.794
TCGA-QK-A8Z7-01A,0.005,0.001,0.014,0.000,0.003,0.001,0.005,0.035,0.044,0.007,0.005,0.005,0.000,0.006,0.000,0.869,0.869
TCGA-CN-A497-01A,0.008,0.003,0.017,0.004,0.007,0.000,0.026,0.063,0.063,0.006,0.007,0.002,0.000,0.000,0.001,0.792,0.792
TCGA-F7-A50G-01A,0.001,0.002,0.020,0.016,0.021,0.000,0.034,0.091,0.029,0.014,0.020,0.004,0.000,0.028,0.009,0.711,0.711
TCGA-IQ-A61I-01A,0.021,0.001,0.044,0.015,0.001,0.000,0.022,0.029,0.009,0.003,0.014,0.000,0.000,0.029,0.006,0.807,0.807
TCGA-CR-7373-01A,0.005,0.004,0.045,0.014,0.029,0.000,0.018,0.079,0.018,0.004,0.031,0.002,0.000,0.019,0.000,0.731,0.731
TCGA-CN-A63T-01A,0.007,0.002,0.023,0.012,0.008,0.000,0.014,0.043,0.036,0.014,0.040,0.002,0.000,0.010,0.017,0.774,0.774
TCGA-CN-6019-01A,0.008,0.007,0.018,0.000,0.007,0.000,0.023,0.058,0.366,0.019,0.150,0.006,0.000,0.013,0.000,0.323,0.323
TCGA-CR-7386-01A,0.002,0.001,0.036,0.002,0.017,0.000,0.042,0.083,0.312,0.027,0.073,0.003,0.000,0.024,0.001,0.377,0.377
TCGA-HD-A6HZ-01A,0.028,0.001,0.045,0.001,0.012,0.001,0.033,0.072,0.083,0.027,0.041,0.005,0.000,0.020,0.021,0.611,0.611
TCGA-QK-A6IH-01A,0.000,0.000,0.004,0.005,0.005,0.000,0.002,0.036,0.044,0.000,0.006,0.000,0.000,0.005,0.002,0.890,0.890
TCGA-CN-6011-01A,0.000,0.004,0.001,0.017,0.021,0.000,0.004,0.042,0.027,0.000,0.005,0.001,0.000,0.015,0.008,0.856,0.856
TCGA-CR-6474-01A,0.008,0.003,0.023,0.000,0.002,0.000,0.021,0.077,0.311,0.025,0.019,0.003,0.000,0.010,0.002,0.498,0.498
