,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-55-8508-01A,0.138,0.014,0.019,0.003,0.001,0.000,0.015,0.035,0.100,0.018,0.052,0.001,0.005,0.019,0.000,0.581,0.581
TCGA-67-3771-01A,0.050,0.005,0.016,0.002,0.017,0.001,0.014,0.040,0.079,0.023,0.164,0.002,0.000,0.011,0.001,0.575,0.575
TCGA-55-A4DG-01A,0.042,0.049,0.014,0.001,0.035,0.005,0.048,0.027,0.061,0.020,0.068,0.008,0.000,0.011,0.000,0.610,0.610
TCGA-91-7771-01A,0.032,0.014,0.032,0.006,0.023,0.010,0.038,0.092,0.092,0.044,0.141,0.005,0.000,0.006,0.000,0.465,0.465
TCGA-91-6849-01A,0.070,0.011,0.007,0.001,0.014,0.000,0.018,0.059,0.040,0.007,0.097,0.002,0.000,0.012,0.000,0.663,0.663
TCGA-64-5781-01A,0.047,0.000,0.019,0.040,0.001,0.000,0.001,0.021,0.126,0.008,0.033,0.001,0.000,0.014,0.000,0.690,0.690
TCGA-44-6146-01B,0.004,0.010,0.003,0.001,0.002,0.016,0.012,0.017,0.096,0.024,0.009,0.018,0.000,0.015,0.000,0.772,0.772
TCGA-97-7552-01A,0.042,0.055,0.036,0.019,0.037,0.001,0.039,0.085,0.065,0.023,0.111,0.008,0.002,0.016,0.000,0.460,0.460
TCGA-80-5608-01A,0.017,0.000,0.012,0.010,0.000,0.000,0.012,0.031,0.027,0.023,0.057,0.001,0.003,0.015,0.000,0.791,0.791
TCGA-91-6829-01A,0.004,0.005,0.010,0.000,0.007,0.001,0.005,0.077,0.257,0.032,0.079,0.008,0.000,0.001,0.000,0.513,0.513
TCGA-49-AARE-01A,0.022,0.007,0.010,0.006,0.005,0.001,0.017,0.012,0.073,0.011,0.072,0.002,0.000,0.012,0.001,0.750,0.750
TCGA-97-A4M1-01A,0.002,0.001,0.008,0.000,0.013,0.000,0.080,0.123,0.050,0.029,0.118,0.011,0.004,0.001,0.000,0.560,0.560
TCGA-83-5908-01A,0.001,0.001,0.035,0.085,0.022,0.000,0.040,0.059,0.066,0.014,0.088,0.003,0.000,0.002,0.000,0.582,0.582
TCGA-97-8179-01A,0.000,0.001,0.007,0.006,0.002,0.000,0.033,0.070,0.046,0.042,0.074,0.007,0.000,0.002,0.000,0.710,0.710
TCGA-64-1680-01A,0.009,0.000,0.006,0.006,0.000,0.000,0.017,0.018,0.034,0.009,0.045,0.008,0.000,0.003,0.000,0.844,0.844
TCGA-73-4670-01A,0.021,0.001,0.002,0.005,0.000,0.000,0.000,0.024,0.086,0.017,0.040,0.000,0.000,0.009,0.000,0.793,0.793
TCGA-44-3396-01A,0.048,0.001,0.026,0.002,0.023,0.000,0.036,0.056,0.165,0.014,0.142,0.004,0.000,0.018,0.002,0.463,0.463
TCGA-80-5611-01A,0.006,0.000,0.018,0.009,0.008,0.000,0.001,0.011,0.033,0.000,0.241,0.003,0.000,0.002,0.001,0.667,0.667
TCGA-53-7624-01A,0.016,0.001,0.023,0.012,0.011,0.001,0.007,0.031,0.035,0.003,0.080,0.002,0.000,0.009,0.000,0.769,0.769
TCGA-91-6835-01A,0.007,0.051,0.041,0.002,0.049,0.005,0.047,0.069,0.076,0.024,0.182,0.009,0.001,0.015,0.000,0.422,0.422
TCGA-L9-A50W-01A,0.019,0.000,0.020,0.001,0.000,0.001,0.053,0.038,0.061,0.013,0.089,0.013,0.001,0.001,0.000,0.690,0.690
TCGA-86-7713-01A,0.016,0.010,0.006,0.001,0.003,0.000,0.008,0.043,0.010,0.035,0.021,0.003,0.000,0.009,0.000,0.835,0.835
TCGA-50-5044-01A,0.017,0.002,0.027,0.013,0.001,0.000,0.035,0.092,0.113,0.020,0.054,0.004,0.000,0.000,0.000,0.621,0.621
