,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-94-7943-01A,0.010,0.000,0.013,0.000,0.013,0.000,0.014,0.013,0.043,0.014,0.062,0.005,0.000,0.009,0.001,0.801,0.801
TCGA-68-8251-01A,0.008,0.010,0.028,0.005,0.019,0.001,0.028,0.042,0.132,0.001,0.056,0.002,0.000,0.001,0.000,0.668,0.668
TCGA-33-A5GW-01A,0.000,0.001,0.004,0.000,0.000,0.000,0.005,0.034,0.001,0.007,0.016,0.002,0.000,0.012,0.002,0.916,0.916
TCGA-85-8070-01A,0.018,0.000,0.003,0.003,0.004,0.000,0.004,0.014,0.009,0.013,0.009,0.000,0.000,0.002,0.000,0.921,0.921
TCGA-85-8479-01A,0.000,0.000,0.002,0.002,0.011,0.000,0.008,0.047,0.006,0.005,0.001,0.003,0.000,0.015,0.001,0.898,0.898
TCGA-22-5482-01A,0.008,0.000,0.008,0.002,0.001,0.000,0.010,0.030,0.078,0.004,0.028,0.001,0.000,0.004,0.001,0.825,0.825
TCGA-21-1077-01A,0.039,0.002,0.015,0.000,0.002,0.000,0.018,0.031,0.092,0.010,0.053,0.003,0.000,0.010,0.002,0.723,0.723
TCGA-43-6773-01A,0.095,0.028,0.022,0.003,0.015,0.001,0.010,0.100,0.175,0.039,0.131,0.002,0.000,0.013,0.001,0.366,0.366
TCGA-34-8455-01A,0.016,0.002,0.011,0.002,0.005,0.000,0.000,0.073,0.137,0.031,0.031,0.002,0.000,0.011,0.000,0.679,0.679
TCGA-85-7950-01A,0.004,0.012,0.074,0.002,0.017,0.001,0.020,0.056,0.203,0.002,0.033,0.004,0.000,0.005,0.002,0.566,0.566
TCGA-60-2715-01A,0.014,0.008,0.029,0.000,0.013,0.001,0.049,0.123,0.202,0.031,0.151,0.009,0.001,0.013,0.004,0.353,0.353
TCGA-85-A5B5-01A,0.007,0.006,0.008,0.000,0.002,0.000,0.012,0.015,0.083,0.000,0.040,0.001,0.000,0.000,0.000,0.826,0.826
TCGA-33-4583-01A,0.000,0.000,0.007,0.021,0.001,0.000,0.001,0.007,0.007,0.003,0.022,0.001,0.000,0.014,0.011,0.905,0.905
TCGA-60-2725-01A,0.023,0.008,0.030,0.003,0.015,0.000,0.027,0.073,0.128,0.019,0.140,0.005,0.001,0.012,0.021,0.495,0.495
TCGA-85-8072-01A,0.019,0.010,0.009,0.008,0.016,0.000,0.017,0.042,0.042,0.001,0.086,0.003,0.000,0.010,0.000,0.739,0.739
TCGA-22-4601-01A,0.011,0.007,0.013,0.001,0.014,0.000,0.011,0.044,0.022,0.006,0.052,0.003,0.000,0.004,0.000,0.813,0.813
