,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-IB-AAUW-01A,0.010,0.018,0.008,0.000,0.008,0.004,0.028,0.093,0.188,0.050,0.063,0.016,0.000,0.004,0.000,0.510,0.510
TCGA-LB-A8F3-01A,0.000,0.000,0.010,0.000,0.000,0.000,0.004,0.046,0.187,0.005,0.025,0.001,0.000,0.001,0.000,0.719,0.719
TCGA-HV-A5A5-01A,0.004,0.001,0.024,0.000,0.002,0.001,0.022,0.083,0.242,0.027,0.100,0.007,0.000,0.003,0.000,0.483,0.483
TCGA-US-A77E-01A,0.000,0.003,0.005,0.000,0.000,0.000,0.003,0.042,0.322,0.001,0.047,0.002,0.000,0.004,0.000,0.572,0.572
TCGA-3A-A9IX-01A,0.007,0.020,0.023,0.000,0.011,0.012,0.056,0.066,0.336,0.019,0.058,0.011,0.000,0.004,0.002,0.374,0.374
TCGA-HZ-A4BH-01A,0.003,0.017,0.027,0.000,0.008,0.002,0.028,0.122,0.267,0.038,0.059,0.009,0.000,0.006,0.000,0.414,0.414
TCGA-HZ-A49G-01A,0.004,0.001,0.012,0.000,0.009,0.001,0.039,0.047,0.259,0.006,0.134,0.009,0.000,0.007,0.001,0.470,0.470
TCGA-IB-8126-01A,0.014,0.016,0.012,0.000,0.023,0.017,0.030,0.102,0.272,0.027,0.067,0.006,0.000,0.003,0.000,0.413,0.413
TCGA-FB-A5VM-01A,0.003,0.001,0.016,0.000,0.004,0.000,0.033,0.097,0.212,0.017,0.073,0.003,0.000,0.002,0.000,0.537,0.537
TCGA-HV-AA8V-01A,0.006,0.006,0.007,0.000,0.004,0.000,0.011,0.034,0.489,0.003,0.103,0.006,0.000,0.004,0.000,0.325,0.325
TCGA-IB-7891-01A,0.020,0.001,0.027,0.000,0.008,0.001,0.049,0.052,0.277,0.019,0.111,0.009,0.000,0.005,0.000,0.421,0.421
TCGA-FB-A545-01A,0.002,0.003,0.005,0.000,0.000,0.001,0.005,0.070,0.241,0.001,0.006,0.007,0.000,0.002,0.000,0.657,0.657
TCGA-FB-A7DR-01A,0.004,0.005,0.007,0.000,0.005,0.000,0.011,0.086,0.315,0.099,0.078,0.008,0.000,0.001,0.000,0.382,0.382
TCGA-3A-A9IN-01A,0.011,0.000,0.008,0.000,0.012,0.002,0.017,0.174,0.132,0.107,0.033,0.013,0.000,0.001,0.000,0.489,0.489
TCGA-IB-AAUN-01A,0.010,0.002,0.010,0.001,0.001,0.001,0.032,0.053,0.191,0.011,0.029,0.008,0.000,0.001,0.000,0.652,0.652
TCGA-Q3-AA2A-01A,0.000,0.002,0.009,0.000,0.001,0.001,0.013,0.047,0.144,0.036,0.091,0.008,0.000,0.000,0.000,0.649,0.649
TCGA-IB-A5SO-01A,0.010,0.032,0.015,0.000,0.013,0.002,0.023,0.065,0.352,0.017,0.093,0.008,0.000,0.002,0.000,0.368,0.368
TCGA-M8-A5N4-01A,0.000,0.008,0.007,0.004,0.003,0.000,0.004,0.048,0.278,0.003,0.126,0.001,0.000,0.004,0.000,0.514,0.514
TCGA-2L-AAQI-01A,0.004,0.003,0.007,0.000,0.000,0.001,0.012,0.031,0.134,0.011,0.063,0.006,0.000,0.000,0.000,0.727,0.727
TCGA-HV-A7OP-01A,0.000,0.000,0.005,0.000,0.001,0.000,0.000,0.008,0.004,0.000,0.019,0.001,0.000,0.000,0.000,0.963,0.963
TCGA-HZ-A8P1-01A,0.000,0.000,0.003,0.001,0.001,0.000,0.019,0.024,0.094,0.010,0.023,0.006,0.000,0.000,0.000,0.818,0.818
TCGA-IB-AAUV-01A,0.002,0.023,0.010,0.000,0.025,0.003,0.032,0.085,0.579,0.027,0.133,0.011,0.000,0.004,0.000,0.067,0.067
