,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-EL-A3D0-01A,0.000,0.003,0.011,0.000,0.000,0.000,0.017,0.101,0.127,0.060,0.020,0.000,0.000,0.000,0.000,0.659,0.659
TCGA-J8-A4HY-01A,0.001,0.001,0.013,0.009,0.003,0.000,0.021,0.098,0.013,0.065,0.053,0.001,0.000,0.000,0.000,0.722,0.722
TCGA-L6-A4ET-01A,0.000,0.001,0.007,0.002,0.008,0.000,0.011,0.092,0.001,0.017,0.015,0.001,0.000,0.000,0.000,0.845,0.845
TCGA-DE-A4MC-01A,0.000,0.001,0.031,0.019,0.000,0.000,0.086,0.095,0.047,0.027,0.003,0.000,0.000,0.000,0.000,0.689,0.689
TCGA-ET-A25K-01A,0.002,0.002,0.010,0.000,0.001,0.000,0.009,0.233,0.037,0.079,0.023,0.009,0.000,0.000,0.000,0.596,0.596
TCGA-DJ-A3UU-01A,0.017,0.005,0.022,0.003,0.015,0.001,0.048,0.124,0.114,0.046,0.041,0.002,0.000,0.000,0.000,0.562,0.562
TCGA-EM-A1YA-01A,0.003,0.003,0.007,0.000,0.005,0.001,0.006,0.106,0.000,0.081,0.011,0.004,0.000,0.000,0.000,0.773,0.773
TCGA-CE-A483-01A,0.000,0.008,0.004,0.004,0.000,0.000,0.010,0.120,0.010,0.037,0.025,0.001,0.000,0.000,0.000,0.781,0.781
TCGA-DJ-A3VD-01A,0.033,0.063,0.037,0.006,0.011,0.001,0.091,0.102,0.168,0.023,0.067,0.002,0.000,0.001,0.000,0.397,0.397
TCGA-BJ-A28S-01A,0.001,0.008,0.002,0.000,0.003,0.001,0.007,0.157,0.001,0.093,0.010,0.001,0.000,0.000,0.000,0.717,0.717
TCGA-FY-A3R9-01A,0.021,0.002,0.004,0.000,0.000,0.000,0.009,0.083,0.000,0.077,0.003,0.001,0.000,0.000,0.000,0.800,0.800
TCGA-FY-A3R8-01A,0.000,0.001,0.015,0.002,0.000,0.000,0.044,0.110,0.068,0.005,0.062,0.002,0.000,0.000,0.000,0.689,0.689
TCGA-DJ-A3V2-01A,0.043,0.021,0.027,0.024,0.027,0.000,0.032,0.124,0.046,0.035,0.123,0.002,0.001,0.000,0.000,0.495,0.495
TCGA-ET-A25L-01A,0.000,0.002,0.029,0.000,0.000,0.000,0.042,0.098,0.181,0.020,0.047,0.006,0.000,0.000,0.000,0.575,0.575
TCGA-EL-A3D1-01A,0.001,0.001,0.015,0.001,0.001,0.000,0.015,0.125,0.045,0.046,0.071,0.008,0.000,0.000,0.000,0.671,0.671
TCGA-FY-A3I4-01A,0.007,0.001,0.019,0.000,0.009,0.001,0.025,0.168,0.139,0.055,0.055,0.007,0.000,0.000,0.000,0.515,0.515
TCGA-DJ-A3UV-01A,0.012,0.000,0.020,0.004,0.014,0.000,0.034,0.149,0.088,0.091,0.044,0.005,0.000,0.000,0.000,0.538,0.538
TCGA-BJ-A28T-01A,0.099,0.053,0.046,0.013,0.047,0.001,0.089,0.141,0.081,0.038,0.098,0.002,0.001,0.000,0.000,0.289,0.289
TCGA-EM-A3FQ-01A,0.005,0.014,0.034,0.001,0.014,0.001,0.110,0.089,0.063,0.030,0.072,0.002,0.000,0.000,0.000,0.566,0.566
TCGA-J8-A4HW-01A,0.004,0.005,0.005,0.000,0.000,0.001,0.007,0.121,0.035,0.029,0.007,0.013,0.000,0.000,0.000,0.775,0.775
TCGA-MK-A4N6-01A,0.001,0.002,0.013,0.011,0.000,0.000,0.024,0.076,0.087,0.023,0.072,0.001,0.000,0.000,0.000,0.690,0.690
TCGA-DJ-A3V8-01A,0.009,0.001,0.010,0.004,0.000,0.000,0.022,0.082,0.034,0.028,0.022,0.001,0.000,0.000,0.000,0.787,0.787
TCGA-DJ-A1QI-01A,0.002,0.003,0.014,0.001,0.002,0.001,0.019,0.111,0.094,0.041,0.043,0.002,0.000,0.000,0.000,0.667,0.667
TCGA-EL-A3H8-01A,0.001,0.001,0.010,0.001,0.000,0.000,0.014,0.131,0.060,0.025,0.021,0.014,0.000,0.000,0.000,0.723,0.723
