,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-OR-A5LO-01A,0.002,0.000,0.003,0.000,0.002,0.004,0.000,0.028,0.007,0.042,0.008,0.000,0.000,0.000,0.001,0.903,0.903
TCGA-P6-A5OG-01A,0.001,0.000,0.012,0.014,0.003,0.000,0.000,0.136,0.117,0.159,0.132,0.000,0.000,0.000,0.022,0.405,0.405
TCGA-OR-A5J6-01A,0.000,0.000,0.009,0.000,0.000,0.000,0.001,0.102,0.000,0.037,0.250,0.004,0.000,0.000,0.000,0.596,0.596
TCGA-OR-A5LT-01A,0.000,0.000,0.002,0.000,0.001,0.000,0.000,0.001,0.007,0.015,0.027,0.001,0.000,0.000,0.000,0.946,0.946
TCGA-OR-A5JY-01A,0.000,0.000,0.009,0.002,0.000,0.000,0.001,0.044,0.013,0.042,0.093,0.005,0.000,0.000,0.000,0.792,0.792
TCGA-OR-A5JV-01A,0.000,0.000,0.013,0.000,0.006,0.000,0.003,0.046,0.001,0.048,0.366,0.007,0.000,0.000,0.000,0.511,0.511
TCGA-OR-A5JT-01A,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.052,0.000,0.057,0.060,0.000,0.000,0.000,0.000,0.821,0.821
TCGA-OR-A5KX-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.053,0.007,0.029,0.079,0.001,0.000,0.000,0.000,0.827,0.827
TCGA-OR-A5K3-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.008,0.000,0.016,0.069,0.001,0.000,0.000,0.000,0.903,0.903
TCGA-OR-A5JZ-01A,0.000,0.000,0.012,0.000,0.000,0.000,0.001,0.040,0.000,0.032,0.072,0.010,0.000,0.000,0.000,0.831,0.831
TCGA-OR-A5LC-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.046,0.060,0.091,0.018,0.001,0.000,0.000,0.000,0.782,0.782
TCGA-OR-A5LH-01A,0.000,0.000,0.010,0.000,0.006,0.000,0.000,0.059,0.000,0.030,0.151,0.002,0.000,0.000,0.000,0.742,0.742
TCGA-OR-A5LM-01A,0.000,0.000,0.011,0.000,0.001,0.000,0.000,0.033,0.000,0.031,0.062,0.008,0.000,0.000,0.000,0.853,0.853
TCGA-OR-A5J5-01A,0.000,0.000,0.000,0.000,0.006,0.001,0.001,0.012,0.002,0.039,0.015,0.001,0.000,0.000,0.000,0.922,0.922
TCGA-P6-A5OF-01A,0.000,0.000,0.006,0.000,0.001,0.000,0.000,0.052,0.064,0.055,0.055,0.001,0.000,0.000,0.000,0.767,0.767
TCGA-OR-A5LD-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.004,0.006,0.002,0.059,0.003,0.001,0.000,0.000,0.000,0.924,0.924
TCGA-OR-A5L3-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.007,0.000,0.040,0.028,0.000,0.000,0.000,0.000,0.923,0.923
TCGA-OR-A5LK-01A,0.000,0.000,0.000,0.000,0.009,0.000,0.024,0.024,0.000,0.016,0.212,0.011,0.001,0.000,0.000,0.702,0.702
TCGA-OR-A5LG-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.023,0.057,0.031,0.110,0.000,0.000,0.000,0.000,0.774,0.774
TCGA-OR-A5KO-01A,0.000,0.000,0.006,0.000,0.001,0.000,0.000,0.033,0.005,0.034,0.012,0.000,0.000,0.000,0.000,0.908,0.908
TCGA-OR-A5JJ-01A,0.000,0.000,0.012,0.003,0.005,0.000,0.000,0.020,0.009,0.036,0.020,0.001,0.000,0.000,0.000,0.894,0.894
TCGA-OR-A5JL-01A,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.077,0.000,0.034,0.107,0.006,0.000,0.000,0.000,0.761,0.761
TCGA-OR-A5KV-01A,0.000,0.002,0.002,0.000,0.007,0.000,0.004,0.021,0.001,0.030,0.018,0.002,0.000,0.000,0.000,0.915,0.915
TCGA-OR-A5JE-01A,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.024,0.011,0.017,0.077,0.000,0.000,0.000,0.000,0.863,0.863
TCGA-PK-A5HB-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.074,0.002,0.104,0.009,0.000,0.000,0.000,0.000,0.806,0.806
TCGA-OR-A5JM-01A,0.000,0.000,0.003,0.000,0.002,0.000,0.000,0.022,0.008,0.022,0.009,0.002,0.000,0.000,0.000,0.931,0.931
TCGA-OR-A5JD-01A,0.000,0.000,0.005,0.000,0.012,0.000,0.002,0.023,0.000,0.035,0.165,0.000,0.000,0.000,0.000,0.758,0.758
TCGA-OR-A5LN-01A,0.000,0.000,0.002,0.000,0.004,0.000,0.001,0.018,0.000,0.014,0.116,0.000,0.000,0.000,0.000,0.843,0.843
TCGA-OR-A5K6-01A,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.030,0.000,0.033,0.102,0.000,0.000,0.000,0.000,0.822,0.822
TCGA-OR-A5JR-01A,0.000,0.001,0.006,0.000,0.009,0.000,0.009,0.040,0.000,0.053,0.103,0.001,0.001,0.000,0.000,0.777,0.777
TCGA-OR-A5L6-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.047,0.070,0.005,0.000,0.000,0.000,0.859,0.859
TCGA-OR-A5JI-01A,0.000,0.000,0.005,0.000,0.008,0.000,0.001,0.046,0.226,0.071,0.070,0.001,0.000,0.000,0.000,0.571,0.571
TCGA-OR-A5J2-01A,0.000,0.000,0.011,0.000,0.000,0.000,0.001,0.088,0.012,0.061,0.051,0.002,0.000,0.000,0.000,0.774,0.774
TCGA-OR-A5LL-01A,0.000,0.000,0.006,0.000,0.001,0.000,0.000,0.018,0.005,0.031,0.062,0.000,0.000,0.000,0.000,0.877,0.877
TCGA-OR-A5K1-01A,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.083,0.000,0.100,0.075,0.006,0.000,0.000,0.000,0.726,0.726
TCGA-PK-A5HA-01A,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.046,0.001,0.062,0.185,0.003,0.000,0.000,0.000,0.694,0.694
TCGA-OR-A5LR-01A,0.000,0.000,0.005,0.000,0.001,0.000,0.007,0.037,0.028,0.069,0.060,0.009,0.000,0.000,0.000,0.783,0.783
TCGA-OR-A5JX-01A,0.000,0.000,0.004,0.000,0.002,0.000,0.010,0.059,0.006,0.091,0.030,0.000,0.000,0.000,0.000,0.797,0.797
TCGA-OU-A5PI-01A,0.000,0.000,0.007,0.000,0.011,0.000,0.002,0.039,0.059,0.026,0.038,0.001,0.000,0.000,0.000,0.817,0.817
TCGA-OR-A5JA-01A,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.028,0.013,0.048,0.049,0.008,0.000,0.000,0.000,0.845,0.845
TCGA-OR-A5KY-01A,0.000,0.000,0.001,0.001,0.002,0.000,0.002,0.021,0.025,0.025,0.082,0.002,0.000,0.000,0.000,0.839,0.839
TCGA-OR-A5L9-01A,0.000,0.000,0.001,0.000,0.000,0.002,0.001,0.007,0.025,0.104,0.080,0.008,0.000,0.000,0.000,0.772,0.772
TCGA-PK-A5H9-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.125,0.070,0.069,0.124,0.007,0.001,0.000,0.000,0.600,0.600
TCGA-OR-A5JK-01A,0.000,0.000,0.018,0.000,0.039,0.000,0.026,0.020,0.084,0.054,0.122,0.001,0.000,0.000,0.000,0.635,0.635
TCGA-OR-A5LJ-01A,0.000,0.000,0.011,0.001,0.013,0.000,0.007,0.024,0.000,0.042,0.020,0.000,0.000,0.000,0.000,0.883,0.883
TCGA-OR-A5K9-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.029,0.052,0.022,0.026,0.000,0.000,0.000,0.000,0.866,0.866
TCGA-OR-A5LA-01A,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.018,0.010,0.075,0.130,0.024,0.000,0.000,0.000,0.733,0.733
TCGA-OR-A5JP-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.003,0.032,0.017,0.042,0.033,0.001,0.000,0.000,0.000,0.871,0.871
TCGA-OR-A5LE-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.002,0.028,0.001,0.030,0.004,0.000,0.000,0.000,0.000,0.930,0.930
TCGA-OR-A5JB-01A,0.000,0.000,0.015,0.040,0.000,0.000,0.000,0.038,0.002,0.022,0.125,0.000,0.000,0.000,0.000,0.755,0.755
TCGA-OR-A5J3-01A,0.000,0.000,0.007,0.000,0.005,0.000,0.000,0.027,0.003,0.037,0.030,0.000,0.000,0.000,0.000,0.892,0.892
