,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-C8-A278-01A,0.053,0.007,0.031,0.009,0.006,0.000,0.028,0.023,0.132,0.005,0.132,0.008,0.000,0.005,0.001,0.562,0.562
TCGA-A7-A425-01A,0.000,0.000,0.010,0.000,0.009,0.000,0.029,0.063,0.169,0.036,0.103,0.001,0.001,0.010,0.000,0.569,0.569
TCGA-E2-A15H-01A,0.006,0.000,0.007,0.008,0.000,0.000,0.013,0.020,0.138,0.010,0.038,0.000,0.000,0.001,0.000,0.758,0.758
TCGA-A8-A06N-01A,0.000,0.000,0.004,0.005,0.000,0.000,0.000,0.019,0.000,0.013,0.027,0.000,0.000,0.011,0.000,0.920,0.920
TCGA-E2-A570-01A,0.000,0.000,0.010,0.001,0.002,0.000,0.020,0.032,0.292,0.020,0.037,0.002,0.000,0.008,0.000,0.577,0.577
TCGA-BH-A1FL-01A,0.000,0.019,0.017,0.001,0.015,0.000,0.022,0.049,0.124,0.026,0.040,0.004,0.000,0.000,0.000,0.682,0.682
TCGA-E2-A56Z-01A,0.000,0.000,0.012,0.006,0.001,0.000,0.003,0.034,0.085,0.027,0.016,0.000,0.000,0.003,0.000,0.812,0.812
TCGA-E9-A1RI-01A,0.001,0.000,0.014,0.003,0.006,0.000,0.011,0.030,0.302,0.010,0.087,0.006,0.000,0.002,0.000,0.528,0.528
TCGA-BH-A0DP-01A,0.000,0.001,0.018,0.001,0.015,0.000,0.034,0.046,0.262,0.015,0.083,0.006,0.000,0.013,0.000,0.507,0.507
TCGA-AR-A0U3-01A,0.000,0.000,0.017,0.005,0.000,0.000,0.016,0.035,0.065,0.012,0.031,0.000,0.000,0.008,0.000,0.811,0.811
TCGA-BH-A18L-01A,0.000,0.000,0.007,0.005,0.001,0.000,0.000,0.045,0.006,0.019,0.043,0.000,0.000,0.013,0.000,0.860,0.860
TCGA-A7-A3J1-01A,0.000,0.023,0.035,0.006,0.038,0.007,0.072,0.080,0.180,0.030,0.092,0.003,0.001,0.012,0.000,0.421,0.421
TCGA-AC-A6IW-01A,0.000,0.000,0.052,0.013,0.002,0.000,0.124,0.010,0.026,0.008,0.160,0.000,0.000,0.000,0.000,0.605,0.605
TCGA-AC-A3YI-01A,0.001,0.000,0.009,0.000,0.009,0.000,0.028,0.091,0.333,0.028,0.053,0.005,0.000,0.007,0.001,0.434,0.434
TCGA-D8-A1XG-01A,0.000,0.000,0.005,0.000,0.000,0.000,0.007,0.023,0.121,0.037,0.036,0.000,0.000,0.019,0.000,0.753,0.753
TCGA-A8-A082-01A,0.000,0.000,0.012,0.001,0.001,0.000,0.003,0.013,0.104,0.011,0.081,0.003,0.000,0.001,0.000,0.771,0.771
TCGA-OL-A5RU-01A,0.032,0.032,0.031,0.001,0.034,0.006,0.057,0.060,0.107,0.035,0.050,0.002,0.000,0.001,0.000,0.553,0.553
TCGA-BH-A0HA-01A,0.000,0.000,0.038,0.001,0.013,0.000,0.046,0.053,0.296,0.020,0.059,0.003,0.000,0.001,0.000,0.469,0.469
TCGA-A2-A3XS-01A,0.000,0.005,0.018,0.006,0.007,0.002,0.034,0.037,0.090,0.024,0.036,0.001,0.000,0.000,0.000,0.740,0.740
TCGA-A2-A0ES-01A,0.000,0.000,0.017,0.000,0.013,0.000,0.039,0.096,0.202,0.043,0.056,0.004,0.000,0.006,0.000,0.523,0.523
TCGA-B6-A0RN-01A,0.000,0.003,0.009,0.000,0.002,0.000,0.021,0.017,0.316,0.011,0.041,0.003,0.000,0.000,0.000,0.577,0.577
TCGA-BH-A2L8-01A,0.001,0.013,0.057,0.010,0.031,0.000,0.080,0.018,0.198,0.012,0.108,0.005,0.000,0.000,0.000,0.465,0.465
TCGA-E2-A108-01A,0.007,0.006,0.038,0.002,0.045,0.000,0.058,0.111,0.236,0.040,0.171,0.011,0.001,0.024,0.001,0.250,0.250
TCGA-AN-A046-01A,0.000,0.000,0.022,0.013,0.020,0.000,0.031,0.018,0.147,0.013,0.105,0.000,0.000,0.000,0.000,0.631,0.631
TCGA-E2-A576-01A,0.000,0.000,0.008,0.004,0.002,0.000,0.007,0.017,0.083,0.017,0.018,0.003,0.000,0.000,0.000,0.840,0.840
TCGA-A2-A3XX-01A,0.011,0.005,0.022,0.008,0.004,0.000,0.025,0.022,0.091,0.031,0.042,0.000,0.000,0.000,0.000,0.737,0.737
TCGA-C8-A137-01A,0.000,0.000,0.004,0.002,0.000,0.000,0.009,0.017,0.128,0.001,0.027,0.000,0.000,0.000,0.000,0.810,0.810
TCGA-A7-A4SC-01A,0.000,0.000,0.010,0.002,0.018,0.000,0.034,0.068,0.238,0.034,0.051,0.006,0.000,0.015,0.000,0.524,0.524
TCGA-E2-A15M-01A,0.000,0.022,0.051,0.006,0.039,0.001,0.058,0.117,0.179,0.022,0.113,0.003,0.000,0.010,0.000,0.380,0.380
TCGA-A8-A08I-01A,0.021,0.001,0.035,0.064,0.056,0.000,0.046,0.006,0.045,0.005,0.193,0.001,0.000,0.028,0.001,0.498,0.498
TCGA-AC-A2FF-01A,0.018,0.015,0.034,0.001,0.025,0.001,0.052,0.114,0.292,0.038,0.057,0.010,0.000,0.012,0.000,0.329,0.329
TCGA-E2-A1L6-01A,0.000,0.001,0.017,0.004,0.005,0.000,0.042,0.061,0.169,0.026,0.051,0.002,0.000,0.006,0.000,0.617,0.617
TCGA-A7-A13E-01B,0.018,0.072,0.007,0.042,0.020,0.053,0.052,0.044,0.125,0.010,0.038,0.005,0.000,0.045,0.003,0.468,0.468
TCGA-AR-A24S-01A,0.000,0.002,0.037,0.012,0.000,0.000,0.024,0.046,0.200,0.023,0.184,0.003,0.000,0.010,0.000,0.459,0.459
TCGA-E2-A155-01A,0.000,0.002,0.002,0.005,0.001,0.000,0.013,0.012,0.030,0.012,0.018,0.002,0.000,0.005,0.000,0.900,0.900
TCGA-C8-A12M-01A,0.000,0.002,0.013,0.003,0.010,0.000,0.012,0.066,0.029,0.033,0.009,0.003,0.000,0.001,0.000,0.817,0.817
TCGA-E2-A14W-01A,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.008,0.084,0.003,0.034,0.000,0.000,0.000,0.000,0.868,0.868
TCGA-B6-A0RQ-01A,0.000,0.000,0.006,0.000,0.004,0.000,0.023,0.061,0.115,0.033,0.022,0.002,0.001,0.001,0.000,0.733,0.733
TCGA-EW-A1IW-01A,0.000,0.008,0.021,0.002,0.014,0.000,0.034,0.057,0.145,0.035,0.053,0.002,0.000,0.003,0.000,0.626,0.626
TCGA-A1-A0SM-01A,0.000,0.000,0.009,0.002,0.000,0.000,0.012,0.021,0.251,0.011,0.078,0.004,0.000,0.000,0.000,0.611,0.611
TCGA-E9-A1R6-01A,0.000,0.000,0.007,0.004,0.005,0.000,0.013,0.020,0.121,0.013,0.055,0.002,0.000,0.006,0.000,0.756,0.756
TCGA-A2-A0CQ-01A,0.000,0.000,0.003,0.004,0.003,0.000,0.022,0.016,0.080,0.016,0.129,0.000,0.000,0.000,0.000,0.726,0.726
TCGA-OL-A5D7-01A,0.010,0.022,0.040,0.027,0.038,0.000,0.040,0.008,0.021,0.006,0.083,0.000,0.000,0.000,0.001,0.704,0.704
TCGA-D8-A143-01A,0.017,0.000,0.032,0.004,0.005,0.000,0.019,0.040,0.063,0.012,0.029,0.000,0.000,0.003,0.000,0.775,0.775
TCGA-C8-A138-01A,0.008,0.000,0.021,0.024,0.017,0.000,0.032,0.038,0.196,0.033,0.101,0.005,0.000,0.000,0.001,0.524,0.524
TCGA-E2-A14Q-01A,0.000,0.000,0.020,0.005,0.009,0.000,0.032,0.048,0.118,0.028,0.023,0.001,0.000,0.000,0.000,0.716,0.716
TCGA-A2-A0YL-01A,0.000,0.000,0.018,0.006,0.023,0.004,0.041,0.069,0.229,0.024,0.046,0.002,0.000,0.006,0.000,0.531,0.531
TCGA-PL-A8LY-01A,0.000,0.000,0.010,0.001,0.011,0.000,0.031,0.036,0.060,0.027,0.030,0.000,0.000,0.000,0.000,0.792,0.792
TCGA-GM-A2DK-01A,0.000,0.000,0.007,0.001,0.004,0.000,0.020,0.135,0.155,0.046,0.113,0.001,0.000,0.000,0.000,0.518,0.518
TCGA-B6-A0RO-01A,0.000,0.000,0.005,0.001,0.011,0.000,0.007,0.028,0.058,0.014,0.062,0.000,0.000,0.000,0.000,0.814,0.814
TCGA-D8-A142-01A,0.018,0.001,0.012,0.002,0.013,0.000,0.023,0.041,0.242,0.020,0.080,0.001,0.000,0.000,0.000,0.548,0.548
TCGA-C8-A8HP-01A,0.027,0.001,0.029,0.009,0.025,0.000,0.030,0.019,0.069,0.032,0.132,0.001,0.000,0.002,0.001,0.624,0.624
TCGA-E9-A24A-01A,0.000,0.000,0.018,0.001,0.010,0.000,0.015,0.062,0.174,0.014,0.174,0.003,0.000,0.004,0.000,0.524,0.524
TCGA-AO-A0JE-01A,0.012,0.000,0.037,0.003,0.025,0.000,0.044,0.032,0.225,0.009,0.097,0.001,0.000,0.006,0.001,0.508,0.508
TCGA-AR-A1AU-01A,0.003,0.000,0.010,0.007,0.003,0.000,0.009,0.050,0.189,0.029,0.042,0.004,0.000,0.013,0.000,0.639,0.639
TCGA-E9-A1QZ-01A,0.001,0.036,0.031,0.003,0.032,0.008,0.063,0.088,0.135,0.035,0.058,0.006,0.001,0.015,0.000,0.489,0.489
TCGA-AR-A1AQ-01A,0.058,0.008,0.050,0.035,0.003,0.000,0.057,0.016,0.105,0.009,0.092,0.000,0.000,0.001,0.001,0.565,0.565
TCGA-A2-A25A-01A,0.000,0.000,0.018,0.003,0.021,0.003,0.043,0.198,0.238,0.042,0.064,0.009,0.000,0.010,0.000,0.349,0.349
TCGA-E2-A10E-01A,0.000,0.000,0.015,0.005,0.013,0.000,0.036,0.038,0.174,0.019,0.045,0.001,0.000,0.000,0.000,0.653,0.653
TCGA-C8-A3M7-01A,0.020,0.000,0.010,0.000,0.010,0.000,0.026,0.198,0.123,0.098,0.037,0.004,0.000,0.010,0.000,0.463,0.463
TCGA-AQ-A1H3-01A,0.000,0.005,0.023,0.001,0.021,0.000,0.039,0.073,0.183,0.033,0.041,0.001,0.000,0.016,0.000,0.563,0.563
TCGA-E9-A247-01A,0.000,0.000,0.006,0.001,0.003,0.000,0.009,0.013,0.088,0.024,0.017,0.000,0.000,0.000,0.000,0.838,0.838
TCGA-AN-A0FF-01A,0.000,0.000,0.028,0.001,0.020,0.000,0.036,0.065,0.120,0.025,0.106,0.001,0.000,0.008,0.000,0.590,0.590
TCGA-A2-A0YH-01A,0.016,0.000,0.037,0.009,0.011,0.000,0.006,0.022,0.163,0.011,0.170,0.004,0.000,0.014,0.001,0.536,0.536
TCGA-E9-A1RH-01A,0.004,0.000,0.006,0.009,0.001,0.000,0.001,0.008,0.188,0.007,0.066,0.002,0.000,0.017,0.001,0.689,0.689
TCGA-AR-A2LE-01A,0.000,0.000,0.000,0.000,0.003,0.027,0.025,0.036,0.066,0.023,0.029,0.002,0.000,0.000,0.000,0.788,0.788
TCGA-E9-A1N3-01A,0.001,0.000,0.010,0.000,0.001,0.000,0.002,0.039,0.029,0.022,0.032,0.000,0.000,0.000,0.000,0.863,0.863
TCGA-MS-A51U-01A,0.011,0.000,0.017,0.004,0.025,0.004,0.029,0.042,0.276,0.024,0.058,0.000,0.000,0.002,0.000,0.508,0.508
TCGA-A8-A07F-01A,0.000,0.001,0.018,0.011,0.015,0.000,0.037,0.034,0.163,0.017,0.080,0.005,0.000,0.008,0.000,0.609,0.609
TCGA-A8-A08A-01A,0.000,0.000,0.022,0.002,0.006,0.000,0.052,0.018,0.145,0.009,0.123,0.000,0.000,0.000,0.000,0.622,0.622
TCGA-D8-A1JE-01A,0.000,0.000,0.011,0.007,0.005,0.000,0.007,0.037,0.284,0.005,0.127,0.003,0.000,0.006,0.000,0.507,0.507
TCGA-LL-A6FR-01A,0.000,0.000,0.005,0.000,0.000,0.000,0.002,0.009,0.264,0.002,0.035,0.000,0.000,0.000,0.000,0.682,0.682
TCGA-E9-A22D-01A,0.006,0.003,0.049,0.090,0.053,0.000,0.072,0.017,0.077,0.004,0.122,0.001,0.001,0.001,0.000,0.504,0.504
TCGA-A2-A0SX-01A,0.017,0.026,0.064,0.002,0.044,0.001,0.053,0.036,0.180,0.012,0.082,0.001,0.000,0.013,0.001,0.469,0.469
TCGA-EW-A1PH-01A,0.010,0.001,0.016,0.007,0.013,0.000,0.027,0.016,0.097,0.010,0.018,0.000,0.000,0.000,0.000,0.786,0.786
TCGA-AN-A0FK-01A,0.001,0.000,0.003,0.004,0.001,0.000,0.000,0.032,0.121,0.029,0.040,0.000,0.000,0.000,0.000,0.770,0.770
TCGA-A2-A0CX-01A,0.000,0.000,0.015,0.005,0.003,0.000,0.005,0.021,0.186,0.007,0.122,0.004,0.000,0.001,0.000,0.632,0.632
TCGA-E2-A158-01A,0.000,0.000,0.016,0.005,0.006,0.000,0.016,0.016,0.034,0.009,0.014,0.000,0.000,0.000,0.000,0.883,0.883
TCGA-D8-A1X6-01A,0.000,0.000,0.011,0.000,0.007,0.000,0.002,0.017,0.043,0.012,0.143,0.001,0.000,0.000,0.000,0.765,0.765
TCGA-EW-A1P7-01A,0.013,0.130,0.050,0.002,0.053,0.003,0.080,0.077,0.199,0.017,0.059,0.001,0.001,0.004,0.001,0.311,0.311
TCGA-B6-A0IG-01A,0.011,0.000,0.010,0.006,0.009,0.000,0.013,0.019,0.125,0.011,0.015,0.000,0.000,0.000,0.000,0.780,0.780
TCGA-A7-A4SA-01A,0.000,0.000,0.032,0.004,0.049,0.001,0.067,0.042,0.181,0.023,0.072,0.002,0.000,0.000,0.000,0.525,0.525
TCGA-D8-A1JP-01A,0.000,0.000,0.018,0.002,0.023,0.000,0.040,0.046,0.274,0.018,0.092,0.000,0.000,0.001,0.000,0.486,0.486
TCGA-C8-A1HN-01A,0.000,0.000,0.005,0.002,0.006,0.000,0.010,0.021,0.082,0.018,0.073,0.003,0.000,0.002,0.000,0.779,0.779
TCGA-D8-A1XK-01A,0.007,0.000,0.013,0.023,0.013,0.000,0.009,0.010,0.061,0.004,0.078,0.000,0.000,0.003,0.006,0.772,0.772
TCGA-E9-A22A-01A,0.001,0.000,0.024,0.009,0.012,0.000,0.025,0.033,0.377,0.015,0.121,0.004,0.000,0.006,0.001,0.371,0.371
TCGA-AO-A12H-01A,0.000,0.000,0.006,0.000,0.006,0.000,0.000,0.040,0.043,0.028,0.094,0.001,0.000,0.001,0.000,0.781,0.781
TCGA-D8-A1Y2-01A,0.009,0.001,0.026,0.004,0.019,0.000,0.001,0.032,0.247,0.007,0.275,0.002,0.001,0.000,0.001,0.376,0.376
TCGA-D8-A1XW-01A,0.000,0.000,0.021,0.005,0.001,0.000,0.048,0.072,0.086,0.031,0.204,0.000,0.000,0.001,0.000,0.531,0.531
TCGA-OL-A5RZ-01A,0.000,0.000,0.001,0.000,0.007,0.000,0.015,0.012,0.002,0.009,0.024,0.000,0.000,0.000,0.000,0.930,0.930
TCGA-BH-A42V-01A,0.003,0.000,0.019,0.000,0.017,0.010,0.039,0.084,0.184,0.041,0.034,0.002,0.000,0.001,0.000,0.565,0.565
TCGA-BH-A0B7-01A,0.007,0.013,0.023,0.007,0.022,0.000,0.033,0.077,0.159,0.022,0.069,0.003,0.000,0.025,0.001,0.538,0.538
TCGA-C8-A1HO-01A,0.015,0.000,0.009,0.012,0.004,0.000,0.007,0.037,0.091,0.011,0.022,0.000,0.000,0.000,0.000,0.791,0.791
TCGA-A8-A09A-01A,0.000,0.000,0.009,0.007,0.019,0.000,0.028,0.043,0.208,0.022,0.066,0.002,0.000,0.000,0.000,0.596,0.596
TCGA-AO-A129-01A,0.013,0.022,0.036,0.022,0.020,0.000,0.047,0.023,0.099,0.013,0.068,0.000,0.001,0.000,0.001,0.635,0.635
TCGA-AO-A03O-01A,0.001,0.000,0.037,0.012,0.012,0.000,0.024,0.016,0.051,0.011,0.059,0.000,0.000,0.010,0.000,0.766,0.766
TCGA-E2-A10A-01A,0.000,0.000,0.015,0.003,0.000,0.000,0.003,0.039,0.172,0.014,0.048,0.001,0.000,0.015,0.000,0.690,0.690
TCGA-A8-A09E-01A,0.000,0.000,0.005,0.001,0.001,0.000,0.000,0.024,0.073,0.013,0.038,0.000,0.000,0.000,0.000,0.844,0.844
TCGA-AC-A3YJ-01A,0.000,0.000,0.012,0.000,0.011,0.000,0.014,0.038,0.068,0.022,0.118,0.000,0.000,0.000,0.000,0.716,0.716
TCGA-EW-A1IX-01A,0.000,0.000,0.024,0.000,0.001,0.000,0.038,0.058,0.306,0.020,0.059,0.008,0.000,0.012,0.000,0.474,0.474
TCGA-A8-A09N-01A,0.000,0.000,0.009,0.011,0.013,0.000,0.008,0.021,0.095,0.009,0.045,0.006,0.000,0.000,0.000,0.783,0.783
TCGA-AO-A0J6-01A,0.000,0.000,0.012,0.064,0.000,0.000,0.008,0.003,0.048,0.000,0.074,0.000,0.000,0.000,0.000,0.789,0.789
TCGA-AN-A0FJ-01A,0.000,0.003,0.023,0.001,0.008,0.000,0.023,0.046,0.093,0.016,0.016,0.000,0.001,0.000,0.000,0.769,0.769
TCGA-BH-A1ES-01A,0.000,0.001,0.012,0.000,0.000,0.000,0.016,0.017,0.189,0.003,0.009,0.001,0.000,0.001,0.000,0.750,0.750
TCGA-BH-A0E1-01A,0.000,0.000,0.007,0.000,0.000,0.000,0.010,0.075,0.133,0.038,0.029,0.003,0.000,0.000,0.000,0.704,0.704
TCGA-4H-AAAK-01A,0.000,0.000,0.035,0.001,0.003,0.000,0.026,0.020,0.339,0.007,0.059,0.007,0.001,0.000,0.000,0.502,0.502
TCGA-EW-A6S9-01A,0.001,0.000,0.018,0.001,0.000,0.000,0.007,0.022,0.192,0.016,0.076,0.007,0.000,0.004,0.000,0.654,0.654
TCGA-D8-A1JM-01A,0.000,0.000,0.007,0.007,0.017,0.000,0.007,0.013,0.024,0.014,0.013,0.000,0.000,0.000,0.000,0.899,0.899
