,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-CV-5442-01A,0.000,0.000,0.004,0.002,0.000,0.002,0.015,0.035,0.000,0.001,0.002,0.000,0.000,0.013,0.009,0.917,0.917
TCGA-CR-7392-01A,0.030,0.005,0.047,0.002,0.018,0.000,0.033,0.092,0.181,0.040,0.054,0.005,0.000,0.026,0.002,0.463,0.463
TCGA-UF-A71A-01A,0.000,0.000,0.005,0.000,0.001,0.000,0.010,0.031,0.111,0.038,0.034,0.001,0.000,0.003,0.000,0.766,0.766
TCGA-CN-A642-01A,0.000,0.000,0.016,0.029,0.000,0.000,0.025,0.033,0.040,0.021,0.037,0.000,0.000,0.000,0.000,0.797,0.797
TCGA-CV-A45U-01A,0.000,0.000,0.031,0.014,0.009,0.000,0.013,0.019,0.030,0.006,0.009,0.002,0.000,0.016,0.000,0.849,0.849
TCGA-CN-6012-01A,0.025,0.000,0.029,0.002,0.015,0.000,0.019,0.039,0.051,0.007,0.046,0.000,0.000,0.039,0.001,0.727,0.727
TCGA-CV-A45W-01A,0.080,0.008,0.029,0.003,0.019,0.000,0.015,0.030,0.055,0.022,0.084,0.001,0.000,0.010,0.002,0.641,0.641
TCGA-CV-A6K0-01B,0.000,0.000,0.055,0.001,0.018,0.000,0.099,0.074,0.145,0.041,0.023,0.003,0.000,0.030,0.000,0.510,0.510
TCGA-QK-A6VB-01A,0.000,0.000,0.007,0.000,0.000,0.001,0.003,0.019,0.042,0.013,0.009,0.001,0.000,0.036,0.000,0.870,0.870
TCGA-CV-6959-01A,0.004,0.000,0.023,0.004,0.001,0.000,0.029,0.099,0.043,0.046,0.032,0.003,0.000,0.012,0.014,0.690,0.690
TCGA-HD-7832-01A,0.000,0.000,0.025,0.028,0.000,0.000,0.000,0.040,0.014,0.014,0.040,0.001,0.000,0.014,0.000,0.823,0.823
TCGA-CV-7255-01A,0.000,0.000,0.007,0.002,0.000,0.000,0.003,0.026,0.048,0.025,0.001,0.004,0.000,0.013,0.000,0.872,0.872
TCGA-CR-5243-01A,0.023,0.000,0.055,0.021,0.016,0.000,0.039,0.051,0.103,0.029,0.012,0.003,0.000,0.022,0.001,0.625,0.625
TCGA-P3-A6T5-01A,0.000,0.000,0.016,0.007,0.000,0.000,0.019,0.034,0.087,0.016,0.007,0.002,0.000,0.021,0.000,0.789,0.789
TCGA-CV-6952-01A,0.003,0.000,0.027,0.007,0.008,0.000,0.024,0.059,0.022,0.030,0.008,0.003,0.000,0.024,0.007,0.776,0.776
TCGA-D6-A6ES-01A,0.000,0.000,0.009,0.001,0.000,0.000,0.009,0.022,0.000,0.003,0.006,0.000,0.000,0.002,0.017,0.931,0.931
TCGA-CN-5366-01A,0.000,0.000,0.010,0.012,0.006,0.000,0.009,0.064,0.123,0.035,0.040,0.002,0.000,0.002,0.000,0.695,0.695
