,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-BP-4766-01A,0.000,0.000,0.008,0.000,0.000,0.001,0.000,0.216,0.008,0.102,0.160,0.004,0.008,0.000,0.000,0.493,0.493
TCGA-A3-3352-01A,0.000,0.003,0.019,0.001,0.000,0.014,0.002,0.213,0.010,0.088,0.152,0.006,0.017,0.000,0.004,0.472,0.472
TCGA-G6-A8L7-01A,0.001,0.000,0.014,0.004,0.004,0.000,0.000,0.039,0.029,0.088,0.040,0.000,0.004,0.000,0.001,0.775,0.775
TCGA-A3-A6NN-01A,0.000,0.000,0.016,0.001,0.010,0.000,0.008,0.289,0.102,0.079,0.150,0.003,0.021,0.000,0.000,0.321,0.321
TCGA-T7-A92I-01A,0.000,0.000,0.010,0.000,0.011,0.000,0.002,0.050,0.021,0.030,0.241,0.001,0.000,0.000,0.000,0.635,0.635
TCGA-B0-5713-01A,0.000,0.000,0.009,0.005,0.013,0.000,0.001,0.324,0.018,0.113,0.097,0.003,0.007,0.000,0.000,0.410,0.410
TCGA-CZ-4860-01A,0.000,0.001,0.013,0.000,0.012,0.000,0.000,0.021,0.184,0.014,0.222,0.000,0.000,0.000,0.000,0.532,0.532
TCGA-A3-3351-01A,0.000,0.007,0.028,0.009,0.053,0.000,0.042,0.196,0.047,0.096,0.197,0.008,0.001,0.005,0.000,0.312,0.312
TCGA-B8-4148-01A,0.000,0.001,0.018,0.039,0.063,0.000,0.042,0.204,0.010,0.089,0.168,0.004,0.007,0.000,0.000,0.356,0.356
TCGA-BP-4345-01A,0.000,0.000,0.024,0.001,0.015,0.000,0.005,0.208,0.262,0.248,0.187,0.005,0.003,0.000,0.000,0.041,0.041
TCGA-BP-5010-01A,0.000,0.000,0.008,0.004,0.011,0.000,0.000,0.199,0.278,0.251,0.076,0.000,0.001,0.000,0.000,0.170,0.170
TCGA-BP-4325-01A,0.000,0.001,0.003,0.012,0.040,0.000,0.001,0.153,0.005,0.049,0.247,0.001,0.001,0.000,0.000,0.488,0.488
TCGA-B0-5102-01A,0.000,0.000,0.008,0.000,0.016,0.000,0.000,0.163,0.029,0.064,0.161,0.000,0.002,0.000,0.000,0.555,0.555
TCGA-BP-5185-01A,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.060,0.044,0.100,0.105,0.001,0.000,0.000,0.000,0.686,0.686
TCGA-CZ-5986-01A,0.000,0.007,0.010,0.006,0.001,0.000,0.014,0.201,0.036,0.088,0.137,0.011,0.008,0.000,0.000,0.481,0.481
TCGA-CW-5590-01A,0.000,0.000,0.025,0.009,0.003,0.000,0.000,0.213,0.084,0.124,0.147,0.003,0.005,0.000,0.000,0.385,0.385
TCGA-CJ-4904-01A,0.000,0.000,0.009,0.003,0.017,0.000,0.014,0.357,0.062,0.152,0.116,0.005,0.002,0.000,0.000,0.261,0.261
TCGA-BP-4987-01A,0.000,0.004,0.005,0.006,0.027,0.000,0.001,0.271,0.023,0.113,0.150,0.004,0.011,0.000,0.000,0.384,0.384
TCGA-B0-4849-01A,0.000,0.000,0.015,0.006,0.009,0.000,0.003,0.240,0.006,0.200,0.093,0.004,0.005,0.000,0.015,0.402,0.402
TCGA-BP-4329-01A,0.000,0.000,0.015,0.000,0.000,0.001,0.004,0.242,0.059,0.139,0.164,0.005,0.006,0.000,0.000,0.364,0.364
TCGA-A3-3328-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.025,0.000,0.022,0.025,0.000,0.001,0.000,0.000,0.922,0.922
TCGA-CJ-5672-01A,0.002,0.000,0.032,0.016,0.031,0.000,0.030,0.160,0.047,0.079,0.289,0.004,0.001,0.000,0.001,0.309,0.309
TCGA-B0-5104-01A,0.000,0.000,0.011,0.003,0.001,0.000,0.000,0.217,0.010,0.103,0.085,0.002,0.001,0.000,0.017,0.548,0.548
TCGA-CW-6097-01A,0.003,0.028,0.032,0.002,0.027,0.001,0.034,0.166,0.125,0.078,0.210,0.004,0.000,0.001,0.001,0.290,0.290
TCGA-B0-4700-01A,0.005,0.000,0.039,0.014,0.033,0.000,0.005,0.125,0.193,0.108,0.212,0.003,0.004,0.000,0.003,0.255,0.255
TCGA-B0-5095-01A,0.000,0.002,0.015,0.002,0.018,0.000,0.003,0.187,0.275,0.190,0.092,0.003,0.005,0.005,0.000,0.203,0.203
TCGA-B0-4810-01A,0.000,0.000,0.025,0.017,0.025,0.000,0.001,0.200,0.100,0.163,0.167,0.004,0.006,0.000,0.000,0.292,0.292
TCGA-CJ-4901-01A,0.022,0.001,0.026,0.044,0.035,0.000,0.005,0.132,0.084,0.078,0.251,0.001,0.011,0.000,0.002,0.308,0.308
TCGA-CJ-4643-01A,0.000,0.001,0.016,0.003,0.019,0.000,0.021,0.282,0.044,0.190,0.130,0.002,0.005,0.000,0.000,0.286,0.286
TCGA-B8-A54H-01A,0.000,0.000,0.009,0.010,0.028,0.000,0.001,0.306,0.044,0.083,0.113,0.001,0.004,0.000,0.000,0.401,0.401
TCGA-AK-3429-01A,0.000,0.000,0.022,0.012,0.043,0.000,0.030,0.186,0.008,0.077,0.159,0.004,0.000,0.000,0.000,0.458,0.458
TCGA-B0-4834-01A,0.000,0.002,0.002,0.000,0.000,0.000,0.000,0.131,0.000,0.118,0.066,0.004,0.000,0.000,0.000,0.676,0.676
TCGA-B0-4843-01A,0.000,0.000,0.018,0.000,0.000,0.001,0.005,0.182,0.179,0.257,0.077,0.007,0.004,0.000,0.000,0.270,0.270
TCGA-A3-3382-01A,0.000,0.000,0.016,0.008,0.022,0.000,0.000,0.136,0.055,0.092,0.147,0.002,0.004,0.000,0.000,0.518,0.518
TCGA-BP-4338-01A,0.000,0.000,0.014,0.001,0.000,0.000,0.000,0.045,0.039,0.026,0.221,0.000,0.000,0.000,0.000,0.653,0.653
TCGA-B4-5832-01A,0.000,0.003,0.002,0.001,0.010,0.000,0.000,0.185,0.077,0.057,0.103,0.008,0.000,0.010,0.001,0.545,0.545
TCGA-CW-6088-01A,0.000,0.001,0.010,0.000,0.006,0.000,0.005,0.337,0.055,0.110,0.092,0.009,0.007,0.000,0.000,0.367,0.367
TCGA-A3-A6NJ-01A,0.000,0.000,0.017,0.009,0.046,0.000,0.009,0.248,0.048,0.050,0.209,0.003,0.006,0.000,0.000,0.355,0.355
TCGA-B0-5088-01A,0.000,0.003,0.019,0.002,0.013,0.002,0.002,0.170,0.075,0.146,0.275,0.007,0.006,0.000,0.000,0.280,0.280
TCGA-A3-3308-01A,0.000,0.000,0.016,0.001,0.008,0.000,0.002,0.238,0.140,0.130,0.163,0.004,0.002,0.000,0.000,0.296,0.296
TCGA-CW-5589-01A,0.000,0.000,0.020,0.000,0.000,0.001,0.009,0.274,0.064,0.117,0.177,0.008,0.006,0.000,0.000,0.322,0.322
