,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-BQ-7044-01A,0.000,0.000,0.003,0.001,0.000,0.000,0.000,0.004,0.019,0.003,0.088,0.000,0.000,0.000,0.000,0.881,0.881
TCGA-SX-A7SR-01A,0.000,0.000,0.002,0.001,0.004,0.000,0.000,0.012,0.009,0.018,0.163,0.013,0.000,0.000,0.000,0.778,0.778
TCGA-MH-A854-01A,0.000,0.000,0.004,0.001,0.000,0.000,0.000,0.031,0.002,0.026,0.072,0.001,0.000,0.000,0.000,0.864,0.864
TCGA-B3-8121-01A,0.012,0.001,0.013,0.002,0.012,0.000,0.007,0.055,0.081,0.013,0.305,0.006,0.006,0.000,0.001,0.485,0.485
TCGA-2Z-A9JJ-01A,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.022,0.133,0.003,0.089,0.006,0.000,0.017,0.000,0.717,0.717
TCGA-B1-7332-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.032,0.044,0.010,0.173,0.004,0.000,0.000,0.000,0.732,0.732
TCGA-WN-A9G9-01A,0.000,0.000,0.009,0.125,0.171,0.000,0.002,0.017,0.002,0.010,0.453,0.000,0.000,0.000,0.000,0.211,0.211
TCGA-A4-8310-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.001,0.019,0.006,0.115,0.001,0.000,0.000,0.000,0.855,0.855
TCGA-2Z-A9JT-01A,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.015,0.004,0.011,0.265,0.001,0.001,0.000,0.000,0.696,0.696
TCGA-5P-A9K2-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.007,0.002,0.106,0.002,0.000,0.000,0.000,0.882,0.882
TCGA-4A-A93W-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.008,0.014,0.074,0.010,0.076,0.004,0.000,0.000,0.000,0.810,0.810
TCGA-DW-7837-01A,0.000,0.000,0.002,0.001,0.003,0.001,0.009,0.047,0.027,0.024,0.167,0.010,0.000,0.000,0.000,0.708,0.708
TCGA-A4-A5DU-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.011,0.005,0.108,0.000,0.000,0.000,0.000,0.871,0.871
TCGA-2Z-A9JI-01A,0.025,0.010,0.008,0.004,0.010,0.000,0.001,0.037,0.014,0.011,0.224,0.001,0.001,0.000,0.001,0.653,0.653
TCGA-BQ-7050-01A,0.000,0.000,0.004,0.001,0.000,0.000,0.000,0.024,0.002,0.026,0.138,0.001,0.000,0.000,0.000,0.805,0.805
TCGA-BQ-5894-01A,0.001,0.000,0.025,0.008,0.002,0.000,0.011,0.078,0.114,0.062,0.128,0.004,0.000,0.000,0.000,0.568,0.568
TCGA-BQ-5879-01A,0.003,0.000,0.010,0.000,0.000,0.000,0.000,0.092,0.094,0.036,0.086,0.013,0.000,0.001,0.001,0.663,0.663
TCGA-AL-3472-01A,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.002,0.091,0.029,0.049,0.005,0.000,0.000,0.000,0.821,0.821
TCGA-MH-A560-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.014,0.001,0.015,0.115,0.000,0.000,0.000,0.000,0.852,0.852
TCGA-BQ-5891-01A,0.000,0.000,0.004,0.000,0.003,0.000,0.000,0.006,0.005,0.006,0.075,0.002,0.000,0.000,0.000,0.898,0.898
TCGA-B9-A5W7-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.002,0.017,0.013,0.007,0.125,0.008,0.000,0.000,0.000,0.824,0.824
TCGA-UZ-A9PR-01A,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.001,0.034,0.014,0.102,0.007,0.000,0.000,0.000,0.840,0.840
