,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-BC-A10Z-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.022,0.001,0.027,0.001,0.000,0.000,0.000,0.000,0.945,0.945
TCGA-DD-AAEK-01A,0.000,0.004,0.025,0.000,0.010,0.000,0.001,0.051,0.085,0.044,0.099,0.000,0.000,0.000,0.000,0.681,0.681
TCGA-G3-A3CK-01A,0.000,0.000,0.010,0.000,0.001,0.000,0.000,0.032,0.013,0.042,0.053,0.000,0.000,0.000,0.000,0.848,0.848
TCGA-DD-A1EJ-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.015,0.030,0.018,0.103,0.000,0.000,0.000,0.000,0.831,0.831
TCGA-DD-AACU-01A,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.034,0.081,0.026,0.014,0.000,0.000,0.000,0.000,0.837,0.837
TCGA-ZS-A9CE-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.018,0.044,0.019,0.000,0.000,0.000,0.000,0.000,0.915,0.915
TCGA-2Y-A9H2-01A,0.000,0.000,0.004,0.001,0.001,0.000,0.031,0.019,0.028,0.017,0.015,0.001,0.000,0.000,0.000,0.882,0.882
TCGA-CC-5261-01A,0.000,0.017,0.018,0.001,0.002,0.006,0.018,0.067,0.147,0.036,0.053,0.003,0.000,0.001,0.000,0.632,0.632
TCGA-DD-AADP-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.055,0.092,0.033,0.001,0.000,0.000,0.000,0.000,0.816,0.816
TCGA-2Y-A9H4-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.001,0.040,0.012,0.033,0.013,0.000,0.002,0.000,0.000,0.896,0.896
TCGA-DD-A1EA-01A,0.010,0.000,0.012,0.000,0.001,0.000,0.000,0.047,0.013,0.005,0.117,0.000,0.000,0.000,0.000,0.794,0.794
TCGA-CC-A3MC-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.033,0.092,0.036,0.015,0.000,0.000,0.000,0.000,0.820,0.820
TCGA-FV-A2QR-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.058,0.068,0.041,0.055,0.000,0.000,0.000,0.000,0.775,0.775
