,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-KL-8325-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.002,0.000,0.007,0.010,0.000,0.000,0.000,0.000,0.976,0.976
TCGA-KO-8411-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.036,0.000,0.017,0.008,0.000,0.001,0.000,0.000,0.935,0.935
TCGA-KL-8331-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.005,0.000,0.010,0.007,0.000,0.000,0.000,0.000,0.974,0.974
TCGA-KO-8409-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005,0.000,0.013,0.002,0.000,0.004,0.000,0.000,0.974,0.974
TCGA-KM-8439-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.029,0.000,0.013,0.104,0.005,0.004,0.000,0.000,0.834,0.834
TCGA-KN-8423-01A,0.000,0.006,0.001,0.000,0.000,0.000,0.012,0.026,0.000,0.032,0.033,0.001,0.003,0.000,0.000,0.886,0.886
TCGA-KL-8339-01A,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.013,0.038,0.000,0.001,0.000,0.000,0.937,0.937
TCGA-KN-8434-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.063,0.000,0.054,0.123,0.007,0.004,0.000,0.000,0.744,0.744
TCGA-KL-8342-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.001,0.056,0.000,0.019,0.042,0.000,0.006,0.000,0.000,0.873,0.873
TCGA-KN-8428-01A,0.011,0.007,0.008,0.000,0.001,0.000,0.008,0.008,0.000,0.032,0.032,0.001,0.000,0.000,0.000,0.892,0.892
TCGA-KO-8416-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.001,0.010,0.000,0.029,0.026,0.000,0.000,0.000,0.000,0.930,0.930
