,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-EL-A3D0-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.001,0.084,0.001,0.045,0.011,0.000,0.001,0.000,0.000,0.853,0.853
TCGA-J8-A4HY-01A,0.005,0.001,0.004,0.006,0.000,0.000,0.015,0.077,0.000,0.035,0.039,0.002,0.004,0.000,0.000,0.811,0.811
TCGA-L6-A4ET-01A,0.012,0.001,0.000,0.006,0.000,0.000,0.010,0.091,0.000,0.026,0.008,0.001,0.003,0.000,0.000,0.842,0.842
TCGA-DE-A4MC-01A,0.000,0.000,0.032,0.017,0.000,0.000,0.077,0.059,0.005,0.020,0.000,0.000,0.000,0.000,0.000,0.789,0.789
TCGA-ET-A25K-01A,0.018,0.001,0.001,0.000,0.000,0.000,0.001,0.204,0.000,0.089,0.023,0.000,0.000,0.000,0.000,0.663,0.663
TCGA-DJ-A3UU-01A,0.019,0.006,0.015,0.012,0.000,0.000,0.034,0.081,0.128,0.029,0.037,0.000,0.001,0.000,0.000,0.636,0.636
TCGA-EM-A1YA-01A,0.008,0.003,0.003,0.000,0.000,0.000,0.001,0.093,0.000,0.069,0.001,0.005,0.003,0.000,0.000,0.814,0.814
TCGA-CE-A483-01A,0.000,0.001,0.001,0.001,0.000,0.000,0.001,0.096,0.000,0.025,0.021,0.000,0.001,0.000,0.000,0.853,0.853
TCGA-DJ-A3VD-01A,0.037,0.055,0.038,0.006,0.008,0.001,0.084,0.079,0.161,0.020,0.074,0.001,0.003,0.001,0.000,0.432,0.432
TCGA-BJ-A28S-01A,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.146,0.000,0.073,0.004,0.001,0.003,0.000,0.000,0.771,0.771
TCGA-FY-A3R9-01A,0.025,0.010,0.000,0.000,0.000,0.000,0.003,0.068,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.834,0.834
TCGA-FY-A3R8-01A,0.000,0.001,0.009,0.000,0.000,0.000,0.033,0.083,0.012,0.018,0.069,0.001,0.000,0.000,0.000,0.773,0.773
TCGA-DJ-A3V2-01A,0.045,0.016,0.025,0.032,0.016,0.000,0.031,0.096,0.008,0.023,0.136,0.000,0.002,0.000,0.000,0.568,0.568
TCGA-ET-A25L-01A,0.000,0.002,0.016,0.001,0.000,0.000,0.026,0.078,0.028,0.022,0.046,0.004,0.001,0.000,0.000,0.776,0.776
TCGA-EL-A3D1-01A,0.028,0.000,0.008,0.003,0.000,0.000,0.010,0.099,0.001,0.039,0.052,0.005,0.001,0.000,0.000,0.753,0.753
TCGA-FY-A3I4-01A,0.013,0.005,0.011,0.004,0.000,0.000,0.011,0.139,0.150,0.044,0.057,0.003,0.002,0.000,0.000,0.560,0.560
TCGA-DJ-A3UV-01A,0.015,0.001,0.014,0.004,0.006,0.000,0.028,0.117,0.010,0.067,0.041,0.001,0.003,0.000,0.000,0.694,0.694
TCGA-BJ-A28T-01A,0.101,0.049,0.041,0.017,0.037,0.001,0.092,0.108,0.089,0.033,0.100,0.000,0.003,0.000,0.000,0.330,0.330
TCGA-EM-A3FQ-01A,0.008,0.016,0.027,0.004,0.011,0.001,0.114,0.074,0.071,0.034,0.071,0.001,0.000,0.000,0.000,0.567,0.567
TCGA-J8-A4HW-01A,0.011,0.002,0.000,0.001,0.000,0.000,0.000,0.108,0.000,0.031,0.001,0.000,0.000,0.000,0.000,0.846,0.846
TCGA-MK-A4N6-01A,0.000,0.011,0.010,0.005,0.000,0.000,0.000,0.037,0.001,0.021,0.066,0.000,0.000,0.000,0.000,0.849,0.849
TCGA-DJ-A3V8-01A,0.005,0.000,0.003,0.001,0.000,0.000,0.012,0.065,0.000,0.023,0.018,0.000,0.000,0.000,0.000,0.874,0.874
TCGA-DJ-A1QI-01A,0.012,0.001,0.007,0.002,0.000,0.000,0.016,0.081,0.105,0.029,0.039,0.000,0.000,0.000,0.000,0.707,0.707
TCGA-EL-A3H8-01A,0.002,0.004,0.002,0.001,0.000,0.000,0.007,0.092,0.003,0.030,0.021,0.001,0.000,0.000,0.000,0.839,0.839
TCGA-EM-A3O3-01A,0.030,0.011,0.030,0.003,0.004,0.000,0.058,0.012,0.076,0.002,0.069,0.003,0.000,0.000,0.000,0.702,0.702
TCGA-IM-A3U3-01A,0.010,0.000,0.016,0.004,0.000,0.000,0.036,0.076,0.000,0.027,0.037,0.000,0.000,0.000,0.000,0.794,0.794
