,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-HQ-A5NE-01A,0.000,0.000,0.018,0.007,0.000,0.000,0.007,0.090,0.086,0.015,0.021,0.011,0.000,0.001,0.000,0.744,0.744
TCGA-FD-A5BT-01A,0.010,0.000,0.019,0.021,0.016,0.000,0.011,0.008,0.349,0.012,0.153,0.006,0.002,0.000,0.001,0.392,0.392
TCGA-DK-A3IQ-01A,0.001,0.000,0.008,0.001,0.000,0.000,0.008,0.064,0.619,0.056,0.052,0.008,0.000,0.000,0.000,0.182,0.182
TCGA-ZF-AA4X-01A,0.000,0.000,0.003,0.019,0.000,0.000,0.029,0.004,0.000,0.003,0.004,0.001,0.000,0.000,0.000,0.937,0.937
TCGA-GD-A3OQ-01A,0.000,0.000,0.007,0.004,0.000,0.000,0.002,0.028,0.009,0.004,0.011,0.006,0.000,0.000,0.000,0.928,0.928
TCGA-ZF-AA51-01A,0.033,0.000,0.036,0.012,0.001,0.000,0.011,0.030,0.081,0.009,0.075,0.008,0.000,0.001,0.018,0.686,0.686
TCGA-FD-A3SS-01A,0.000,0.000,0.005,0.009,0.000,0.000,0.001,0.008,0.033,0.022,0.017,0.002,0.000,0.001,0.000,0.903,0.903
TCGA-DK-AA71-01A,0.000,0.000,0.008,0.013,0.000,0.000,0.000,0.016,0.005,0.007,0.018,0.001,0.000,0.000,0.000,0.932,0.932
TCGA-4Z-AA83-01A,0.000,0.000,0.004,0.015,0.000,0.000,0.024,0.045,0.000,0.034,0.023,0.003,0.000,0.000,0.000,0.853,0.853
TCGA-ZF-A9R4-01A,0.000,0.000,0.001,0.025,0.000,0.000,0.008,0.015,0.000,0.002,0.026,0.000,0.000,0.000,0.000,0.922,0.922
TCGA-BT-A20P-01A,0.000,0.000,0.001,0.003,0.000,0.000,0.000,0.027,0.000,0.017,0.016,0.000,0.000,0.000,0.000,0.936,0.936
TCGA-HQ-A2OE-01A,0.003,0.000,0.011,0.000,0.001,0.000,0.005,0.019,0.000,0.007,0.007,0.001,0.000,0.000,0.004,0.941,0.941
TCGA-R3-A69X-01A,0.006,0.004,0.027,0.018,0.004,0.000,0.019,0.074,0.100,0.057,0.080,0.008,0.000,0.001,0.001,0.602,0.602
TCGA-BT-A3PH-01A,0.000,0.000,0.002,0.004,0.003,0.000,0.000,0.027,0.001,0.013,0.017,0.003,0.000,0.000,0.000,0.930,0.930
TCGA-UY-A9PA-01A,0.000,0.000,0.007,0.038,0.000,0.000,0.037,0.033,0.000,0.001,0.021,0.004,0.000,0.000,0.000,0.858,0.858
TCGA-BL-A13J-01B,0.006,0.002,0.011,0.037,0.004,0.010,0.004,0.048,0.108,0.017,0.022,0.002,0.000,0.004,0.002,0.721,0.721
TCGA-CF-A3MI-01A,0.001,0.000,0.000,0.000,0.000,0.000,0.007,0.016,0.000,0.023,0.007,0.002,0.000,0.000,0.000,0.944,0.944
TCGA-XF-AAMW-01A,0.003,0.000,0.024,0.004,0.000,0.000,0.012,0.063,0.085,0.003,0.042,0.003,0.000,0.000,0.000,0.761,0.761
TCGA-H4-A2HQ-01A,0.007,0.000,0.007,0.015,0.001,0.000,0.001,0.041,0.000,0.003,0.012,0.001,0.000,0.000,0.000,0.912,0.912
TCGA-HQ-A5ND-01A,0.000,0.000,0.004,0.013,0.000,0.000,0.000,0.038,0.001,0.008,0.001,0.000,0.000,0.000,0.000,0.935,0.935
TCGA-K4-A6FZ-01A,0.001,0.000,0.018,0.016,0.000,0.000,0.018,0.069,0.000,0.004,0.027,0.007,0.000,0.001,0.001,0.837,0.837
TCGA-DK-A3IV-01A,0.001,0.021,0.061,0.033,0.011,0.000,0.035,0.014,0.000,0.005,0.045,0.002,0.000,0.001,0.000,0.770,0.770
TCGA-E7-A3X6-01A,0.001,0.000,0.019,0.050,0.000,0.000,0.006,0.067,0.027,0.017,0.033,0.002,0.000,0.000,0.000,0.776,0.776
TCGA-BT-A42F-01A,0.050,0.000,0.021,0.014,0.015,0.000,0.018,0.017,0.006,0.013,0.055,0.006,0.000,0.001,0.001,0.782,0.782
TCGA-UY-A8OB-01A,0.000,0.000,0.007,0.039,0.000,0.000,0.000,0.008,0.009,0.004,0.025,0.008,0.000,0.000,0.000,0.900,0.900
TCGA-DK-A1A3-01A,0.011,0.000,0.015,0.003,0.003,0.000,0.014,0.025,0.093,0.012,0.082,0.007,0.000,0.000,0.000,0.736,0.736
TCGA-DK-AA6X-01A,0.000,0.004,0.033,0.000,0.011,0.000,0.057,0.048,0.041,0.015,0.057,0.004,0.000,0.000,0.000,0.729,0.729
TCGA-G2-A3IE-01A,0.005,0.000,0.009,0.000,0.000,0.000,0.001,0.024,0.000,0.010,0.024,0.004,0.000,0.000,0.000,0.924,0.924
TCGA-FD-A5BU-01A,0.008,0.002,0.019,0.009,0.001,0.000,0.015,0.076,0.129,0.038,0.036,0.005,0.000,0.001,0.000,0.661,0.661
TCGA-C4-A0EZ-01A,0.000,0.000,0.009,0.004,0.004,0.000,0.001,0.034,0.000,0.029,0.003,0.000,0.000,0.000,0.000,0.915,0.915
TCGA-FD-A3B3-01A,0.018,0.000,0.036,0.043,0.010,0.000,0.020,0.079,0.153,0.031,0.053,0.003,0.000,0.002,0.006,0.545,0.545
TCGA-FD-A5BZ-01A,0.010,0.000,0.017,0.007,0.001,0.000,0.003,0.049,0.350,0.034,0.038,0.009,0.000,0.000,0.000,0.481,0.481
TCGA-C4-A0F7-01A,0.000,0.000,0.010,0.000,0.000,0.000,0.001,0.092,0.001,0.015,0.003,0.002,0.000,0.000,0.003,0.872,0.872
TCGA-XF-AAMR-01A,0.000,0.000,0.014,0.019,0.000,0.000,0.018,0.125,0.147,0.143,0.087,0.014,0.000,0.000,0.000,0.433,0.433
TCGA-XF-AAN7-01A,0.000,0.000,0.017,0.010,0.000,0.000,0.004,0.100,0.138,0.092,0.022,0.004,0.000,0.000,0.000,0.612,0.612
TCGA-UY-A8OD-01A,0.009,0.003,0.014,0.009,0.001,0.000,0.009,0.011,0.151,0.058,0.076,0.008,0.000,0.000,0.000,0.651,0.651
TCGA-FD-A3SP-01A,0.007,0.000,0.026,0.017,0.013,0.000,0.036,0.058,0.394,0.012,0.147,0.005,0.000,0.000,0.000,0.284,0.284
TCGA-DK-A2HX-01A,0.000,0.000,0.012,0.007,0.000,0.000,0.010,0.067,0.251,0.042,0.049,0.005,0.000,0.000,0.000,0.558,0.558
TCGA-CF-A8HX-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.005,0.000,0.005,0.004,0.000,0.000,0.000,0.000,0.984,0.984
TCGA-E7-A85H-01A,0.004,0.000,0.024,0.013,0.006,0.000,0.005,0.007,0.044,0.008,0.053,0.001,0.000,0.000,0.000,0.834,0.834
TCGA-ZF-A9RL-01A,0.000,0.000,0.001,0.002,0.000,0.000,0.002,0.014,0.000,0.005,0.007,0.001,0.000,0.000,0.000,0.967,0.967
TCGA-UY-A9PB-01A,0.026,0.000,0.034,0.049,0.010,0.000,0.008,0.046,0.192,0.008,0.138,0.005,0.000,0.000,0.000,0.483,0.483
TCGA-GV-A3JV-01A,0.013,0.004,0.025,0.004,0.019,0.000,0.011,0.066,0.060,0.029,0.037,0.006,0.000,0.000,0.000,0.726,0.726
TCGA-GD-A6C6-01A,0.000,0.000,0.009,0.010,0.000,0.000,0.000,0.002,0.000,0.013,0.025,0.003,0.000,0.000,0.000,0.937,0.937
TCGA-XF-A9SW-01A,0.004,0.003,0.013,0.010,0.001,0.000,0.017,0.102,0.335,0.206,0.049,0.008,0.000,0.001,0.001,0.249,0.249
TCGA-GV-A3QI-01A,0.000,0.000,0.005,0.002,0.008,0.000,0.001,0.063,0.000,0.026,0.006,0.001,0.000,0.000,0.000,0.888,0.888
TCGA-UY-A9PE-01A,0.015,0.000,0.008,0.003,0.000,0.000,0.002,0.007,0.053,0.024,0.017,0.005,0.000,0.000,0.000,0.867,0.867
TCGA-E7-A97P-01A,0.000,0.000,0.026,0.076,0.007,0.000,0.005,0.082,0.088,0.012,0.041,0.006,0.000,0.000,0.000,0.656,0.656
TCGA-G2-AA3D-01A,0.003,0.002,0.008,0.005,0.000,0.000,0.007,0.017,0.000,0.004,0.007,0.001,0.000,0.000,0.000,0.944,0.944
TCGA-BL-A3JM-01A,0.000,0.000,0.003,0.003,0.019,0.000,0.005,0.012,0.072,0.007,0.018,0.001,0.000,0.000,0.000,0.859,0.859
TCGA-GV-A3JZ-01A,0.003,0.000,0.007,0.012,0.000,0.000,0.000,0.015,0.058,0.011,0.060,0.002,0.000,0.000,0.000,0.831,0.831
TCGA-ZF-A9R5-01A,0.005,0.000,0.013,0.004,0.000,0.000,0.005,0.035,0.000,0.003,0.005,0.000,0.000,0.000,0.000,0.929,0.929
TCGA-UY-A9PH-01A,0.017,0.000,0.036,0.030,0.003,0.000,0.039,0.034,0.056,0.010,0.083,0.002,0.000,0.000,0.000,0.692,0.692
TCGA-E7-A7XN-01A,0.000,0.000,0.022,0.118,0.001,0.000,0.006,0.044,0.000,0.002,0.060,0.006,0.000,0.001,0.000,0.740,0.740
TCGA-XF-A9T8-01A,0.000,0.000,0.016,0.042,0.009,0.000,0.006,0.053,0.066,0.018,0.124,0.005,0.000,0.003,0.001,0.658,0.658
TCGA-DK-A3X1-01A,0.000,0.000,0.014,0.000,0.000,0.000,0.002,0.007,0.023,0.035,0.026,0.001,0.000,0.000,0.000,0.892,0.892
TCGA-E5-A4TZ-01A,0.000,0.001,0.006,0.011,0.000,0.000,0.008,0.020,0.000,0.003,0.011,0.004,0.000,0.001,0.002,0.932,0.932
TCGA-XF-AAN3-01A,0.000,0.000,0.013,0.000,0.000,0.000,0.024,0.023,0.085,0.010,0.068,0.002,0.000,0.000,0.000,0.774,0.774
TCGA-E7-A7DV-01A,0.000,0.000,0.027,0.015,0.002,0.000,0.000,0.040,0.041,0.005,0.354,0.014,0.000,0.000,0.000,0.500,0.500
TCGA-BT-A20O-01A,0.017,0.010,0.042,0.091,0.059,0.000,0.014,0.056,0.115,0.018,0.327,0.008,0.000,0.001,0.000,0.242,0.242
TCGA-XF-AAMY-01A,0.001,0.000,0.013,0.013,0.000,0.000,0.014,0.055,0.115,0.029,0.055,0.009,0.000,0.001,0.001,0.695,0.695
TCGA-BT-A20V-01A,0.000,0.000,0.015,0.028,0.000,0.000,0.013,0.003,0.000,0.001,0.016,0.001,0.000,0.000,0.000,0.923,0.923
TCGA-GC-A3BM-01A,0.000,0.000,0.008,0.001,0.014,0.000,0.007,0.069,0.000,0.010,0.009,0.000,0.000,0.000,0.000,0.881,0.881
TCGA-K4-A4AB-01B,0.000,0.000,0.015,0.000,0.000,0.000,0.012,0.059,0.145,0.033,0.036,0.001,0.000,0.000,0.000,0.698,0.698
TCGA-FD-A5C0-01A,0.000,0.000,0.011,0.015,0.000,0.000,0.010,0.033,0.043,0.033,0.032,0.005,0.000,0.001,0.000,0.817,0.817
TCGA-G2-A2EK-01A,0.001,0.017,0.029,0.001,0.000,0.004,0.009,0.016,0.006,0.035,0.011,0.007,0.000,0.000,0.000,0.864,0.864
TCGA-CF-A1HR-01A,0.019,0.000,0.012,0.004,0.000,0.000,0.020,0.048,0.005,0.027,0.037,0.007,0.000,0.000,0.000,0.820,0.820
TCGA-GC-A3RD-01A,0.000,0.000,0.002,0.008,0.000,0.000,0.000,0.013,0.021,0.006,0.044,0.005,0.000,0.000,0.001,0.899,0.899
TCGA-E7-A5KE-01A,0.000,0.000,0.000,0.009,0.000,0.000,0.001,0.019,0.000,0.006,0.002,0.000,0.000,0.000,0.000,0.963,0.963
TCGA-ZF-A9R9-01A,0.023,0.000,0.014,0.000,0.000,0.000,0.007,0.007,0.292,0.025,0.037,0.008,0.000,0.000,0.000,0.586,0.586
TCGA-DK-A1AB-01A,0.008,0.000,0.017,0.011,0.001,0.000,0.013,0.057,0.218,0.024,0.062,0.006,0.000,0.001,0.000,0.582,0.582
TCGA-GU-A42R-01A,0.000,0.000,0.001,0.004,0.000,0.000,0.000,0.058,0.000,0.007,0.004,0.001,0.000,0.000,0.000,0.925,0.925
TCGA-E7-A5KF-01A,0.000,0.000,0.006,0.003,0.000,0.000,0.002,0.033,0.000,0.002,0.006,0.001,0.000,0.000,0.000,0.946,0.946
TCGA-ZF-AA54-01A,0.000,0.000,0.042,0.008,0.003,0.000,0.002,0.072,0.142,0.019,0.208,0.009,0.000,0.000,0.000,0.495,0.495
TCGA-CF-A3MF-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.000,0.020,0.002,0.002,0.000,0.000,0.000,0.973,0.973
TCGA-E7-A6ME-01A,0.011,0.004,0.018,0.033,0.027,0.000,0.008,0.014,0.003,0.016,0.038,0.003,0.000,0.000,0.000,0.826,0.826
TCGA-DK-AA6M-01A,0.003,0.000,0.026,0.024,0.001,0.000,0.040,0.039,0.072,0.010,0.088,0.008,0.000,0.000,0.000,0.690,0.690
TCGA-CF-A47W-01A,0.000,0.000,0.003,0.002,0.000,0.000,0.000,0.030,0.000,0.016,0.005,0.001,0.000,0.000,0.000,0.944,0.944
