,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-4T-AA8H-01A,0.005,0.000,0.000,0.000,0.000,0.000,0.015,0.003,0.000,0.006,0.004,0.000,0.000,0.000,0.000,0.966,0.966
TCGA-AA-A00Q-01A,0.001,0.000,0.008,0.004,0.000,0.000,0.026,0.028,0.030,0.006,0.025,0.001,0.000,0.000,0.000,0.871,0.871
TCGA-AZ-4614-01A,0.000,0.000,0.004,0.011,0.002,0.000,0.005,0.014,0.003,0.002,0.005,0.004,0.000,0.000,0.000,0.948,0.948
TCGA-A6-2675-01A,0.009,0.000,0.024,0.000,0.000,0.000,0.016,0.053,0.137,0.013,0.079,0.006,0.000,0.000,0.000,0.661,0.661
TCGA-AA-A00U-01A,0.000,0.000,0.008,0.004,0.001,0.000,0.021,0.011,0.020,0.011,0.008,0.000,0.000,0.000,0.000,0.917,0.917
TCGA-A6-6781-01A,0.006,0.000,0.009,0.024,0.009,0.000,0.009,0.070,0.218,0.011,0.095,0.002,0.001,0.003,0.004,0.539,0.539
TCGA-CM-6169-01A,0.014,0.000,0.039,0.015,0.001,0.000,0.042,0.099,0.147,0.021,0.083,0.005,0.000,0.001,0.000,0.532,0.532
TCGA-AA-3516-01A,0.006,0.000,0.014,0.013,0.011,0.000,0.035,0.030,0.033,0.005,0.026,0.006,0.000,0.000,0.000,0.821,0.821
TCGA-AA-3552-01A,0.037,0.000,0.020,0.006,0.012,0.000,0.047,0.037,0.024,0.019,0.049,0.005,0.000,0.000,0.000,0.742,0.742
TCGA-D5-6931-01A,0.021,0.000,0.028,0.004,0.005,0.000,0.013,0.030,0.069,0.002,0.049,0.008,0.000,0.000,0.000,0.771,0.771
TCGA-SS-A7HO-01A,0.000,0.000,0.000,0.004,0.000,0.000,0.004,0.026,0.000,0.018,0.008,0.000,0.000,0.000,0.001,0.937,0.937
TCGA-AZ-6605-01A,0.020,0.000,0.033,0.003,0.001,0.000,0.022,0.066,0.212,0.021,0.066,0.005,0.000,0.000,0.000,0.552,0.552
TCGA-CA-6717-01A,0.014,0.012,0.023,0.008,0.012,0.000,0.033,0.050,0.108,0.030,0.072,0.007,0.000,0.000,0.000,0.630,0.630
TCGA-NH-A8F7-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.007,0.004,0.003,0.013,0.007,0.000,0.000,0.000,0.000,0.965,0.965
TCGA-AD-6965-01A,0.000,0.000,0.011,0.010,0.004,0.000,0.008,0.040,0.038,0.014,0.020,0.001,0.000,0.000,0.000,0.855,0.855
TCGA-AA-A02H-01A,0.005,0.000,0.002,0.005,0.000,0.000,0.014,0.024,0.036,0.009,0.018,0.001,0.000,0.000,0.000,0.886,0.886
TCGA-AA-A022-01A,0.021,0.000,0.018,0.042,0.029,0.000,0.052,0.025,0.041,0.002,0.044,0.002,0.000,0.000,0.000,0.725,0.725
TCGA-AA-3680-01A,0.019,0.000,0.022,0.012,0.002,0.001,0.026,0.034,0.021,0.013,0.035,0.004,0.000,0.000,0.000,0.811,0.811
TCGA-A6-6650-01A,0.007,0.000,0.001,0.007,0.000,0.000,0.006,0.037,0.009,0.008,0.016,0.001,0.000,0.000,0.000,0.908,0.908
TCGA-G4-6311-01A,0.000,0.019,0.011,0.001,0.003,0.000,0.014,0.029,0.117,0.006,0.051,0.003,0.000,0.000,0.000,0.746,0.746
TCGA-A6-2677-01B,0.005,0.002,0.002,0.017,0.005,0.028,0.012,0.060,0.069,0.026,0.018,0.005,0.000,0.002,0.000,0.750,0.750
TCGA-AA-3815-01A,0.009,0.000,0.031,0.044,0.007,0.000,0.027,0.015,0.028,0.006,0.075,0.004,0.000,0.000,0.000,0.753,0.753
TCGA-CK-4951-01A,0.000,0.000,0.035,0.025,0.000,0.000,0.012,0.023,0.108,0.006,0.058,0.006,0.000,0.000,0.000,0.726,0.726
TCGA-CK-6748-01A,0.000,0.000,0.012,0.000,0.000,0.000,0.016,0.042,0.148,0.014,0.059,0.003,0.000,0.000,0.000,0.704,0.704
TCGA-CA-5255-01A,0.000,0.000,0.004,0.001,0.000,0.000,0.010,0.004,0.011,0.005,0.009,0.005,0.000,0.000,0.000,0.951,0.951
TCGA-CK-4952-01A,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.012,0.011,0.001,0.025,0.000,0.000,0.000,0.002,0.946,0.946
TCGA-AZ-4315-01A,0.000,0.000,0.008,0.010,0.000,0.000,0.010,0.008,0.029,0.011,0.048,0.005,0.000,0.000,0.000,0.871,0.871
TCGA-AA-3869-01A,0.001,0.000,0.012,0.011,0.003,0.000,0.019,0.019,0.029,0.011,0.059,0.004,0.000,0.000,0.001,0.832,0.832
TCGA-G4-6626-01A,0.001,0.000,0.005,0.007,0.003,0.000,0.012,0.010,0.005,0.008,0.009,0.001,0.000,0.000,0.000,0.938,0.938
TCGA-DM-A1D7-01A,0.000,0.000,0.008,0.002,0.000,0.000,0.016,0.016,0.015,0.010,0.018,0.000,0.000,0.000,0.000,0.915,0.915
TCGA-AA-3531-01A,0.003,0.000,0.002,0.006,0.000,0.000,0.022,0.011,0.025,0.009,0.015,0.001,0.000,0.000,0.000,0.906,0.906
TCGA-A6-5662-01A,0.000,0.000,0.001,0.006,0.000,0.000,0.008,0.043,0.064,0.012,0.020,0.002,0.000,0.000,0.000,0.843,0.843
TCGA-CM-4744-01A,0.000,0.000,0.010,0.020,0.009,0.000,0.017,0.004,0.004,0.004,0.015,0.002,0.000,0.000,0.000,0.914,0.914
TCGA-D5-5540-01A,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.005,0.025,0.005,0.010,0.001,0.000,0.000,0.000,0.942,0.942
TCGA-AZ-6608-01A,0.000,0.000,0.002,0.001,0.000,0.000,0.006,0.004,0.000,0.004,0.005,0.000,0.000,0.000,0.000,0.978,0.978
TCGA-AA-3518-01A,0.016,0.000,0.018,0.021,0.007,0.000,0.016,0.013,0.020,0.004,0.045,0.002,0.000,0.000,0.000,0.838,0.838
TCGA-CM-5863-01A,0.002,0.000,0.002,0.005,0.002,0.000,0.007,0.034,0.096,0.010,0.066,0.003,0.000,0.000,0.000,0.775,0.775
TCGA-A6-5666-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.010,0.008,0.009,0.010,0.000,0.000,0.000,0.001,0.960,0.960
TCGA-DM-A280-01A,0.000,0.000,0.001,0.004,0.000,0.000,0.000,0.006,0.031,0.008,0.023,0.012,0.000,0.000,0.000,0.914,0.914
TCGA-AA-3973-01A,0.000,0.000,0.010,0.002,0.008,0.002,0.004,0.032,0.050,0.012,0.015,0.001,0.000,0.000,0.000,0.864,0.864
TCGA-CM-4748-01A,0.008,0.003,0.016,0.022,0.003,0.002,0.019,0.030,0.059,0.020,0.045,0.007,0.000,0.000,0.001,0.764,0.764
TCGA-D5-6530-01A,0.015,0.000,0.010,0.021,0.010,0.000,0.014,0.006,0.046,0.000,0.050,0.001,0.000,0.000,0.000,0.825,0.825
TCGA-A6-6137-01A,0.018,0.000,0.028,0.000,0.002,0.002,0.039,0.049,0.016,0.009,0.024,0.003,0.000,0.000,0.000,0.809,0.809
TCGA-DM-A1D6-01A,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.003,0.018,0.000,0.004,0.000,0.000,0.000,0.000,0.972,0.972
TCGA-D5-6923-01A,0.000,0.000,0.006,0.005,0.000,0.000,0.016,0.042,0.152,0.008,0.025,0.003,0.000,0.000,0.000,0.742,0.742
TCGA-A6-2681-01A,0.003,0.000,0.015,0.006,0.003,0.000,0.014,0.038,0.085,0.021,0.059,0.005,0.000,0.000,0.000,0.751,0.751
TCGA-F4-6463-01A,0.008,0.000,0.007,0.014,0.007,0.000,0.014,0.045,0.117,0.024,0.032,0.003,0.000,0.000,0.000,0.731,0.731
TCGA-AZ-6599-01A,0.012,0.000,0.000,0.006,0.003,0.000,0.002,0.009,0.011,0.004,0.008,0.002,0.000,0.000,0.000,0.944,0.944
TCGA-D5-6532-01A,0.005,0.000,0.004,0.005,0.000,0.000,0.009,0.019,0.018,0.009,0.012,0.001,0.000,0.000,0.000,0.916,0.916
TCGA-AA-3489-01A,0.026,0.043,0.023,0.011,0.012,0.000,0.026,0.076,0.209,0.021,0.092,0.008,0.000,0.002,0.005,0.448,0.448
TCGA-CM-6171-01A,0.000,0.000,0.008,0.005,0.000,0.000,0.010,0.043,0.029,0.002,0.020,0.000,0.000,0.000,0.000,0.883,0.883
TCGA-AA-A00R-01A,0.012,0.000,0.034,0.091,0.016,0.000,0.038,0.008,0.025,0.007,0.064,0.002,0.000,0.000,0.000,0.700,0.700
TCGA-DM-A28C-01A,0.000,0.000,0.001,0.000,0.000,0.002,0.006,0.002,0.016,0.005,0.005,0.000,0.000,0.000,0.000,0.963,0.963
TCGA-AA-A01T-01A,0.001,0.000,0.007,0.007,0.000,0.000,0.015,0.007,0.000,0.007,0.008,0.002,0.000,0.000,0.000,0.945,0.945
TCGA-AA-A02E-01A,0.000,0.000,0.011,0.008,0.000,0.000,0.017,0.014,0.035,0.005,0.012,0.000,0.000,0.000,0.000,0.898,0.898
TCGA-CM-5860-01A,0.000,0.000,0.015,0.005,0.000,0.000,0.002,0.041,0.160,0.006,0.058,0.004,0.000,0.000,0.000,0.709,0.709
TCGA-A6-6141-01A,0.023,0.000,0.023,0.010,0.005,0.000,0.028,0.015,0.049,0.001,0.033,0.001,0.000,0.000,0.000,0.811,0.811
TCGA-AA-A00D-01A,0.031,0.000,0.035,0.043,0.001,0.000,0.034,0.023,0.060,0.005,0.081,0.003,0.000,0.001,0.000,0.681,0.681
TCGA-G4-6628-01A,0.006,0.000,0.030,0.067,0.021,0.000,0.051,0.036,0.036,0.012,0.075,0.002,0.000,0.000,0.000,0.663,0.663
TCGA-AA-3688-01A,0.015,0.000,0.013,0.002,0.001,0.000,0.014,0.036,0.025,0.010,0.031,0.002,0.000,0.000,0.000,0.852,0.852
TCGA-AA-3492-01A,0.000,0.000,0.016,0.019,0.000,0.000,0.002,0.007,0.031,0.007,0.054,0.008,0.000,0.000,0.000,0.856,0.856
