,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-32-2616-01A,0.000,0.000,0.002,0.000,0.014,0.000,0.001,0.022,0.000,0.010,0.171,0.000,0.000,0.000,0.000,0.779,0.779
TCGA-32-1980-01A,0.000,0.000,0.014,0.003,0.022,0.000,0.007,0.095,0.003,0.039,0.248,0.003,0.004,0.000,0.001,0.559,0.559
TCGA-28-2514-01A,0.000,0.000,0.003,0.003,0.010,0.000,0.013,0.088,0.000,0.019,0.073,0.001,0.001,0.000,0.000,0.789,0.789
TCGA-06-0644-01A,0.000,0.000,0.019,0.003,0.005,0.000,0.000,0.083,0.192,0.000,0.176,0.003,0.000,0.000,0.000,0.517,0.517
TCGA-06-1804-01A,0.000,0.000,0.005,0.002,0.021,0.000,0.011,0.044,0.007,0.011,0.075,0.000,0.001,0.002,0.001,0.819,0.819
TCGA-41-2571-01A,0.000,0.000,0.001,0.002,0.004,0.000,0.004,0.028,0.000,0.007,0.095,0.001,0.003,0.000,0.000,0.855,0.855
TCGA-19-2619-01A,0.000,0.000,0.003,0.000,0.008,0.000,0.001,0.063,0.001,0.029,0.064,0.002,0.000,0.001,0.000,0.828,0.828
TCGA-27-1837-01A,0.000,0.000,0.004,0.001,0.000,0.000,0.028,0.075,0.001,0.010,0.150,0.001,0.001,0.000,0.000,0.727,0.727
TCGA-27-1832-01A,0.000,0.000,0.011,0.008,0.007,0.000,0.015,0.033,0.095,0.001,0.230,0.000,0.000,0.000,0.000,0.599,0.599
TCGA-06-0686-01A,0.000,0.000,0.003,0.000,0.004,0.000,0.018,0.078,0.000,0.031,0.122,0.001,0.000,0.000,0.000,0.740,0.740
TCGA-06-5856-01A,0.000,0.000,0.003,0.000,0.005,0.000,0.003,0.077,0.001,0.016,0.145,0.000,0.000,0.000,0.000,0.749,0.749
TCGA-28-1753-01A,0.000,0.000,0.005,0.001,0.015,0.000,0.025,0.115,0.050,0.028,0.265,0.001,0.000,0.000,0.000,0.494,0.494
TCGA-28-5218-01A,0.000,0.000,0.033,0.000,0.028,0.000,0.000,0.100,0.506,0.002,0.173,0.001,0.000,0.000,0.000,0.156,0.156
TCGA-32-1970-01A,0.000,0.000,0.004,0.000,0.019,0.000,0.015,0.058,0.001,0.013,0.078,0.001,0.000,0.000,0.000,0.812,0.812
TCGA-28-5204-01A,0.000,0.000,0.004,0.000,0.005,0.000,0.007,0.069,0.001,0.016,0.116,0.001,0.000,0.000,0.000,0.780,0.780
TCGA-12-3653-01A,0.000,0.000,0.004,0.000,0.001,0.000,0.005,0.036,0.000,0.001,0.150,0.000,0.000,0.000,0.000,0.801,0.801
TCGA-06-0187-01A,0.000,0.000,0.001,0.002,0.000,0.000,0.000,0.048,0.002,0.005,0.177,0.000,0.000,0.001,0.000,0.764,0.764
TCGA-19-2624-01A,0.000,0.000,0.000,0.006,0.001,0.000,0.012,0.060,0.000,0.011,0.039,0.001,0.000,0.000,0.000,0.870,0.870
TCGA-12-3652-01A,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.031,0.000,0.014,0.046,0.000,0.000,0.000,0.000,0.905,0.905
TCGA-12-5299-01A,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.060,0.001,0.013,0.160,0.003,0.000,0.000,0.000,0.755,0.755
TCGA-06-0749-01A,0.000,0.000,0.005,0.000,0.017,0.000,0.006,0.052,0.000,0.021,0.249,0.002,0.000,0.000,0.000,0.648,0.648
