,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-55-8508-01A,0.141,0.005,0.026,0.005,0.001,0.000,0.012,0.043,0.100,0.021,0.057,0.002,0.001,0.002,0.000,0.583,0.583
TCGA-67-3771-01A,0.044,0.003,0.013,0.013,0.014,0.000,0.016,0.040,0.082,0.020,0.160,0.002,0.000,0.001,0.002,0.590,0.590
TCGA-55-A4DG-01A,0.059,0.036,0.023,0.017,0.019,0.001,0.036,0.029,0.070,0.016,0.086,0.005,0.000,0.002,0.001,0.602,0.602
TCGA-91-7771-01A,0.038,0.012,0.030,0.010,0.017,0.001,0.043,0.094,0.100,0.035,0.136,0.004,0.000,0.001,0.001,0.479,0.479
TCGA-91-6849-01A,0.068,0.006,0.005,0.002,0.006,0.000,0.027,0.066,0.043,0.018,0.113,0.000,0.000,0.001,0.000,0.644,0.644
TCGA-64-5781-01A,0.046,0.000,0.009,0.043,0.001,0.000,0.001,0.016,0.116,0.011,0.047,0.004,0.000,0.001,0.000,0.704,0.704
TCGA-44-6146-01B,0.006,0.001,0.006,0.009,0.007,0.013,0.022,0.077,0.091,0.024,0.010,0.004,0.000,0.004,0.002,0.724,0.724
TCGA-97-7552-01A,0.038,0.040,0.033,0.035,0.020,0.000,0.048,0.100,0.071,0.024,0.111,0.008,0.000,0.002,0.001,0.468,0.468
TCGA-80-5608-01A,0.016,0.000,0.013,0.016,0.000,0.000,0.013,0.047,0.026,0.027,0.060,0.002,0.000,0.000,0.000,0.780,0.780
TCGA-91-6829-01A,0.005,0.000,0.016,0.004,0.006,0.000,0.005,0.089,0.271,0.022,0.095,0.007,0.000,0.000,0.000,0.479,0.479
TCGA-49-AARE-01A,0.018,0.003,0.008,0.017,0.001,0.000,0.017,0.005,0.081,0.013,0.066,0.002,0.000,0.001,0.000,0.767,0.767
TCGA-97-A4M1-01A,0.007,0.000,0.012,0.010,0.012,0.000,0.066,0.135,0.058,0.028,0.129,0.010,0.001,0.000,0.001,0.529,0.529
TCGA-83-5908-01A,0.003,0.000,0.030,0.106,0.023,0.000,0.040,0.060,0.085,0.009,0.098,0.004,0.000,0.000,0.000,0.542,0.542
TCGA-97-8179-01A,0.000,0.000,0.005,0.009,0.000,0.000,0.027,0.075,0.057,0.044,0.097,0.004,0.000,0.000,0.000,0.680,0.680
TCGA-64-1680-01A,0.015,0.000,0.006,0.004,0.000,0.000,0.035,0.023,0.028,0.011,0.060,0.007,0.000,0.000,0.000,0.811,0.811
TCGA-73-4670-01A,0.018,0.000,0.003,0.005,0.000,0.000,0.000,0.018,0.089,0.017,0.045,0.000,0.000,0.001,0.000,0.803,0.803
TCGA-44-3396-01A,0.044,0.001,0.028,0.012,0.016,0.000,0.043,0.059,0.172,0.015,0.152,0.005,0.000,0.003,0.001,0.449,0.449
TCGA-80-5611-01A,0.003,0.000,0.021,0.020,0.000,0.000,0.003,0.005,0.037,0.000,0.264,0.004,0.000,0.000,0.000,0.643,0.643
TCGA-53-7624-01A,0.015,0.000,0.036,0.027,0.008,0.000,0.001,0.038,0.043,0.007,0.087,0.002,0.000,0.001,0.000,0.735,0.735
TCGA-91-6835-01A,0.003,0.038,0.040,0.018,0.031,0.000,0.053,0.087,0.083,0.023,0.183,0.006,0.000,0.002,0.001,0.431,0.431
