,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-V1-A9OF-01A,0.001,0.000,0.007,0.000,0.002,0.000,0.006,0.024,0.003,0.009,0.015,0.002,0.000,0.000,0.000,0.931,0.931
TCGA-ZG-A8QX-01A,0.001,0.002,0.003,0.001,0.004,0.000,0.008,0.016,0.029,0.072,0.010,0.000,0.000,0.000,0.000,0.854,0.854
TCGA-YL-A8SC-01A,0.001,0.000,0.011,0.007,0.013,0.000,0.011,0.042,0.053,0.015,0.036,0.003,0.000,0.000,0.000,0.808,0.808
TCGA-HC-7817-01B,0.009,0.000,0.010,0.003,0.006,0.000,0.022,0.085,0.109,0.035,0.036,0.002,0.000,0.000,0.000,0.684,0.684
TCGA-KC-A7F6-01A,0.000,0.000,0.003,0.001,0.003,0.000,0.007,0.046,0.047,0.028,0.008,0.003,0.000,0.000,0.000,0.854,0.854
TCGA-KK-A7B4-01A,0.007,0.000,0.009,0.002,0.005,0.000,0.015,0.017,0.065,0.013,0.023,0.000,0.000,0.000,0.000,0.845,0.845
TCGA-G9-6366-01A,0.014,0.000,0.003,0.000,0.005,0.000,0.004,0.031,0.021,0.036,0.007,0.000,0.000,0.000,0.000,0.878,0.878
TCGA-KK-A59X-01A,0.001,0.000,0.007,0.002,0.000,0.000,0.007,0.022,0.029,0.023,0.024,0.000,0.000,0.000,0.000,0.886,0.886
TCGA-HC-A6AN-01A,0.001,0.000,0.003,0.001,0.004,0.000,0.003,0.021,0.034,0.023,0.023,0.000,0.000,0.000,0.000,0.888,0.888
TCGA-G9-6498-01A,0.003,0.000,0.012,0.000,0.009,0.000,0.014,0.072,0.120,0.051,0.011,0.005,0.000,0.000,0.000,0.703,0.703
TCGA-J4-AATZ-01A,0.001,0.000,0.004,0.001,0.000,0.000,0.007,0.021,0.007,0.024,0.007,0.001,0.000,0.000,0.000,0.927,0.927
TCGA-EJ-7317-01A,0.001,0.000,0.003,0.000,0.000,0.000,0.006,0.034,0.029,0.032,0.008,0.000,0.000,0.000,0.000,0.887,0.887
TCGA-SU-A7E7-01A,0.002,0.001,0.008,0.001,0.009,0.000,0.012,0.052,0.064,0.031,0.015,0.005,0.000,0.000,0.000,0.799,0.799
TCGA-XJ-A83F-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.003,0.033,0.039,0.038,0.010,0.000,0.000,0.000,0.000,0.877,0.877
TCGA-2A-AAYO-01A,0.003,0.012,0.017,0.000,0.003,0.000,0.014,0.032,0.066,0.043,0.029,0.008,0.000,0.000,0.000,0.772,0.772
TCGA-EJ-A46B-01A,0.001,0.000,0.006,0.000,0.001,0.000,0.007,0.041,0.012,0.044,0.008,0.003,0.000,0.000,0.000,0.878,0.878
TCGA-QU-A6IN-01A,0.001,0.000,0.002,0.001,0.000,0.000,0.001,0.009,0.002,0.024,0.005,0.000,0.000,0.000,0.000,0.955,0.955
TCGA-KK-A59Z-01A,0.004,0.000,0.001,0.000,0.005,0.000,0.012,0.059,0.066,0.048,0.021,0.003,0.000,0.000,0.000,0.780,0.780
TCGA-XK-AAJT-01A,0.007,0.000,0.004,0.000,0.006,0.000,0.012,0.068,0.076,0.078,0.022,0.003,0.000,0.000,0.000,0.723,0.723
TCGA-EJ-7125-01A,0.001,0.000,0.004,0.000,0.008,0.000,0.009,0.060,0.045,0.047,0.022,0.006,0.000,0.000,0.000,0.799,0.799
TCGA-J9-A52C-01A,0.001,0.000,0.009,0.000,0.012,0.000,0.016,0.099,0.134,0.090,0.035,0.008,0.000,0.000,0.000,0.596,0.596
TCGA-YL-A8HL-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.004,0.036,0.012,0.026,0.009,0.000,0.000,0.000,0.000,0.909,0.909
TCGA-ZG-A9LZ-01A,0.001,0.000,0.008,0.000,0.002,0.000,0.014,0.030,0.045,0.023,0.017,0.001,0.000,0.000,0.000,0.858,0.858
TCGA-J9-A8CP-01A,0.002,0.000,0.006,0.000,0.000,0.000,0.005,0.084,0.072,0.036,0.006,0.041,0.000,0.000,0.000,0.748,0.748
TCGA-FC-A6HD-01A,0.000,0.000,0.003,0.000,0.002,0.000,0.004,0.006,0.000,0.020,0.007,0.000,0.000,0.000,0.000,0.957,0.957
TCGA-G9-6351-01A,0.003,0.000,0.005,0.000,0.004,0.000,0.007,0.026,0.055,0.027,0.005,0.001,0.000,0.000,0.000,0.867,0.867
TCGA-EJ-5532-01A,0.001,0.000,0.008,0.000,0.007,0.000,0.007,0.051,0.058,0.027,0.009,0.002,0.000,0.000,0.000,0.830,0.830
TCGA-EJ-5525-01A,0.000,0.003,0.006,0.000,0.000,0.000,0.006,0.073,0.153,0.018,0.015,0.000,0.000,0.000,0.000,0.726,0.726
TCGA-ZG-A9L9-01A,0.000,0.000,0.011,0.000,0.004,0.000,0.022,0.037,0.177,0.075,0.049,0.003,0.000,0.000,0.000,0.621,0.621
TCGA-EJ-A65F-01A,0.001,0.000,0.004,0.003,0.006,0.000,0.009,0.071,0.060,0.034,0.014,0.006,0.000,0.000,0.000,0.792,0.792
