,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-A5-A0R8-01A,0.015,0.000,0.007,0.007,0.005,0.000,0.035,0.010,0.044,0.009,0.046,0.001,0.000,0.000,0.000,0.819,0.819
TCGA-A5-A0G3-01A,0.009,0.000,0.011,0.007,0.000,0.000,0.015,0.003,0.077,0.015,0.021,0.000,0.000,0.000,0.000,0.843,0.843
TCGA-AP-A054-01A,0.001,0.000,0.007,0.008,0.029,0.000,0.001,0.013,0.020,0.010,0.001,0.000,0.000,0.000,0.000,0.909,0.909
TCGA-A5-A0GX-01A,0.016,0.000,0.012,0.010,0.018,0.000,0.012,0.024,0.134,0.024,0.030,0.004,0.000,0.000,0.000,0.717,0.717
TCGA-DI-A2QY-01A,0.007,0.000,0.001,0.006,0.002,0.000,0.003,0.009,0.034,0.002,0.004,0.002,0.000,0.000,0.000,0.930,0.930
TCGA-EY-A1GC-01A,0.055,0.000,0.038,0.006,0.027,0.000,0.004,0.005,0.001,0.001,0.129,0.001,0.000,0.000,0.000,0.732,0.732
TCGA-A5-A0GI-01A,0.009,0.000,0.021,0.008,0.002,0.000,0.011,0.013,0.055,0.012,0.010,0.002,0.000,0.000,0.000,0.858,0.858
TCGA-D1-A17S-01A,0.005,0.000,0.000,0.001,0.000,0.000,0.017,0.002,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.951,0.951
TCGA-EY-A5W2-01A,0.001,0.000,0.004,0.011,0.007,0.000,0.000,0.002,0.025,0.009,0.042,0.000,0.000,0.000,0.000,0.898,0.898
TCGA-D1-A1NU-01A,0.007,0.000,0.007,0.008,0.001,0.000,0.000,0.009,0.018,0.006,0.025,0.001,0.000,0.000,0.000,0.918,0.918
TCGA-BG-A18A-01A,0.010,0.000,0.003,0.015,0.001,0.000,0.018,0.048,0.100,0.022,0.030,0.002,0.003,0.000,0.000,0.749,0.749
TCGA-AX-A06B-01A,0.032,0.000,0.015,0.002,0.021,0.000,0.010,0.072,0.105,0.016,0.040,0.003,0.000,0.000,0.000,0.685,0.685
TCGA-E6-A2P9-01A,0.011,0.000,0.010,0.008,0.027,0.000,0.009,0.027,0.023,0.005,0.013,0.000,0.000,0.000,0.000,0.866,0.866
TCGA-PG-A917-01A,0.017,0.000,0.015,0.040,0.017,0.000,0.014,0.043,0.029,0.001,0.070,0.001,0.000,0.000,0.000,0.750,0.750
TCGA-AX-A3FS-01A,0.001,0.000,0.009,0.015,0.002,0.000,0.006,0.018,0.073,0.007,0.005,0.000,0.000,0.000,0.002,0.862,0.862
TCGA-A5-A2K4-01A,0.013,0.002,0.004,0.009,0.008,0.000,0.007,0.058,0.098,0.001,0.024,0.001,0.000,0.000,0.000,0.775,0.775
TCGA-D1-A1O0-01A,0.006,0.000,0.000,0.016,0.003,0.000,0.002,0.012,0.004,0.005,0.025,0.001,0.000,0.000,0.000,0.926,0.926
TCGA-B5-A0JS-01A,0.024,0.000,0.017,0.007,0.000,0.000,0.026,0.038,0.062,0.004,0.027,0.003,0.008,0.000,0.000,0.783,0.783
TCGA-AX-A1CE-01A,0.001,0.000,0.001,0.006,0.010,0.000,0.001,0.010,0.001,0.004,0.022,0.000,0.000,0.000,0.000,0.944,0.944
TCGA-D1-A17F-01A,0.010,0.000,0.006,0.019,0.000,0.000,0.031,0.005,0.004,0.000,0.067,0.002,0.000,0.000,0.000,0.855,0.855
TCGA-EO-A3AV-01A,0.023,0.000,0.015,0.053,0.000,0.000,0.008,0.010,0.034,0.006,0.045,0.008,0.000,0.002,0.000,0.796,0.796
TCGA-D1-A17B-01A,0.029,0.000,0.018,0.028,0.000,0.000,0.036,0.053,0.085,0.002,0.114,0.002,0.001,0.004,0.000,0.628,0.628
TCGA-E6-A8L9-01A,0.001,0.000,0.013,0.023,0.014,0.000,0.006,0.055,0.069,0.020,0.027,0.000,0.004,0.000,0.000,0.767,0.767
