,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-TQ-A7RO-01A,0.000,0.000,0.000,0.000,0.002,0.000,0.007,0.027,0.000,0.013,0.071,0.000,0.000,0.000,0.000,0.880,0.880
TCGA-CS-6670-01A,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.034,0.000,0.003,0.045,0.000,0.000,0.000,0.000,0.915,0.915
TCGA-QH-A6X5-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.026,0.000,0.008,0.070,0.000,0.000,0.000,0.000,0.894,0.894
TCGA-HW-7493-01A,0.000,0.000,0.001,0.000,0.008,0.000,0.001,0.020,0.000,0.032,0.124,0.004,0.000,0.001,0.001,0.807,0.807
TCGA-CS-6667-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.085,0.000,0.026,0.080,0.000,0.000,0.001,0.000,0.808,0.808
TCGA-DU-6406-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.061,0.002,0.001,0.096,0.000,0.000,0.000,0.000,0.832,0.832
TCGA-DU-A7TA-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.033,0.000,0.001,0.167,0.000,0.003,0.001,0.000,0.778,0.778
TCGA-QH-A6X4-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.021,0.000,0.001,0.058,0.000,0.001,0.000,0.000,0.913,0.913
TCGA-TQ-A7RR-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.017,0.000,0.014,0.122,0.000,0.002,0.000,0.000,0.842,0.842
TCGA-HT-8104-01A,0.000,0.000,0.004,0.000,0.002,0.000,0.000,0.090,0.004,0.022,0.093,0.000,0.001,0.001,0.000,0.782,0.782
TCGA-HT-A74K-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.057,0.000,0.034,0.085,0.000,0.001,0.000,0.000,0.821,0.821
TCGA-DB-A64X-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.042,0.000,0.003,0.058,0.000,0.000,0.000,0.000,0.891,0.891
TCGA-HT-8107-01A,0.000,0.000,0.011,0.000,0.019,0.005,0.004,0.029,0.000,0.038,0.055,0.000,0.001,0.002,0.000,0.834,0.834
TCGA-FG-A710-01A,0.000,0.000,0.005,0.001,0.001,0.001,0.014,0.050,0.000,0.020,0.182,0.000,0.000,0.000,0.000,0.726,0.726
TCGA-QH-A6CX-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.018,0.005,0.001,0.161,0.001,0.002,0.000,0.000,0.811,0.811
TCGA-CS-6666-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.092,0.000,0.017,0.073,0.000,0.000,0.000,0.000,0.817,0.817
TCGA-TM-A7CA-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.011,0.000,0.001,0.076,0.000,0.000,0.001,0.000,0.910,0.910
TCGA-HW-7486-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.034,0.000,0.010,0.100,0.000,0.000,0.000,0.000,0.854,0.854
TCGA-QH-A6X8-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.000,0.003,0.080,0.000,0.002,0.001,0.000,0.872,0.872
TCGA-DU-A76K-01A,0.000,0.000,0.001,0.000,0.006,0.001,0.000,0.025,0.000,0.020,0.027,0.000,0.000,0.002,0.000,0.917,0.917
TCGA-DB-A4XD-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.001,0.083,0.000,0.000,0.001,0.000,0.907,0.907
