,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-AG-3896-01A,0.014,0.000,0.011,0.003,0.000,0.000,0.016,0.051,0.044,0.021,0.031,0.000,0.000,0.000,0.000,0.806,0.806
TCGA-DC-4745-01A,0.000,0.000,0.009,0.005,0.000,0.000,0.010,0.032,0.010,0.021,0.014,0.000,0.000,0.000,0.000,0.900,0.900
TCGA-AH-6903-01A,0.003,0.000,0.009,0.002,0.000,0.000,0.014,0.009,0.003,0.014,0.009,0.000,0.000,0.000,0.000,0.937,0.937
TCGA-AG-3599-01A,0.003,0.000,0.012,0.017,0.000,0.000,0.017,0.020,0.008,0.011,0.032,0.001,0.001,0.001,0.000,0.878,0.878
TCGA-AG-3581-01A,0.016,0.000,0.011,0.006,0.000,0.000,0.017,0.038,0.031,0.013,0.034,0.001,0.003,0.003,0.000,0.826,0.826
TCGA-AG-3881-01A,0.008,0.000,0.009,0.007,0.003,0.000,0.002,0.050,0.093,0.034,0.056,0.000,0.004,0.004,0.000,0.729,0.729
TCGA-CL-5917-01A,0.000,0.000,0.004,0.007,0.000,0.000,0.003,0.028,0.063,0.006,0.010,0.000,0.000,0.001,0.000,0.878,0.878
TCGA-AG-3902-01A,0.014,0.000,0.016,0.037,0.001,0.000,0.034,0.025,0.011,0.011,0.046,0.001,0.001,0.002,0.000,0.801,0.801
TCGA-CI-6624-01C,0.014,0.000,0.020,0.003,0.007,0.000,0.028,0.051,0.062,0.020,0.047,0.001,0.001,0.002,0.000,0.745,0.745
TCGA-AF-2692-01A,0.005,0.000,0.009,0.009,0.004,0.000,0.019,0.023,0.044,0.015,0.016,0.000,0.000,0.003,0.000,0.852,0.852
TCGA-DC-6683-01A,0.000,0.002,0.009,0.003,0.000,0.000,0.001,0.016,0.039,0.008,0.043,0.000,0.000,0.000,0.000,0.880,0.880
TCGA-DC-6682-01A,0.000,0.004,0.006,0.014,0.000,0.000,0.009,0.012,0.004,0.005,0.004,0.000,0.000,0.000,0.000,0.943,0.943
TCGA-F5-6702-01A,0.003,0.000,0.016,0.007,0.001,0.000,0.006,0.051,0.341,0.028,0.072,0.001,0.000,0.001,0.000,0.472,0.472
TCGA-AF-4110-01A,0.062,0.000,0.018,0.012,0.001,0.000,0.022,0.053,0.098,0.019,0.034,0.001,0.001,0.001,0.000,0.677,0.677
TCGA-F5-6861-01A,0.000,0.000,0.010,0.012,0.000,0.000,0.001,0.022,0.029,0.021,0.025,0.000,0.000,0.000,0.000,0.880,0.880
TCGA-G5-6235-01A,0.001,0.005,0.000,0.004,0.000,0.000,0.003,0.010,0.000,0.006,0.000,0.000,0.000,0.001,0.000,0.970,0.970
TCGA-AG-3999-01A,0.000,0.000,0.005,0.003,0.000,0.000,0.002,0.024,0.042,0.015,0.022,0.001,0.001,0.000,0.000,0.885,0.885
TCGA-AG-A02N-01A,0.004,0.000,0.005,0.013,0.012,0.000,0.008,0.006,0.002,0.002,0.033,0.000,0.000,0.000,0.000,0.915,0.915
TCGA-AF-6136-01A,0.008,0.006,0.008,0.002,0.001,0.000,0.016,0.040,0.010,0.010,0.015,0.001,0.000,0.000,0.000,0.883,0.883
TCGA-AG-3580-01A,0.016,0.000,0.011,0.019,0.000,0.000,0.014,0.014,0.015,0.012,0.017,0.000,0.000,0.002,0.000,0.878,0.878
TCGA-DY-A1H8-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.001,0.006,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.987,0.987
TCGA-AG-A032-01A,0.004,0.000,0.007,0.004,0.000,0.002,0.016,0.023,0.025,0.007,0.014,0.000,0.000,0.000,0.000,0.897,0.897
TCGA-EI-6512-01A,0.000,0.000,0.010,0.008,0.000,0.000,0.003,0.025,0.030,0.002,0.038,0.000,0.000,0.001,0.000,0.883,0.883
TCGA-AG-3575-01A,0.000,0.000,0.007,0.010,0.000,0.000,0.003,0.044,0.101,0.012,0.038,0.001,0.000,0.000,0.000,0.782,0.782
TCGA-AF-6672-01A,0.004,0.007,0.003,0.006,0.001,0.015,0.015,0.013,0.026,0.006,0.014,0.000,0.000,0.001,0.000,0.888,0.888
TCGA-EI-6514-01A,0.000,0.000,0.002,0.003,0.000,0.000,0.002,0.033,0.057,0.032,0.028,0.000,0.000,0.000,0.000,0.842,0.842
TCGA-AH-6644-01A,0.000,0.000,0.013,0.010,0.001,0.000,0.006,0.053,0.137,0.012,0.031,0.001,0.000,0.001,0.000,0.735,0.735
TCGA-AF-6655-01A,0.002,0.000,0.007,0.011,0.000,0.000,0.000,0.055,0.132,0.015,0.030,0.001,0.000,0.001,0.000,0.744,0.744
TCGA-AF-A56K-01A,0.008,0.000,0.010,0.008,0.000,0.000,0.006,0.071,0.092,0.029,0.030,0.000,0.000,0.000,0.000,0.744,0.744
TCGA-G5-6641-01A,0.004,0.000,0.000,0.000,0.002,0.000,0.003,0.002,0.000,0.008,0.008,0.000,0.000,0.000,0.000,0.973,0.973
TCGA-DY-A1DG-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.021,0.000,0.001,0.008,0.000,0.000,0.000,0.000,0.964,0.964
TCGA-AG-4001-01A,0.001,0.000,0.012,0.008,0.000,0.000,0.005,0.051,0.144,0.028,0.070,0.000,0.001,0.000,0.000,0.679,0.679
TCGA-AG-A026-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.001,0.027,0.010,0.050,0.015,0.000,0.000,0.000,0.000,0.893,0.893
TCGA-EI-7004-01A,0.000,0.008,0.016,0.005,0.000,0.000,0.003,0.147,0.278,0.042,0.069,0.002,0.002,0.002,0.000,0.424,0.424
TCGA-AG-3878-01A,0.009,0.000,0.018,0.010,0.000,0.000,0.033,0.036,0.140,0.018,0.040,0.001,0.006,0.003,0.000,0.686,0.686
TCGA-AG-3611-01A,0.015,0.000,0.006,0.000,0.000,0.002,0.001,0.009,0.007,0.002,0.039,0.001,0.007,0.004,0.000,0.908,0.908
TCGA-AF-3400-01A,0.005,0.000,0.013,0.007,0.000,0.000,0.006,0.049,0.175,0.018,0.120,0.000,0.003,0.024,0.044,0.535,0.535
TCGA-G5-6572-01A,0.000,0.000,0.000,0.001,0.000,0.002,0.007,0.044,0.221,0.012,0.017,0.001,0.000,0.000,0.000,0.695,0.695
TCGA-AG-3574-01A,0.011,0.000,0.007,0.004,0.000,0.000,0.013,0.019,0.035,0.022,0.018,0.000,0.001,0.000,0.000,0.871,0.871
TCGA-AG-3605-01A,0.008,0.000,0.003,0.005,0.000,0.003,0.005,0.013,0.001,0.007,0.013,0.000,0.000,0.000,0.000,0.941,0.941
TCGA-AG-3731-01A,0.015,0.011,0.021,0.018,0.007,0.000,0.013,0.090,0.129,0.031,0.052,0.001,0.000,0.004,0.001,0.606,0.606
TCGA-AG-A01J-01A,0.005,0.000,0.002,0.007,0.000,0.000,0.005,0.016,0.001,0.008,0.021,0.000,0.000,0.002,0.000,0.932,0.932
TCGA-AG-A01N-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.006,0.016,0.010,0.010,0.011,0.000,0.000,0.001,0.000,0.944,0.944
TCGA-DT-5265-01A,0.000,0.000,0.008,0.004,0.000,0.000,0.000,0.022,0.166,0.026,0.085,0.001,0.002,0.000,0.000,0.685,0.685
TCGA-AG-A00Y-01A,0.008,0.000,0.010,0.007,0.000,0.000,0.013,0.018,0.007,0.007,0.014,0.000,0.000,0.001,0.000,0.912,0.912
TCGA-AH-6547-01A,0.051,0.025,0.024,0.002,0.014,0.000,0.033,0.079,0.078,0.020,0.074,0.003,0.006,0.006,0.000,0.585,0.585
TCGA-AH-6549-01A,0.002,0.000,0.013,0.004,0.000,0.000,0.006,0.036,0.058,0.021,0.024,0.000,0.000,0.000,0.000,0.836,0.836
