,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-HQ-A5NE-01A,0.002,0.000,0.019,0.002,0.000,0.000,0.009,0.053,0.090,0.014,0.019,0.001,0.000,0.012,0.001,0.777,0.777
TCGA-FD-A5BT-01A,0.029,0.002,0.021,0.028,0.013,0.000,0.017,0.036,0.431,0.010,0.169,0.000,0.001,0.000,0.000,0.244,0.244
TCGA-DK-A3IQ-01A,0.000,0.000,0.006,0.001,0.000,0.000,0.001,0.046,0.628,0.048,0.036,0.003,0.000,0.005,0.000,0.225,0.225
TCGA-ZF-AA4X-01A,0.004,0.000,0.000,0.021,0.000,0.000,0.007,0.013,0.000,0.001,0.003,0.000,0.000,0.006,0.000,0.944,0.944
TCGA-GD-A3OQ-01A,0.000,0.000,0.015,0.001,0.000,0.000,0.003,0.028,0.027,0.001,0.004,0.000,0.000,0.006,0.002,0.911,0.911
TCGA-ZF-AA51-01A,0.029,0.000,0.033,0.009,0.000,0.000,0.014,0.029,0.079,0.001,0.060,0.000,0.000,0.000,0.008,0.736,0.736
TCGA-FD-A3SS-01A,0.004,0.000,0.000,0.007,0.000,0.000,0.000,0.013,0.044,0.012,0.010,0.000,0.000,0.003,0.000,0.906,0.906
TCGA-DK-AA71-01A,0.000,0.000,0.004,0.007,0.000,0.000,0.000,0.021,0.014,0.000,0.017,0.000,0.000,0.002,0.000,0.935,0.935
TCGA-4Z-AA83-01A,0.000,0.000,0.005,0.013,0.000,0.000,0.005,0.030,0.000,0.030,0.016,0.000,0.000,0.005,0.000,0.895,0.895
TCGA-ZF-A9R4-01A,0.004,0.000,0.000,0.024,0.000,0.000,0.000,0.012,0.000,0.000,0.022,0.000,0.000,0.004,0.000,0.932,0.932
TCGA-BT-A20P-01A,0.003,0.000,0.000,0.005,0.000,0.000,0.000,0.018,0.000,0.009,0.006,0.000,0.000,0.000,0.000,0.958,0.958
TCGA-HQ-A2OE-01A,0.005,0.000,0.004,0.001,0.000,0.000,0.003,0.018,0.000,0.000,0.007,0.000,0.000,0.006,0.001,0.954,0.954
TCGA-R3-A69X-01A,0.013,0.008,0.037,0.004,0.002,0.000,0.026,0.066,0.122,0.056,0.083,0.002,0.000,0.008,0.000,0.572,0.572
TCGA-BT-A3PH-01A,0.012,0.000,0.000,0.007,0.000,0.000,0.000,0.033,0.017,0.005,0.015,0.000,0.000,0.002,0.000,0.908,0.908
TCGA-UY-A9PA-01A,0.001,0.000,0.001,0.022,0.000,0.000,0.015,0.031,0.000,0.000,0.010,0.003,0.000,0.007,0.000,0.910,0.910
TCGA-BL-A13J-01B,0.016,0.011,0.024,0.037,0.002,0.010,0.007,0.058,0.132,0.040,0.037,0.010,0.001,0.027,0.001,0.586,0.586
TCGA-CF-A3MI-01A,0.005,0.000,0.000,0.000,0.000,0.000,0.001,0.041,0.000,0.011,0.001,0.000,0.000,0.000,0.000,0.940,0.940
TCGA-XF-AAMW-01A,0.001,0.000,0.022,0.001,0.000,0.000,0.013,0.044,0.078,0.001,0.043,0.000,0.000,0.005,0.000,0.792,0.792
TCGA-H4-A2HQ-01A,0.015,0.000,0.004,0.009,0.000,0.000,0.000,0.025,0.000,0.003,0.013,0.000,0.000,0.005,0.000,0.924,0.924
TCGA-HQ-A5ND-01A,0.000,0.000,0.003,0.007,0.000,0.000,0.000,0.013,0.000,0.004,0.006,0.000,0.000,0.002,0.000,0.964,0.964
TCGA-K4-A6FZ-01A,0.000,0.000,0.016,0.006,0.000,0.000,0.024,0.055,0.001,0.001,0.032,0.001,0.000,0.012,0.011,0.840,0.840
TCGA-DK-A3IV-01A,0.009,0.025,0.066,0.034,0.001,0.001,0.029,0.029,0.001,0.003,0.033,0.000,0.001,0.013,0.000,0.757,0.757
TCGA-E7-A3X6-01A,0.001,0.000,0.017,0.031,0.000,0.000,0.001,0.035,0.026,0.009,0.034,0.000,0.000,0.006,0.000,0.840,0.840
TCGA-BT-A42F-01A,0.048,0.000,0.019,0.009,0.007,0.000,0.026,0.022,0.006,0.005,0.120,0.000,0.000,0.001,0.010,0.726,0.726
TCGA-UY-A8OB-01A,0.000,0.000,0.011,0.029,0.000,0.000,0.001,0.000,0.006,0.000,0.019,0.000,0.000,0.000,0.000,0.933,0.933
TCGA-DK-A1A3-01A,0.015,0.000,0.010,0.006,0.001,0.002,0.011,0.041,0.117,0.004,0.063,0.000,0.000,0.001,0.000,0.729,0.729
TCGA-DK-AA6X-01A,0.001,0.007,0.022,0.001,0.005,0.000,0.026,0.048,0.039,0.010,0.053,0.000,0.000,0.010,0.000,0.780,0.780
TCGA-G2-A3IE-01A,0.008,0.000,0.000,0.002,0.000,0.002,0.000,0.009,0.000,0.001,0.018,0.000,0.000,0.000,0.000,0.960,0.960
TCGA-FD-A5BU-01A,0.004,0.009,0.020,0.003,0.000,0.000,0.020,0.034,0.178,0.026,0.072,0.000,0.001,0.008,0.000,0.624,0.624
TCGA-C4-A0EZ-01A,0.000,0.000,0.014,0.008,0.002,0.000,0.000,0.049,0.001,0.032,0.011,0.000,0.000,0.001,0.000,0.882,0.882
TCGA-FD-A3B3-01A,0.017,0.001,0.031,0.035,0.002,0.000,0.019,0.063,0.212,0.023,0.090,0.000,0.000,0.010,0.017,0.480,0.480
TCGA-FD-A5BZ-01A,0.010,0.004,0.016,0.003,0.000,0.001,0.001,0.049,0.357,0.034,0.045,0.003,0.000,0.003,0.000,0.475,0.475
TCGA-C4-A0F7-01A,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.064,0.006,0.011,0.007,0.000,0.000,0.003,0.001,0.905,0.905
TCGA-XF-AAMR-01A,0.000,0.000,0.007,0.004,0.000,0.000,0.008,0.076,0.170,0.132,0.057,0.012,0.000,0.012,0.000,0.521,0.521
