,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-BQ-7044-01A,0.001,0.000,0.000,0.006,0.000,0.000,0.000,0.009,0.000,0.000,0.047,0.000,0.000,0.000,0.000,0.936,0.936
TCGA-SX-A7SR-01A,0.000,0.000,0.000,0.005,0.001,0.000,0.003,0.030,0.001,0.002,0.109,0.011,0.000,0.008,0.000,0.831,0.831
TCGA-MH-A854-01A,0.005,0.000,0.001,0.006,0.000,0.000,0.003,0.022,0.000,0.010,0.037,0.000,0.000,0.000,0.000,0.917,0.917
TCGA-B3-8121-01A,0.020,0.000,0.017,0.003,0.016,0.000,0.009,0.048,0.039,0.008,0.219,0.001,0.009,0.016,0.001,0.592,0.592
TCGA-2Z-A9JJ-01A,0.000,0.000,0.010,0.001,0.000,0.000,0.000,0.045,0.053,0.001,0.088,0.002,0.000,0.006,0.000,0.793,0.793
TCGA-B1-7332-01A,0.001,0.000,0.003,0.001,0.002,0.000,0.000,0.031,0.000,0.003,0.117,0.000,0.000,0.000,0.000,0.841,0.841
TCGA-WN-A9G9-01A,0.002,0.000,0.000,0.161,0.235,0.000,0.021,0.036,0.000,0.010,0.428,0.000,0.000,0.003,0.000,0.101,0.101
TCGA-A4-8310-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.010,0.000,0.000,0.089,0.000,0.000,0.000,0.000,0.897,0.897
TCGA-2Z-A9JT-01A,0.011,0.000,0.000,0.001,0.005,0.000,0.000,0.008,0.000,0.000,0.182,0.000,0.000,0.000,0.000,0.793,0.793
TCGA-5P-A9K2-01A,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.000,0.000,0.000,0.000,0.954,0.954
TCGA-4A-A93W-01A,0.001,0.000,0.000,0.001,0.000,0.001,0.005,0.030,0.021,0.001,0.042,0.000,0.000,0.000,0.000,0.897,0.897
TCGA-DW-7837-01A,0.000,0.000,0.000,0.005,0.000,0.000,0.009,0.052,0.000,0.009,0.111,0.008,0.000,0.005,0.000,0.799,0.799
TCGA-A4-A5DU-01A,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.014,0.000,0.001,0.063,0.000,0.001,0.000,0.000,0.915,0.915
TCGA-2Z-A9JI-01A,0.041,0.001,0.008,0.010,0.005,0.000,0.002,0.027,0.001,0.014,0.148,0.000,0.002,0.005,0.000,0.735,0.735
TCGA-BQ-7050-01A,0.001,0.000,0.000,0.003,0.000,0.000,0.000,0.016,0.000,0.027,0.075,0.000,0.000,0.000,0.000,0.876,0.876
TCGA-BQ-5894-01A,0.008,0.000,0.021,0.011,0.008,0.000,0.002,0.079,0.064,0.056,0.102,0.000,0.000,0.002,0.000,0.646,0.646
TCGA-BQ-5879-01A,0.007,0.000,0.007,0.001,0.000,0.000,0.000,0.086,0.008,0.034,0.060,0.009,0.000,0.012,0.000,0.776,0.776
TCGA-AL-3472-01A,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.009,0.001,0.022,0.001,0.000,0.000,0.000,0.950,0.950
TCGA-MH-A560-01A,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.014,0.000,0.000,0.057,0.000,0.000,0.000,0.000,0.927,0.927
TCGA-BQ-5891-01A,0.000,0.000,0.001,0.002,0.005,0.000,0.000,0.020,0.000,0.001,0.049,0.000,0.000,0.000,0.000,0.920,0.920
TCGA-B9-A5W7-01A,0.000,0.000,0.000,0.004,0.000,0.000,0.008,0.033,0.000,0.000,0.093,0.010,0.000,0.006,0.000,0.844,0.844
TCGA-UZ-A9PR-01A,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.039,0.000,0.000,0.074,0.002,0.000,0.003,0.000,0.877,0.877
TCGA-B9-A69E-01A,0.003,0.000,0.005,0.001,0.010,0.000,0.001,0.093,0.000,0.049,0.246,0.000,0.000,0.000,0.000,0.592,0.592
TCGA-B3-4104-01A,0.006,0.000,0.000,0.003,0.000,0.001,0.000,0.062,0.006,0.041,0.016,0.002,0.000,0.005,0.000,0.856,0.856
TCGA-SX-A71R-01A,0.001,0.000,0.000,0.003,0.000,0.000,0.000,0.026,0.000,0.000,0.035,0.000,0.000,0.001,0.000,0.932,0.932
TCGA-MH-A55Z-01A,0.000,0.000,0.000,0.004,0.000,0.000,0.005,0.022,0.000,0.001,0.067,0.000,0.002,0.000,0.000,0.898,0.898
TCGA-UZ-A9PO-01A,0.004,0.000,0.000,0.001,0.000,0.000,0.000,0.012,0.000,0.000,0.175,0.000,0.000,0.000,0.000,0.808,0.808
TCGA-G7-7501-01A,0.000,0.000,0.001,0.005,0.002,0.000,0.007,0.033,0.003,0.019,0.076,0.000,0.000,0.002,0.000,0.852,0.852
TCGA-DW-7836-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.030,0.036,0.013,0.025,0.000,0.000,0.000,0.000,0.893,0.893
TCGA-HE-A5NI-01A,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.023,0.000,0.003,0.102,0.003,0.000,0.001,0.000,0.863,0.863
TCGA-G7-A8LE-01A,0.000,0.000,0.002,0.001,0.000,0.002,0.007,0.069,0.080,0.060,0.036,0.002,0.000,0.007,0.000,0.735,0.735
TCGA-Y8-A895-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.004,0.019,0.000,0.000,0.042,0.000,0.000,0.011,0.000,0.920,0.920
TCGA-UZ-A9PQ-01A,0.000,0.000,0.000,0.003,0.001,0.000,0.000,0.045,0.000,0.024,0.022,0.000,0.000,0.000,0.000,0.904,0.904
TCGA-BQ-5884-01A,0.016,0.000,0.005,0.000,0.011,0.000,0.000,0.027,0.026,0.016,0.219,0.000,0.000,0.003,0.000,0.675,0.675
TCGA-BQ-5893-01A,0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.062,0.003,0.015,0.015,0.000,0.000,0.003,0.000,0.897,0.897
TCGA-UZ-A9PV-01A,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.021,0.000,0.000,0.024,0.000,0.000,0.001,0.000,0.948,0.948
TCGA-B9-4113-01A,0.001,0.000,0.000,0.005,0.003,0.000,0.000,0.042,0.001,0.008,0.165,0.019,0.000,0.005,0.000,0.750,0.750
TCGA-B3-3926-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.052,0.001,0.008,0.073,0.000,0.000,0.003,0.000,0.859,0.859
TCGA-2Z-A9J3-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.011,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.976,0.976
TCGA-Y8-A8RZ-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.000,0.000,0.072,0.000,0.000,0.002,0.000,0.921,0.921
TCGA-AT-A5NU-01A,0.006,0.000,0.000,0.004,0.001,0.000,0.000,0.038,0.003,0.009,0.025,0.000,0.000,0.000,0.000,0.914,0.914
TCGA-G7-6792-01A,0.000,0.000,0.001,0.002,0.000,0.000,0.034,0.045,0.000,0.008,0.064,0.006,0.000,0.004,0.000,0.836,0.836
TCGA-5P-A9KC-01A,0.000,0.000,0.004,0.006,0.000,0.000,0.000,0.026,0.000,0.009,0.209,0.000,0.000,0.002,0.000,0.742,0.742
TCGA-Y8-A8S0-01A,0.000,0.000,0.000,0.002,0.000,0.000,0.002,0.027,0.000,0.003,0.051,0.001,0.000,0.003,0.000,0.911,0.911
TCGA-B1-A655-01A,0.003,0.000,0.002,0.000,0.000,0.000,0.000,0.013,0.000,0.020,0.200,0.000,0.000,0.000,0.000,0.762,0.762
TCGA-J7-8537-01A,0.024,0.000,0.028,0.007,0.037,0.000,0.012,0.047,0.054,0.011,0.165,0.000,0.000,0.002,0.001,0.612,0.612
TCGA-KV-A6GD-01A,0.023,0.001,0.001,0.000,0.011,0.000,0.000,0.032,0.044,0.073,0.290,0.000,0.000,0.000,0.000,0.525,0.525
TCGA-G7-A4TM-01A,0.007,0.000,0.000,0.005,0.000,0.001,0.012,0.052,0.019,0.010,0.073,0.026,0.000,0.005,0.000,0.788,0.788
TCGA-G7-6790-01A,0.010,0.000,0.002,0.000,0.001,0.000,0.002,0.018,0.000,0.004,0.085,0.000,0.000,0.001,0.000,0.877,0.877
TCGA-A4-8515-01A,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.021,0.000,0.000,0.046,0.000,0.000,0.001,0.000,0.929,0.929
TCGA-BQ-7049-01A,0.075,0.001,0.013,0.000,0.000,0.000,0.024,0.070,0.179,0.027,0.066,0.004,0.001,0.016,0.001,0.524,0.524
TCGA-SX-A7SL-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.013,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.975,0.975
TCGA-A4-7734-01A,0.000,0.000,0.006,0.001,0.000,0.002,0.019,0.078,0.030,0.025,0.063,0.005,0.000,0.008,0.000,0.762,0.762
TCGA-BQ-7053-01A,0.012,0.000,0.000,0.005,0.000,0.000,0.001,0.026,0.010,0.034,0.099,0.000,0.000,0.000,0.000,0.812,0.812
TCGA-G7-6797-01A,0.000,0.000,0.000,0.004,0.001,0.000,0.000,0.029,0.001,0.015,0.038,0.004,0.000,0.004,0.000,0.905,0.905
TCGA-IZ-8196-01A,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.059,0.013,0.013,0.041,0.003,0.000,0.005,0.000,0.863,0.863
TCGA-P4-A5EB-01A,0.002,0.000,0.001,0.004,0.000,0.000,0.000,0.017,0.000,0.008,0.081,0.000,0.000,0.000,0.000,0.886,0.886
TCGA-BQ-7058-01A,0.006,0.000,0.000,0.005,0.000,0.000,0.000,0.003,0.000,0.004,0.033,0.000,0.000,0.000,0.000,0.949,0.949
TCGA-B9-A8YI-01A,0.007,0.000,0.000,0.000,0.003,0.000,0.000,0.008,0.000,0.000,0.079,0.000,0.000,0.000,0.000,0.903,0.903
TCGA-HE-7128-01A,0.014,0.000,0.000,0.000,0.019,0.002,0.001,0.040,0.000,0.013,0.379,0.007,0.000,0.004,0.000,0.521,0.521
TCGA-4A-A93Y-01A,0.068,0.001,0.013,0.000,0.017,0.000,0.001,0.098,0.153,0.068,0.436,0.000,0.001,0.000,0.000,0.143,0.143
TCGA-HE-A5NF-01A,0.003,0.000,0.004,0.000,0.007,0.000,0.000,0.015,0.000,0.009,0.282,0.000,0.000,0.000,0.000,0.680,0.680
