,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-BC-A10Z-01A,0.012,0.000,0.005,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.025,0.000,0.000,0.001,0.000,0.939,0.939
TCGA-DD-AAEK-01A,0.027,0.001,0.016,0.001,0.004,0.000,0.006,0.052,0.000,0.023,0.114,0.000,0.000,0.000,0.000,0.756,0.756
TCGA-G3-A3CK-01A,0.033,0.000,0.006,0.000,0.001,0.000,0.000,0.034,0.000,0.011,0.067,0.000,0.000,0.000,0.000,0.848,0.848
TCGA-DD-A1EJ-01A,0.020,0.000,0.004,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.105,0.000,0.000,0.000,0.000,0.863,0.863
TCGA-DD-AACU-01A,0.012,0.000,0.005,0.000,0.000,0.000,0.000,0.033,0.000,0.003,0.053,0.000,0.000,0.000,0.000,0.894,0.894
TCGA-ZS-A9CE-01A,0.029,0.000,0.004,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.927,0.927
TCGA-2Y-A9H2-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.025,0.024,0.000,0.002,0.041,0.000,0.000,0.004,0.000,0.902,0.902
TCGA-CC-5261-01A,0.009,0.024,0.025,0.004,0.000,0.006,0.019,0.093,0.097,0.017,0.064,0.000,0.000,0.007,0.000,0.634,0.634
TCGA-DD-AADP-01A,0.018,0.000,0.003,0.000,0.000,0.000,0.000,0.050,0.000,0.003,0.038,0.000,0.000,0.000,0.000,0.888,0.888
TCGA-2Y-A9H4-01A,0.011,0.000,0.003,0.002,0.000,0.000,0.000,0.035,0.000,0.003,0.053,0.000,0.000,0.000,0.000,0.892,0.892
TCGA-DD-A1EA-01A,0.052,0.000,0.004,0.000,0.001,0.000,0.000,0.035,0.000,0.000,0.081,0.000,0.000,0.001,0.000,0.825,0.825
TCGA-CC-A3MC-01A,0.014,0.000,0.003,0.000,0.000,0.000,0.000,0.030,0.000,0.017,0.070,0.000,0.000,0.000,0.000,0.864,0.864
TCGA-FV-A2QR-01A,0.034,0.000,0.003,0.001,0.000,0.000,0.000,0.058,0.001,0.014,0.074,0.000,0.000,0.000,0.000,0.813,0.813
TCGA-EP-A26S-01A,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.915,0.915
TCGA-K7-AAU7-01A,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.022,0.089,0.001,0.061,0.000,0.000,0.005,0.000,0.809,0.809
TCGA-G3-A25T-01A,0.000,0.000,0.003,0.002,0.000,0.000,0.000,0.022,0.001,0.002,0.045,0.000,0.004,0.000,0.000,0.921,0.921
TCGA-DD-AADB-01A,0.028,0.002,0.020,0.007,0.002,0.000,0.001,0.024,0.000,0.009,0.066,0.000,0.000,0.000,0.000,0.840,0.840
TCGA-UB-A7MA-01A,0.000,0.000,0.004,0.002,0.000,0.000,0.000,0.025,0.001,0.013,0.038,0.000,0.000,0.003,0.000,0.915,0.915
TCGA-DD-AAD0-01A,0.017,0.000,0.001,0.002,0.000,0.000,0.000,0.003,0.000,0.000,0.045,0.000,0.000,0.000,0.000,0.933,0.933
TCGA-BC-4072-01B,0.013,0.000,0.038,0.013,0.006,0.000,0.005,0.041,0.007,0.017,0.102,0.000,0.000,0.004,0.000,0.754,0.754
TCGA-DD-AACD-01A,0.049,0.000,0.003,0.000,0.000,0.000,0.000,0.037,0.000,0.005,0.062,0.000,0.000,0.000,0.000,0.844,0.844
TCGA-DD-A3A5-01A,0.024,0.000,0.005,0.003,0.000,0.000,0.000,0.036,0.000,0.018,0.030,0.000,0.000,0.000,0.000,0.883,0.883
TCGA-ZP-A9D1-01A,0.015,0.000,0.011,0.000,0.000,0.000,0.000,0.084,0.002,0.029,0.053,0.000,0.000,0.002,0.000,0.804,0.804
TCGA-ZP-A9D0-01A,0.023,0.000,0.001,0.000,0.000,0.000,0.000,0.031,0.000,0.002,0.038,0.000,0.000,0.000,0.000,0.905,0.905
TCGA-CC-A7IK-01A,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.000,0.008,0.015,0.000,0.000,0.000,0.000,0.940,0.940
TCGA-WQ-AB4B-01A,0.023,0.000,0.002,0.000,0.000,0.000,0.000,0.045,0.000,0.006,0.051,0.000,0.000,0.000,0.000,0.872,0.872
TCGA-FV-A4ZQ-01A,0.085,0.000,0.020,0.010,0.024,0.000,0.000,0.010,0.000,0.000,0.113,0.000,0.000,0.000,0.000,0.737,0.737
TCGA-G3-A25S-01A,0.031,0.000,0.005,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.069,0.000,0.000,0.000,0.000,0.882,0.882
TCGA-NI-A4U2-01A,0.033,0.000,0.003,0.000,0.000,0.000,0.000,0.054,0.000,0.001,0.037,0.000,0.000,0.000,0.000,0.872,0.872
TCGA-RC-A7SK-01A,0.016,0.000,0.002,0.000,0.000,0.000,0.000,0.025,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.933,0.933
TCGA-DD-AADS-01A,0.035,0.000,0.007,0.000,0.002,0.000,0.000,0.030,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.850,0.850
TCGA-DD-A73F-01A,0.048,0.000,0.015,0.016,0.014,0.000,0.000,0.042,0.000,0.016,0.155,0.000,0.000,0.000,0.000,0.694,0.694
TCGA-DD-A11C-01A,0.016,0.000,0.003,0.000,0.000,0.000,0.000,0.116,0.001,0.042,0.074,0.000,0.000,0.000,0.000,0.747,0.747
TCGA-FV-A23B-01A,0.005,0.000,0.003,0.000,0.000,0.000,0.006,0.060,0.000,0.000,0.047,0.000,0.000,0.000,0.000,0.878,0.878
TCGA-DD-AADD-01A,0.004,0.000,0.001,0.004,0.000,0.000,0.000,0.013,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.918,0.918
TCGA-DD-AACO-01A,0.019,0.000,0.004,0.000,0.000,0.000,0.000,0.034,0.000,0.001,0.064,0.000,0.000,0.000,0.000,0.876,0.876
TCGA-RC-A6M3-01A,0.012,0.000,0.001,0.000,0.000,0.000,0.000,0.013,0.000,0.004,0.017,0.000,0.000,0.000,0.000,0.953,0.953
TCGA-DD-AAED-01A,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.968,0.968
TCGA-BC-A10X-01A,0.011,0.000,0.003,0.000,0.000,0.000,0.000,0.061,0.047,0.002,0.112,0.000,0.000,0.000,0.000,0.765,0.765
TCGA-DD-AAVP-01A,0.028,0.000,0.003,0.000,0.000,0.000,0.000,0.046,0.000,0.013,0.039,0.000,0.000,0.000,0.000,0.869,0.869
TCGA-MI-A75C-01A,0.020,0.000,0.006,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.039,0.000,0.000,0.000,0.000,0.927,0.927
TCGA-DD-A39W-01A,0.015,0.000,0.000,0.000,0.000,0.000,0.001,0.041,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.920,0.920
TCGA-DD-A4NA-01A,0.014,0.000,0.005,0.000,0.000,0.000,0.000,0.023,0.003,0.004,0.084,0.000,0.000,0.008,0.000,0.859,0.859
TCGA-DD-AAVY-01A,0.013,0.000,0.001,0.000,0.000,0.000,0.000,0.027,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.931,0.931
TCGA-DD-A1EC-01A,0.043,0.000,0.036,0.003,0.048,0.000,0.009,0.042,0.000,0.017,0.143,0.000,0.025,0.000,0.000,0.632,0.632
TCGA-5C-AAPD-01A,0.095,0.000,0.030,0.010,0.001,0.000,0.001,0.024,0.006,0.015,0.141,0.000,0.000,0.000,0.000,0.677,0.677
TCGA-BC-4073-01B,0.045,0.000,0.028,0.007,0.008,0.000,0.000,0.024,0.011,0.001,0.165,0.000,0.000,0.011,0.000,0.699,0.699
TCGA-WQ-A9G7-01A,0.019,0.000,0.001,0.001,0.000,0.000,0.000,0.012,0.000,0.000,0.032,0.000,0.000,0.000,0.000,0.934,0.934
TCGA-CC-A7II-01A,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.006,0.012,0.023,0.000,0.000,0.000,0.000,0.938,0.938
TCGA-CC-A8HS-01A,0.006,0.000,0.000,0.006,0.000,0.000,0.004,0.041,0.000,0.012,0.018,0.000,0.000,0.000,0.000,0.912,0.912
TCGA-DD-AAEA-01A,0.028,0.000,0.004,0.000,0.005,0.000,0.000,0.015,0.000,0.000,0.061,0.000,0.000,0.000,0.000,0.886,0.886
TCGA-DD-A4ND-01A,0.016,0.000,0.010,0.001,0.004,0.000,0.000,0.092,0.108,0.072,0.127,0.000,0.000,0.002,0.000,0.566,0.566
TCGA-ZP-A9D2-01A,0.021,0.000,0.005,0.003,0.000,0.000,0.000,0.053,0.040,0.002,0.053,0.000,0.000,0.003,0.000,0.818,0.818
TCGA-DD-AADI-01A,0.016,0.000,0.001,0.001,0.001,0.018,0.014,0.034,0.009,0.003,0.050,0.000,0.000,0.000,0.000,0.853,0.853
TCGA-2Y-A9GX-01A,0.017,0.000,0.017,0.001,0.007,0.012,0.004,0.079,0.171,0.017,0.175,0.000,0.000,0.002,0.000,0.498,0.498
