,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-94-7943-01A,0.010,0.001,0.016,0.001,0.013,0.000,0.009,0.023,0.048,0.016,0.078,0.001,0.000,0.008,0.000,0.776,0.776
TCGA-68-8251-01A,0.007,0.010,0.026,0.009,0.004,0.000,0.017,0.037,0.177,0.001,0.083,0.000,0.000,0.006,0.000,0.621,0.621
TCGA-33-A5GW-01A,0.001,0.000,0.002,0.000,0.002,0.000,0.005,0.029,0.000,0.001,0.008,0.000,0.000,0.004,0.000,0.948,0.948
TCGA-85-8070-01A,0.033,0.000,0.002,0.006,0.002,0.000,0.000,0.014,0.008,0.005,0.014,0.000,0.000,0.008,0.000,0.907,0.907
TCGA-85-8479-01A,0.001,0.000,0.001,0.001,0.005,0.000,0.006,0.030,0.022,0.012,0.005,0.000,0.000,0.007,0.000,0.908,0.908
TCGA-22-5482-01A,0.010,0.000,0.011,0.000,0.001,0.000,0.008,0.020,0.107,0.002,0.039,0.000,0.000,0.002,0.000,0.798,0.798
TCGA-21-1077-01A,0.042,0.002,0.018,0.001,0.004,0.000,0.014,0.029,0.111,0.009,0.070,0.000,0.000,0.005,0.001,0.692,0.692
TCGA-43-6773-01A,0.136,0.035,0.021,0.004,0.025,0.000,0.001,0.094,0.206,0.035,0.114,0.000,0.001,0.005,0.001,0.321,0.321
TCGA-34-8455-01A,0.022,0.000,0.011,0.000,0.005,0.000,0.000,0.057,0.135,0.023,0.032,0.000,0.000,0.012,0.000,0.701,0.701
TCGA-85-7950-01A,0.005,0.017,0.069,0.019,0.021,0.000,0.019,0.045,0.213,0.010,0.067,0.000,0.001,0.009,0.001,0.504,0.504
TCGA-60-2715-01A,0.015,0.014,0.033,0.007,0.017,0.001,0.046,0.118,0.234,0.034,0.153,0.001,0.001,0.014,0.002,0.310,0.310
TCGA-85-A5B5-01A,0.011,0.008,0.007,0.003,0.001,0.000,0.003,0.022,0.080,0.002,0.037,0.000,0.000,0.005,0.000,0.819,0.819
TCGA-33-4583-01A,0.001,0.000,0.000,0.024,0.001,0.000,0.001,0.010,0.004,0.000,0.016,0.000,0.000,0.002,0.005,0.937,0.937
TCGA-60-2725-01A,0.023,0.014,0.035,0.009,0.015,0.001,0.036,0.053,0.165,0.017,0.152,0.001,0.001,0.014,0.016,0.449,0.449
TCGA-85-8072-01A,0.017,0.013,0.012,0.021,0.015,0.000,0.011,0.046,0.066,0.009,0.090,0.000,0.000,0.008,0.001,0.691,0.691
TCGA-22-4601-01A,0.014,0.000,0.009,0.002,0.015,0.000,0.002,0.040,0.041,0.011,0.063,0.000,0.000,0.008,0.000,0.794,0.794
TCGA-66-2781-01A,0.057,0.000,0.011,0.002,0.011,0.000,0.001,0.025,0.107,0.003,0.040,0.000,0.000,0.016,0.001,0.726,0.726
TCGA-22-0940-01A,0.019,0.003,0.020,0.028,0.010,0.000,0.021,0.027,0.140,0.004,0.114,0.000,0.002,0.004,0.001,0.607,0.607
TCGA-43-6143-01A,0.010,0.006,0.011,0.011,0.006,0.000,0.007,0.040,0.092,0.019,0.050,0.000,0.000,0.014,0.000,0.732,0.732
TCGA-39-5021-01A,0.051,0.005,0.029,0.002,0.019,0.000,0.013,0.027,0.099,0.004,0.090,0.000,0.001,0.001,0.001,0.660,0.660
