,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-IB-AAUW-01A,0.012,0.022,0.013,0.005,0.008,0.001,0.043,0.136,0.241,0.059,0.062,0.011,0.001,0.009,0.002,0.376,0.376
TCGA-LB-A8F3-01A,0.006,0.000,0.009,0.000,0.000,0.000,0.001,0.041,0.145,0.006,0.029,0.000,0.000,0.000,0.000,0.762,0.762
TCGA-HV-A5A5-01A,0.006,0.000,0.024,0.000,0.002,0.000,0.022,0.090,0.255,0.029,0.107,0.001,0.000,0.007,0.000,0.458,0.458
TCGA-US-A77E-01A,0.000,0.004,0.004,0.001,0.001,0.000,0.000,0.047,0.341,0.005,0.050,0.000,0.000,0.004,0.000,0.543,0.543
TCGA-3A-A9IX-01A,0.013,0.031,0.032,0.001,0.023,0.005,0.071,0.087,0.348,0.024,0.071,0.007,0.001,0.003,0.002,0.282,0.282
TCGA-HZ-A4BH-01A,0.000,0.022,0.034,0.001,0.015,0.000,0.036,0.116,0.318,0.038,0.087,0.002,0.000,0.004,0.001,0.326,0.326
TCGA-HZ-A49G-01A,0.006,0.000,0.018,0.001,0.013,0.000,0.047,0.077,0.291,0.021,0.166,0.004,0.000,0.006,0.001,0.348,0.348
TCGA-IB-8126-01A,0.018,0.018,0.015,0.001,0.028,0.014,0.042,0.120,0.303,0.036,0.075,0.005,0.001,0.009,0.001,0.315,0.315
TCGA-FB-A5VM-01A,0.006,0.010,0.020,0.001,0.007,0.000,0.056,0.066,0.276,0.018,0.081,0.000,0.001,0.002,0.001,0.456,0.456
TCGA-HV-AA8V-01A,0.005,0.000,0.014,0.001,0.004,0.000,0.010,0.046,0.490,0.013,0.110,0.001,0.000,0.004,0.000,0.300,0.300
TCGA-IB-7891-01A,0.017,0.003,0.029,0.001,0.014,0.000,0.058,0.071,0.322,0.018,0.129,0.003,0.001,0.004,0.001,0.329,0.329
TCGA-FB-A545-01A,0.002,0.001,0.005,0.003,0.001,0.000,0.003,0.068,0.244,0.016,0.010,0.002,0.000,0.005,0.000,0.640,0.640
TCGA-FB-A7DR-01A,0.001,0.000,0.015,0.000,0.007,0.000,0.010,0.090,0.398,0.087,0.078,0.003,0.000,0.009,0.001,0.300,0.300
TCGA-3A-A9IN-01A,0.021,0.000,0.003,0.000,0.004,0.001,0.011,0.175,0.191,0.138,0.041,0.001,0.000,0.001,0.000,0.412,0.412
TCGA-IB-AAUN-01A,0.011,0.003,0.012,0.010,0.001,0.000,0.027,0.063,0.225,0.019,0.047,0.001,0.000,0.003,0.000,0.578,0.578
TCGA-Q3-AA2A-01A,0.000,0.000,0.008,0.000,0.000,0.000,0.005,0.047,0.146,0.032,0.096,0.001,0.000,0.001,0.000,0.663,0.663
TCGA-IB-A5SO-01A,0.009,0.037,0.018,0.001,0.019,0.001,0.033,0.076,0.409,0.028,0.104,0.003,0.000,0.002,0.000,0.259,0.259
