,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-V1-A9OF-01A,0.003,0.000,0.003,0.000,0.003,0.000,0.004,0.021,0.003,0.009,0.026,0.002,0.000,0.004,0.000,0.922,0.922
TCGA-ZG-A8QX-01A,0.012,0.000,0.004,0.000,0.005,0.000,0.007,0.019,0.043,0.076,0.017,0.001,0.000,0.000,0.000,0.816,0.816
TCGA-YL-A8SC-01A,0.007,0.000,0.006,0.007,0.008,0.000,0.008,0.029,0.058,0.012,0.041,0.001,0.000,0.005,0.000,0.818,0.818
TCGA-HC-7817-01B,0.013,0.000,0.011,0.000,0.007,0.000,0.019,0.058,0.156,0.037,0.039,0.001,0.000,0.004,0.000,0.653,0.653
TCGA-KC-A7F6-01A,0.006,0.000,0.002,0.000,0.006,0.000,0.006,0.050,0.047,0.034,0.011,0.000,0.000,0.002,0.000,0.835,0.835
TCGA-KK-A7B4-01A,0.010,0.000,0.008,0.001,0.006,0.000,0.012,0.022,0.067,0.009,0.019,0.000,0.000,0.003,0.000,0.841,0.841
TCGA-G9-6366-01A,0.027,0.000,0.002,0.000,0.005,0.000,0.000,0.023,0.010,0.029,0.008,0.000,0.000,0.001,0.000,0.894,0.894
TCGA-KK-A59X-01A,0.009,0.000,0.003,0.000,0.002,0.000,0.000,0.019,0.047,0.021,0.030,0.000,0.000,0.001,0.000,0.868,0.868
TCGA-HC-A6AN-01A,0.013,0.000,0.002,0.000,0.008,0.000,0.000,0.025,0.033,0.019,0.027,0.000,0.000,0.000,0.000,0.871,0.871
TCGA-G9-6498-01A,0.008,0.000,0.008,0.000,0.005,0.000,0.008,0.048,0.113,0.040,0.006,0.002,0.000,0.000,0.000,0.760,0.760
TCGA-J4-AATZ-01A,0.005,0.000,0.002,0.000,0.003,0.000,0.005,0.021,0.010,0.016,0.012,0.000,0.000,0.005,0.000,0.920,0.920
TCGA-EJ-7317-01A,0.011,0.000,0.001,0.000,0.001,0.000,0.001,0.029,0.024,0.022,0.013,0.000,0.000,0.000,0.000,0.896,0.896
TCGA-SU-A7E7-01A,0.007,0.000,0.006,0.000,0.008,0.000,0.013,0.051,0.060,0.036,0.019,0.001,0.000,0.006,0.000,0.792,0.792
TCGA-XJ-A83F-01A,0.009,0.000,0.000,0.000,0.001,0.000,0.000,0.040,0.034,0.033,0.012,0.000,0.000,0.000,0.000,0.872,0.872
TCGA-2A-AAYO-01A,0.011,0.013,0.015,0.000,0.002,0.000,0.008,0.038,0.081,0.033,0.024,0.009,0.000,0.002,0.000,0.763,0.763
TCGA-EJ-A46B-01A,0.005,0.000,0.003,0.000,0.002,0.000,0.006,0.034,0.031,0.056,0.016,0.001,0.000,0.005,0.000,0.842,0.842
TCGA-QU-A6IN-01A,0.012,0.000,0.001,0.000,0.003,0.000,0.000,0.014,0.010,0.015,0.005,0.000,0.000,0.000,0.000,0.941,0.941
TCGA-KK-A59Z-01A,0.004,0.000,0.001,0.000,0.004,0.000,0.008,0.050,0.080,0.053,0.020,0.001,0.000,0.003,0.000,0.776,0.776
TCGA-XK-AAJT-01A,0.009,0.000,0.001,0.000,0.004,0.000,0.011,0.057,0.092,0.086,0.021,0.000,0.000,0.003,0.000,0.715,0.715
TCGA-EJ-7125-01A,0.001,0.000,0.002,0.000,0.004,0.000,0.003,0.039,0.046,0.031,0.028,0.003,0.000,0.001,0.000,0.841,0.841
TCGA-J9-A52C-01A,0.001,0.000,0.005,0.000,0.012,0.000,0.013,0.084,0.192,0.100,0.033,0.003,0.000,0.004,0.000,0.551,0.551
TCGA-YL-A8HL-01A,0.006,0.000,0.002,0.000,0.002,0.000,0.000,0.034,0.018,0.015,0.012,0.000,0.000,0.003,0.000,0.907,0.907
TCGA-ZG-A9LZ-01A,0.006,0.000,0.003,0.000,0.003,0.000,0.008,0.024,0.042,0.016,0.018,0.000,0.000,0.001,0.000,0.878,0.878
TCGA-J9-A8CP-01A,0.005,0.000,0.004,0.000,0.001,0.000,0.003,0.084,0.078,0.033,0.009,0.049,0.000,0.003,0.000,0.730,0.730
