,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-EL-A3D0-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.113,0.080,0.048,0.018,0.000,0.000,0.000,0.000,0.737,0.737
TCGA-J8-A4HY-01A,0.013,0.000,0.002,0.008,0.000,0.000,0.006,0.091,0.000,0.031,0.045,0.000,0.000,0.000,0.000,0.802,0.802
TCGA-L6-A4ET-01A,0.006,0.000,0.001,0.009,0.000,0.000,0.002,0.107,0.000,0.022,0.014,0.000,0.000,0.000,0.000,0.838,0.838
TCGA-DE-A4MC-01A,0.000,0.000,0.020,0.013,0.000,0.000,0.049,0.071,0.006,0.008,0.025,0.000,0.000,0.002,0.000,0.805,0.805
TCGA-ET-A25K-01A,0.005,0.001,0.004,0.001,0.001,0.000,0.003,0.230,0.035,0.086,0.031,0.012,0.000,0.001,0.000,0.588,0.588
TCGA-DJ-A3UU-01A,0.017,0.002,0.011,0.008,0.002,0.000,0.034,0.117,0.098,0.054,0.053,0.001,0.000,0.005,0.000,0.597,0.597
TCGA-EM-A1YA-01A,0.028,0.000,0.003,0.001,0.000,0.001,0.000,0.132,0.000,0.086,0.031,0.000,0.000,0.000,0.000,0.719,0.719
TCGA-CE-A483-01A,0.001,0.000,0.000,0.003,0.000,0.000,0.000,0.121,0.000,0.011,0.028,0.000,0.000,0.003,0.000,0.832,0.832
TCGA-DJ-A3VD-01A,0.040,0.064,0.041,0.010,0.008,0.000,0.072,0.105,0.172,0.021,0.085,0.001,0.001,0.004,0.001,0.375,0.375
TCGA-BJ-A28S-01A,0.010,0.000,0.000,0.000,0.000,0.000,0.001,0.162,0.000,0.095,0.017,0.000,0.000,0.004,0.000,0.709,0.709
TCGA-FY-A3R9-01A,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.114,0.000,0.049,0.010,0.000,0.000,0.000,0.000,0.788,0.788
TCGA-FY-A3R8-01A,0.000,0.000,0.009,0.004,0.000,0.000,0.020,0.090,0.039,0.007,0.079,0.001,0.000,0.002,0.000,0.748,0.748
TCGA-DJ-A3V2-01A,0.053,0.019,0.023,0.031,0.015,0.000,0.030,0.113,0.034,0.024,0.118,0.000,0.002,0.002,0.000,0.534,0.534
TCGA-ET-A25L-01A,0.000,0.000,0.021,0.001,0.000,0.000,0.019,0.088,0.155,0.024,0.058,0.001,0.000,0.003,0.000,0.630,0.630
TCGA-EL-A3D1-01A,0.014,0.001,0.007,0.006,0.002,0.000,0.010,0.127,0.044,0.039,0.049,0.001,0.000,0.000,0.000,0.701,0.701
TCGA-FY-A3I4-01A,0.007,0.001,0.012,0.005,0.004,0.001,0.013,0.176,0.157,0.064,0.068,0.001,0.000,0.004,0.000,0.488,0.488
TCGA-DJ-A3UV-01A,0.013,0.001,0.012,0.006,0.007,0.001,0.019,0.140,0.076,0.105,0.045,0.001,0.001,0.005,0.000,0.567,0.567
TCGA-BJ-A28T-01A,0.105,0.046,0.044,0.023,0.037,0.000,0.056,0.133,0.102,0.042,0.102,0.001,0.002,0.005,0.001,0.302,0.302
TCGA-EM-A3FQ-01A,0.006,0.016,0.027,0.003,0.011,0.000,0.073,0.070,0.073,0.024,0.070,0.001,0.001,0.003,0.000,0.621,0.621
TCGA-J8-A4HW-01A,0.005,0.000,0.005,0.001,0.000,0.000,0.001,0.145,0.029,0.040,0.023,0.001,0.000,0.004,0.000,0.747,0.747
TCGA-MK-A4N6-01A,0.000,0.000,0.008,0.008,0.000,0.000,0.014,0.066,0.040,0.020,0.082,0.000,0.000,0.005,0.000,0.755,0.755
TCGA-DJ-A3V8-01A,0.011,0.000,0.002,0.003,0.000,0.000,0.006,0.074,0.009,0.022,0.039,0.000,0.000,0.000,0.000,0.835,0.835
TCGA-DJ-A1QI-01A,0.004,0.001,0.008,0.005,0.001,0.000,0.011,0.098,0.057,0.036,0.049,0.001,0.000,0.002,0.000,0.725,0.725
TCGA-EL-A3H8-01A,0.002,0.001,0.007,0.004,0.000,0.000,0.008,0.122,0.038,0.024,0.025,0.001,0.000,0.006,0.000,0.761,0.761
TCGA-EM-A3O3-01A,0.040,0.002,0.034,0.004,0.008,0.000,0.040,0.013,0.055,0.001,0.089,0.000,0.000,0.002,0.000,0.711,0.711
TCGA-IM-A3U3-01A,0.008,0.000,0.010,0.008,0.000,0.000,0.025,0.081,0.032,0.027,0.050,0.000,0.000,0.002,0.000,0.754,0.754
TCGA-BJ-A191-01A,0.044,0.002,0.002,0.007,0.003,0.002,0.001,0.075,0.000,0.045,0.024,0.000,0.000,0.004,0.000,0.792,0.792
TCGA-E8-A3X7-01A,0.001,0.000,0.006,0.009,0.000,0.000,0.011,0.074,0.085,0.003,0.029,0.000,0.000,0.000,0.000,0.781,0.781
TCGA-FY-A3YR-01A,0.000,0.000,0.007,0.004,0.000,0.000,0.009,0.073,0.057,0.005,0.023,0.000,0.000,0.000,0.000,0.821,0.821
TCGA-KS-A41I-01A,0.025,0.000,0.000,0.005,0.000,0.000,0.005,0.152,0.000,0.102,0.050,0.000,0.000,0.000,0.000,0.661,0.661
TCGA-EL-A3CS-01A,0.005,0.000,0.001,0.000,0.000,0.000,0.003,0.088,0.013,0.048,0.017,0.000,0.000,0.000,0.000,0.825,0.825
TCGA-EL-A3GU-01A,0.000,0.000,0.006,0.000,0.000,0.000,0.022,0.110,0.172,0.067,0.024,0.001,0.000,0.001,0.000,0.596,0.596
TCGA-EM-A1CU-01A,0.001,0.000,0.008,0.003,0.000,0.000,0.008,0.130,0.014,0.005,0.037,0.000,0.000,0.003,0.000,0.790,0.790
TCGA-H2-A26U-01A,0.016,0.003,0.038,0.006,0.024,0.000,0.061,0.089,0.123,0.018,0.142,0.000,0.001,0.003,0.001,0.475,0.475
TCGA-DJ-A2PT-01A,0.000,0.000,0.019,0.002,0.004,0.000,0.050,0.055,0.099,0.003,0.111,0.000,0.000,0.000,0.000,0.656,0.656
TCGA-DJ-A3V6-01A,0.000,0.000,0.014,0.007,0.000,0.000,0.011,0.088,0.048,0.022,0.052,0.000,0.000,0.001,0.000,0.756,0.756
TCGA-DJ-A2Q7-01A,0.018,0.001,0.010,0.012,0.001,0.000,0.017,0.152,0.036,0.066,0.057,0.001,0.000,0.004,0.000,0.623,0.623
TCGA-ET-A3BV-01A,0.000,0.000,0.054,0.000,0.001,0.000,0.064,0.051,0.301,0.003,0.022,0.011,0.000,0.004,0.000,0.486,0.486
TCGA-EL-A3ZL-01A,0.000,0.000,0.001,0.002,0.000,0.000,0.003,0.181,0.039,0.139,0.024,0.000,0.000,0.000,0.000,0.610,0.610
TCGA-CE-A13K-01A,0.005,0.001,0.007,0.005,0.005,0.001,0.010,0.192,0.003,0.118,0.032,0.002,0.000,0.006,0.000,0.613,0.613
TCGA-DJ-A3UQ-01A,0.000,0.000,0.026,0.002,0.000,0.000,0.045,0.076,0.210,0.017,0.046,0.001,0.000,0.004,0.000,0.573,0.573
TCGA-BJ-A45H-01A,0.013,0.001,0.007,0.009,0.003,0.000,0.010,0.116,0.069,0.041,0.055,0.001,0.000,0.000,0.000,0.674,0.674
TCGA-L6-A4EU-01A,0.002,0.000,0.011,0.002,0.000,0.000,0.028,0.059,0.067,0.005,0.056,0.001,0.000,0.000,0.000,0.768,0.768
TCGA-DJ-A3VM-01A,0.008,0.000,0.000,0.001,0.000,0.001,0.000,0.159,0.000,0.074,0.030,0.000,0.000,0.001,0.000,0.726,0.726
TCGA-H2-A3RH-01A,0.010,0.000,0.000,0.005,0.000,0.001,0.001,0.120,0.005,0.066,0.048,0.001,0.000,0.008,0.000,0.732,0.732
TCGA-EL-A3ZR-01A,0.025,0.000,0.000,0.002,0.002,0.000,0.001,0.124,0.000,0.059,0.013,0.000,0.000,0.000,0.000,0.775,0.775
TCGA-BJ-A291-01A,0.035,0.000,0.000,0.000,0.003,0.000,0.000,0.198,0.000,0.077,0.014,0.000,0.000,0.000,0.000,0.672,0.672
TCGA-MK-A4N9-01A,0.004,0.000,0.001,0.009,0.000,0.000,0.004,0.127,0.016,0.060,0.021,0.000,0.000,0.003,0.000,0.756,0.756
