,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-OR-A5LO-01A,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.037,0.000,0.051,0.005,0.000,0.000,0.001,0.000,0.897,0.897
TCGA-P6-A5OG-01A,0.001,0.000,0.020,0.020,0.005,0.000,0.000,0.210,0.100,0.173,0.129,0.001,0.000,0.013,0.008,0.321,0.321
TCGA-OR-A5J6-01A,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.095,0.000,0.009,0.135,0.001,0.000,0.000,0.000,0.758,0.758
TCGA-OR-A5LT-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.011,0.000,0.000,0.000,0.000,0.969,0.969
TCGA-OR-A5JY-01A,0.000,0.000,0.002,0.002,0.000,0.000,0.000,0.046,0.000,0.009,0.041,0.000,0.000,0.003,0.000,0.897,0.897
TCGA-OR-A5JV-01A,0.000,0.000,0.001,0.000,0.003,0.000,0.000,0.037,0.000,0.024,0.354,0.001,0.000,0.005,0.000,0.574,0.574
TCGA-OR-A5JT-01A,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.042,0.001,0.039,0.021,0.000,0.000,0.000,0.000,0.896,0.896
TCGA-OR-A5KX-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.081,0.000,0.011,0.024,0.000,0.000,0.000,0.000,0.884,0.884
TCGA-OR-A5K3-01A,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.032,0.000,0.000,0.000,0.000,0.959,0.959
TCGA-OR-A5JZ-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.001,0.054,0.028,0.002,0.000,0.002,0.000,0.872,0.872
TCGA-OR-A5LC-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.025,0.044,0.025,0.000,0.000,0.000,0.000,0.838,0.838
TCGA-OR-A5LH-01A,0.002,0.000,0.001,0.000,0.005,0.000,0.000,0.065,0.000,0.025,0.061,0.001,0.000,0.002,0.000,0.838,0.838
TCGA-OR-A5LM-01A,0.003,0.000,0.000,0.000,0.001,0.000,0.000,0.042,0.000,0.020,0.032,0.000,0.000,0.001,0.000,0.902,0.902
TCGA-OR-A5J5-01A,0.003,0.000,0.000,0.000,0.001,0.000,0.000,0.023,0.001,0.072,0.015,0.000,0.000,0.000,0.000,0.885,0.885
TCGA-P6-A5OF-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.064,0.024,0.108,0.040,0.000,0.000,0.004,0.000,0.759,0.759
