,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-4T-AA8H-01A,0.005,0.000,0.000,0.004,0.000,0.000,0.002,0.006,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.977,0.977
TCGA-AA-A00Q-01A,0.003,0.000,0.007,0.007,0.002,0.000,0.009,0.028,0.039,0.006,0.014,0.000,0.000,0.002,0.000,0.883,0.883
TCGA-AZ-4614-01A,0.000,0.000,0.003,0.009,0.003,0.000,0.000,0.009,0.004,0.003,0.006,0.000,0.000,0.000,0.000,0.963,0.963
TCGA-A6-2675-01A,0.007,0.000,0.020,0.004,0.008,0.000,0.006,0.047,0.138,0.015,0.107,0.002,0.000,0.013,0.000,0.632,0.632
TCGA-AA-A00U-01A,0.000,0.000,0.005,0.007,0.001,0.000,0.005,0.019,0.020,0.011,0.006,0.000,0.000,0.001,0.000,0.923,0.923
TCGA-A6-6781-01A,0.013,0.000,0.007,0.030,0.027,0.001,0.001,0.053,0.210,0.012,0.115,0.002,0.001,0.024,0.010,0.495,0.495
TCGA-CM-6169-01A,0.012,0.000,0.037,0.018,0.007,0.000,0.020,0.088,0.171,0.022,0.107,0.002,0.000,0.011,0.000,0.503,0.503
TCGA-AA-3516-01A,0.006,0.000,0.013,0.011,0.010,0.000,0.007,0.020,0.020,0.004,0.034,0.000,0.000,0.004,0.001,0.868,0.868
TCGA-AA-3552-01A,0.045,0.000,0.023,0.011,0.012,0.002,0.035,0.035,0.029,0.021,0.052,0.001,0.001,0.006,0.000,0.728,0.728
TCGA-D5-6931-01A,0.023,0.000,0.025,0.015,0.010,0.000,0.011,0.029,0.062,0.008,0.066,0.004,0.000,0.008,0.000,0.738,0.738
TCGA-SS-A7HO-01A,0.005,0.000,0.000,0.008,0.000,0.000,0.000,0.037,0.000,0.013,0.009,0.000,0.000,0.002,0.001,0.924,0.924
TCGA-AZ-6605-01A,0.019,0.001,0.038,0.010,0.007,0.000,0.013,0.075,0.199,0.025,0.078,0.001,0.000,0.006,0.000,0.527,0.527
TCGA-CA-6717-01A,0.018,0.014,0.030,0.015,0.016,0.001,0.028,0.063,0.120,0.036,0.082,0.005,0.001,0.006,0.000,0.566,0.566
TCGA-NH-A8F7-01A,0.000,0.000,0.000,0.003,0.000,0.001,0.001,0.011,0.006,0.007,0.007,0.000,0.000,0.004,0.000,0.959,0.959
TCGA-AD-6965-01A,0.000,0.000,0.010,0.014,0.009,0.000,0.000,0.036,0.048,0.014,0.029,0.000,0.000,0.004,0.000,0.834,0.834
TCGA-AA-A02H-01A,0.007,0.000,0.002,0.006,0.000,0.002,0.006,0.022,0.043,0.009,0.013,0.000,0.000,0.001,0.000,0.889,0.889
