,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-BC-A10Z-01A,0.010,0.000,0.002,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.034,0.000,0.000,0.002,0.000,0.938,0.938
TCGA-DD-AAEK-01A,0.018,0.000,0.019,0.000,0.002,0.000,0.003,0.045,0.000,0.021,0.129,0.000,0.000,0.000,0.000,0.761,0.761
TCGA-G3-A3CK-01A,0.014,0.000,0.003,0.000,0.000,0.000,0.000,0.020,0.000,0.002,0.064,0.000,0.000,0.000,0.000,0.897,0.897
TCGA-DD-A1EJ-01A,0.014,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.120,0.000,0.000,0.000,0.000,0.859,0.859
TCGA-DD-AACU-01A,0.009,0.000,0.003,0.000,0.000,0.000,0.000,0.029,0.000,0.000,0.061,0.000,0.000,0.000,0.000,0.896,0.896
TCGA-ZS-A9CE-01A,0.017,0.000,0.002,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.934,0.934
TCGA-2Y-A9H2-01A,0.001,0.000,0.003,0.000,0.002,0.000,0.017,0.021,0.001,0.009,0.040,0.000,0.001,0.004,0.000,0.902,0.902
TCGA-CC-5261-01A,0.016,0.018,0.030,0.009,0.001,0.001,0.017,0.095,0.101,0.024,0.077,0.001,0.001,0.008,0.000,0.601,0.601
TCGA-DD-AADP-01A,0.013,0.000,0.002,0.000,0.000,0.000,0.000,0.041,0.000,0.000,0.042,0.000,0.000,0.000,0.000,0.902,0.902
TCGA-2Y-A9H4-01A,0.011,0.000,0.001,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.067,0.000,0.000,0.000,0.000,0.893,0.893
TCGA-DD-A1EA-01A,0.035,0.000,0.004,0.000,0.000,0.000,0.000,0.035,0.000,0.000,0.093,0.000,0.000,0.003,0.000,0.829,0.829
TCGA-CC-A3MC-01A,0.009,0.000,0.003,0.000,0.000,0.000,0.000,0.030,0.003,0.012,0.069,0.000,0.000,0.000,0.000,0.874,0.874
TCGA-FV-A2QR-01A,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.049,0.005,0.009,0.086,0.000,0.000,0.000,0.000,0.826,0.826
TCGA-EP-A26S-01A,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.035,0.000,0.000,0.000,0.000,0.930,0.930
TCGA-K7-AAU7-01A,0.003,0.000,0.007,0.000,0.000,0.000,0.002,0.023,0.069,0.005,0.058,0.000,0.000,0.008,0.000,0.823,0.823
TCGA-G3-A25T-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.004,0.000,0.048,0.000,0.002,0.000,0.000,0.924,0.924
TCGA-DD-AADB-01A,0.028,0.000,0.030,0.002,0.000,0.000,0.000,0.021,0.000,0.000,0.086,0.000,0.000,0.000,0.000,0.834,0.834
TCGA-UB-A7MA-01A,0.003,0.000,0.004,0.000,0.000,0.000,0.000,0.029,0.007,0.044,0.043,0.000,0.000,0.002,0.000,0.867,0.867
TCGA-DD-AAD0-01A,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.000,0.000,0.000,0.932,0.932
TCGA-BC-4072-01B,0.012,0.000,0.035,0.006,0.011,0.000,0.003,0.039,0.009,0.020,0.122,0.001,0.000,0.004,0.000,0.740,0.740
TCGA-DD-AACD-01A,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.000,0.004,0.067,0.000,0.000,0.000,0.000,0.882,0.882
TCGA-DD-A3A5-01A,0.014,0.000,0.003,0.000,0.000,0.000,0.000,0.029,0.000,0.009,0.039,0.000,0.000,0.000,0.000,0.907,0.907
TCGA-ZP-A9D1-01A,0.013,0.000,0.005,0.000,0.000,0.000,0.000,0.082,0.004,0.023,0.053,0.000,0.000,0.002,0.000,0.818,0.818
TCGA-ZP-A9D0-01A,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.000,0.000,0.036,0.000,0.000,0.000,0.000,0.926,0.926
TCGA-CC-A7IK-01A,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.000,0.005,0.016,0.000,0.000,0.000,0.000,0.952,0.952
TCGA-WQ-AB4B-01A,0.013,0.000,0.001,0.000,0.000,0.000,0.000,0.023,0.000,0.002,0.048,0.000,0.000,0.000,0.000,0.913,0.913
TCGA-FV-A4ZQ-01A,0.070,0.000,0.020,0.032,0.019,0.000,0.000,0.005,0.000,0.000,0.119,0.000,0.000,0.000,0.000,0.734,0.734
TCGA-G3-A25S-01A,0.018,0.000,0.003,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.073,0.000,0.000,0.000,0.000,0.901,0.901
TCGA-NI-A4U2-01A,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.047,0.000,0.000,0.038,0.000,0.000,0.000,0.000,0.899,0.899
TCGA-RC-A7SK-01A,0.011,0.000,0.002,0.000,0.000,0.000,0.000,0.022,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.936,0.936
TCGA-DD-AADS-01A,0.020,0.000,0.003,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.886,0.886
