,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-IB-AAUW-01A,0.016,0.019,0.014,0.009,0.017,0.001,0.035,0.137,0.224,0.063,0.061,0.015,0.001,0.018,0.002,0.369,0.369
TCGA-LB-A8F3-01A,0.006,0.000,0.007,0.000,0.000,0.000,0.001,0.047,0.156,0.006,0.030,0.000,0.001,0.003,0.000,0.742,0.742
TCGA-HV-A5A5-01A,0.007,0.000,0.031,0.002,0.008,0.000,0.017,0.090,0.236,0.033,0.108,0.002,0.000,0.009,0.000,0.457,0.457
TCGA-US-A77E-01A,0.000,0.000,0.006,0.001,0.001,0.000,0.000,0.046,0.342,0.009,0.049,0.001,0.000,0.010,0.000,0.534,0.534
TCGA-3A-A9IX-01A,0.017,0.026,0.039,0.001,0.027,0.003,0.063,0.088,0.321,0.030,0.069,0.009,0.001,0.010,0.002,0.292,0.292
TCGA-HZ-A4BH-01A,0.002,0.014,0.037,0.005,0.022,0.001,0.029,0.112,0.292,0.048,0.088,0.009,0.001,0.016,0.000,0.323,0.323
TCGA-HZ-A49G-01A,0.008,0.000,0.020,0.003,0.021,0.000,0.039,0.079,0.278,0.022,0.174,0.008,0.001,0.013,0.002,0.332,0.332
TCGA-IB-8126-01A,0.022,0.020,0.020,0.006,0.036,0.004,0.028,0.121,0.310,0.036,0.078,0.008,0.001,0.014,0.001,0.294,0.294
TCGA-FB-A5VM-01A,0.008,0.005,0.031,0.002,0.015,0.001,0.048,0.075,0.283,0.026,0.087,0.000,0.001,0.005,0.000,0.415,0.415
TCGA-HV-AA8V-01A,0.008,0.000,0.008,0.004,0.011,0.000,0.004,0.045,0.453,0.014,0.111,0.006,0.000,0.007,0.000,0.327,0.327
TCGA-IB-7891-01A,0.020,0.001,0.036,0.002,0.020,0.000,0.055,0.071,0.306,0.022,0.138,0.009,0.001,0.008,0.001,0.311,0.311
TCGA-FB-A545-01A,0.000,0.000,0.009,0.002,0.003,0.000,0.000,0.068,0.241,0.013,0.012,0.007,0.000,0.009,0.000,0.634,0.634
TCGA-FB-A7DR-01A,0.004,0.000,0.011,0.001,0.014,0.000,0.008,0.093,0.369,0.096,0.074,0.011,0.001,0.011,0.000,0.304,0.304
TCGA-3A-A9IN-01A,0.029,0.000,0.003,0.000,0.005,0.000,0.013,0.150,0.219,0.110,0.046,0.001,0.000,0.003,0.000,0.418,0.418
TCGA-IB-AAUN-01A,0.010,0.000,0.015,0.012,0.004,0.000,0.020,0.073,0.227,0.018,0.049,0.004,0.000,0.007,0.000,0.560,0.560
TCGA-Q3-AA2A-01A,0.000,0.000,0.010,0.001,0.000,0.000,0.002,0.042,0.151,0.034,0.100,0.005,0.000,0.002,0.000,0.652,0.652
TCGA-IB-A5SO-01A,0.014,0.029,0.025,0.002,0.029,0.000,0.019,0.077,0.389,0.022,0.107,0.008,0.001,0.008,0.000,0.270,0.270
TCGA-M8-A5N4-01A,0.000,0.000,0.007,0.006,0.000,0.000,0.000,0.059,0.268,0.014,0.136,0.001,0.000,0.029,0.000,0.478,0.478
TCGA-2L-AAQI-01A,0.007,0.000,0.008,0.004,0.007,0.001,0.008,0.054,0.156,0.011,0.062,0.010,0.000,0.006,0.000,0.666,0.666
TCGA-HV-A7OP-01A,0.006,0.000,0.003,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.971,0.971
TCGA-HZ-A8P1-01A,0.000,0.000,0.001,0.002,0.003,0.000,0.008,0.031,0.095,0.008,0.038,0.001,0.000,0.002,0.000,0.812,0.812
TCGA-IB-AAUV-01A,0.001,0.023,0.016,0.005,0.042,0.002,0.025,0.087,0.537,0.043,0.125,0.009,0.001,0.012,0.001,0.070,0.070
TCGA-HZ-7925-01A,0.000,0.000,0.022,0.000,0.005,0.000,0.009,0.064,0.518,0.008,0.094,0.008,0.000,0.021,0.000,0.249,0.249
TCGA-IB-A7LX-01A,0.000,0.000,0.009,0.006,0.008,0.000,0.013,0.034,0.173,0.001,0.020,0.001,0.000,0.017,0.000,0.717,0.717
TCGA-3A-A9IZ-01A,0.000,0.000,0.003,0.002,0.001,0.000,0.000,0.032,0.190,0.010,0.018,0.000,0.000,0.008,0.000,0.735,0.735
TCGA-IB-AAUM-01A,0.027,0.004,0.014,0.004,0.010,0.007,0.022,0.088,0.234,0.030,0.061,0.010,0.002,0.007,0.001,0.479,0.479
TCGA-FB-AAQ6-01A,0.007,0.000,0.009,0.000,0.000,0.000,0.003,0.034,0.140,0.002,0.022,0.001,0.000,0.003,0.000,0.777,0.777
TCGA-F2-A8YN-01A,0.000,0.000,0.006,0.001,0.000,0.000,0.010,0.036,0.251,0.002,0.066,0.001,0.000,0.005,0.000,0.621,0.621
TCGA-2J-AABK-01A,0.002,0.000,0.007,0.001,0.007,0.000,0.014,0.062,0.062,0.026,0.040,0.007,0.000,0.003,0.000,0.769,0.769
TCGA-H6-8124-01A,0.000,0.000,0.008,0.001,0.000,0.000,0.006,0.029,0.310,0.009,0.033,0.005,0.000,0.005,0.000,0.594,0.594
