,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-HQ-A5NE-01A,0.000,0.000,0.018,0.001,0.000,0.000,0.006,0.063,0.093,0.007,0.016,0.008,0.000,0.011,0.000,0.778,0.778
TCGA-FD-A5BT-01A,0.022,0.000,0.027,0.047,0.022,0.001,0.016,0.034,0.419,0.013,0.169,0.000,0.001,0.001,0.000,0.227,0.227
TCGA-DK-A3IQ-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.056,0.629,0.041,0.036,0.009,0.000,0.007,0.000,0.217,0.217
TCGA-ZF-AA4X-01A,0.000,0.000,0.001,0.006,0.000,0.000,0.007,0.014,0.000,0.000,0.006,0.000,0.000,0.005,0.000,0.961,0.961
TCGA-GD-A3OQ-01A,0.000,0.000,0.006,0.001,0.000,0.000,0.001,0.026,0.028,0.000,0.005,0.001,0.000,0.008,0.000,0.924,0.924
TCGA-ZF-AA51-01A,0.020,0.000,0.046,0.006,0.001,0.000,0.010,0.037,0.076,0.001,0.069,0.000,0.000,0.002,0.006,0.726,0.726
TCGA-FD-A3SS-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.013,0.052,0.006,0.010,0.001,0.000,0.001,0.000,0.913,0.913
TCGA-DK-AA71-01A,0.000,0.000,0.005,0.005,0.000,0.000,0.000,0.022,0.012,0.000,0.019,0.000,0.000,0.001,0.000,0.936,0.936
TCGA-4Z-AA83-01A,0.000,0.000,0.003,0.001,0.000,0.000,0.003,0.034,0.001,0.040,0.016,0.000,0.000,0.002,0.000,0.900,0.900
TCGA-ZF-A9R4-01A,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.012,0.000,0.000,0.034,0.000,0.000,0.001,0.000,0.945,0.945
TCGA-BT-A20P-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.000,0.008,0.008,0.000,0.000,0.000,0.000,0.963,0.963
TCGA-HQ-A2OE-01A,0.000,0.000,0.007,0.000,0.000,0.000,0.001,0.020,0.000,0.001,0.007,0.000,0.000,0.007,0.000,0.957,0.957
TCGA-R3-A69X-01A,0.006,0.001,0.048,0.008,0.003,0.000,0.022,0.073,0.117,0.069,0.072,0.004,0.000,0.008,0.000,0.570,0.570
TCGA-BT-A3PH-01A,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.017,0.004,0.022,0.000,0.000,0.002,0.000,0.908,0.908
TCGA-UY-A9PA-01A,0.000,0.000,0.003,0.020,0.000,0.000,0.008,0.036,0.000,0.000,0.007,0.000,0.000,0.014,0.000,0.911,0.911
TCGA-BL-A13J-01B,0.003,0.000,0.021,0.068,0.001,0.015,0.004,0.062,0.140,0.025,0.032,0.014,0.000,0.034,0.004,0.575,0.575
TCGA-CF-A3MI-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.045,0.000,0.011,0.007,0.000,0.000,0.000,0.000,0.933,0.933
TCGA-XF-AAMW-01A,0.000,0.000,0.011,0.000,0.000,0.000,0.009,0.048,0.101,0.000,0.039,0.000,0.000,0.004,0.000,0.786,0.786
TCGA-H4-A2HQ-01A,0.004,0.000,0.006,0.004,0.000,0.000,0.000,0.029,0.000,0.000,0.012,0.000,0.000,0.003,0.000,0.942,0.942
TCGA-HQ-A5ND-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.016,0.000,0.002,0.003,0.000,0.000,0.001,0.000,0.975,0.975
TCGA-K4-A6FZ-01A,0.000,0.000,0.019,0.007,0.000,0.000,0.016,0.060,0.002,0.001,0.027,0.002,0.000,0.012,0.006,0.849,0.849
TCGA-DK-A3IV-01A,0.000,0.020,0.073,0.023,0.001,0.000,0.030,0.022,0.000,0.001,0.036,0.000,0.000,0.020,0.000,0.773,0.773
TCGA-E7-A3X6-01A,0.000,0.000,0.011,0.025,0.000,0.000,0.001,0.036,0.014,0.005,0.032,0.000,0.000,0.006,0.000,0.870,0.870
TCGA-BT-A42F-01A,0.032,0.000,0.015,0.023,0.014,0.000,0.025,0.023,0.007,0.003,0.128,0.000,0.000,0.002,0.001,0.727,0.727
TCGA-UY-A8OB-01A,0.000,0.000,0.001,0.016,0.000,0.000,0.000,0.002,0.008,0.000,0.017,0.000,0.000,0.000,0.000,0.955,0.955
TCGA-DK-A1A3-01A,0.014,0.000,0.007,0.001,0.001,0.000,0.006,0.053,0.113,0.004,0.065,0.000,0.000,0.001,0.000,0.735,0.735
TCGA-DK-AA6X-01A,0.000,0.001,0.035,0.001,0.001,0.000,0.022,0.058,0.035,0.004,0.041,0.000,0.000,0.009,0.000,0.792,0.792
TCGA-G2-A3IE-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.970,0.970
TCGA-FD-A5BU-01A,0.001,0.002,0.021,0.008,0.000,0.000,0.020,0.041,0.191,0.023,0.067,0.000,0.001,0.007,0.000,0.618,0.618
TCGA-C4-A0EZ-01A,0.000,0.000,0.015,0.001,0.002,0.000,0.000,0.046,0.006,0.040,0.003,0.000,0.000,0.001,0.000,0.886,0.886
TCGA-FD-A3B3-01A,0.014,0.000,0.025,0.046,0.001,0.000,0.017,0.064,0.208,0.023,0.092,0.000,0.001,0.013,0.008,0.487,0.487
TCGA-FD-A5BZ-01A,0.005,0.000,0.019,0.002,0.000,0.000,0.000,0.059,0.349,0.030,0.040,0.007,0.000,0.003,0.000,0.485,0.485
TCGA-C4-A0F7-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.064,0.012,0.016,0.007,0.000,0.000,0.003,0.001,0.897,0.897
TCGA-XF-AAMR-01A,0.000,0.000,0.006,0.002,0.000,0.000,0.006,0.088,0.184,0.137,0.051,0.021,0.000,0.007,0.000,0.497,0.497
TCGA-XF-AAN7-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.149,0.247,0.096,0.033,0.000,0.000,0.003,0.000,0.470,0.470
TCGA-UY-A8OD-01A,0.004,0.000,0.013,0.006,0.000,0.000,0.004,0.047,0.214,0.064,0.057,0.001,0.000,0.001,0.000,0.588,0.588
TCGA-FD-A3SP-01A,0.004,0.000,0.026,0.012,0.001,0.000,0.026,0.046,0.421,0.007,0.160,0.001,0.001,0.009,0.000,0.285,0.285
TCGA-DK-A2HX-01A,0.000,0.000,0.012,0.003,0.000,0.000,0.003,0.054,0.319,0.032,0.039,0.002,0.000,0.006,0.000,0.528,0.528
TCGA-CF-A8HX-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.990,0.990
TCGA-E7-A85H-01A,0.007,0.000,0.018,0.021,0.001,0.000,0.002,0.015,0.027,0.000,0.055,0.000,0.000,0.001,0.000,0.853,0.853
TCGA-ZF-A9RL-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.978,0.978
TCGA-UY-A9PB-01A,0.021,0.000,0.036,0.049,0.000,0.000,0.008,0.027,0.235,0.001,0.142,0.000,0.001,0.006,0.000,0.474,0.474
TCGA-GV-A3JV-01A,0.006,0.000,0.020,0.004,0.000,0.000,0.004,0.038,0.071,0.019,0.026,0.001,0.000,0.002,0.000,0.810,0.810
TCGA-GD-A6C6-01A,0.022,0.000,0.000,0.001,0.000,0.000,0.000,0.010,0.000,0.001,0.045,0.000,0.000,0.000,0.000,0.922,0.922
TCGA-XF-A9SW-01A,0.001,0.001,0.015,0.006,0.000,0.001,0.013,0.110,0.352,0.213,0.051,0.010,0.000,0.005,0.000,0.222,0.222
