,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-EL-A3D0-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.156,0.187,0.020,0.018,0.000,0.000,0.000,0.000,0.617,0.617
TCGA-J8-A4HY-01A,0.006,0.000,0.006,0.006,0.000,0.000,0.005,0.117,0.003,0.020,0.048,0.001,0.000,0.000,0.000,0.787,0.787
TCGA-L6-A4ET-01A,0.003,0.000,0.003,0.006,0.001,0.000,0.002,0.149,0.010,0.011,0.011,0.002,0.000,0.000,0.000,0.803,0.803
TCGA-DE-A4MC-01A,0.000,0.000,0.025,0.009,0.000,0.000,0.017,0.080,0.035,0.004,0.022,0.000,0.000,0.000,0.000,0.807,0.807
TCGA-ET-A25K-01A,0.000,0.000,0.004,0.004,0.001,0.000,0.000,0.256,0.069,0.058,0.031,0.021,0.000,0.001,0.000,0.555,0.555
TCGA-DJ-A3UU-01A,0.013,0.000,0.021,0.020,0.004,0.000,0.019,0.142,0.156,0.014,0.051,0.001,0.000,0.002,0.000,0.556,0.556
TCGA-EM-A1YA-01A,0.007,0.000,0.002,0.003,0.000,0.000,0.000,0.170,0.000,0.073,0.036,0.001,0.000,0.000,0.000,0.706,0.706
TCGA-CE-A483-01A,0.000,0.000,0.001,0.003,0.000,0.000,0.000,0.152,0.007,0.006,0.030,0.001,0.000,0.001,0.000,0.799,0.799
TCGA-DJ-A3VD-01A,0.034,0.053,0.057,0.022,0.005,0.000,0.055,0.092,0.177,0.009,0.094,0.001,0.001,0.005,0.000,0.394,0.394
TCGA-BJ-A28S-01A,0.004,0.000,0.000,0.001,0.000,0.000,0.000,0.204,0.000,0.074,0.019,0.006,0.000,0.002,0.000,0.691,0.691
TCGA-FY-A3R9-01A,0.007,0.000,0.000,0.000,0.000,0.000,0.001,0.144,0.000,0.055,0.012,0.001,0.000,0.000,0.000,0.779,0.779
TCGA-FY-A3R8-01A,0.000,0.000,0.011,0.004,0.000,0.000,0.012,0.103,0.070,0.001,0.072,0.001,0.000,0.001,0.000,0.726,0.726
TCGA-DJ-A3V2-01A,0.040,0.012,0.046,0.038,0.028,0.000,0.015,0.106,0.061,0.011,0.121,0.001,0.000,0.001,0.000,0.518,0.518
TCGA-ET-A25L-01A,0.000,0.000,0.019,0.004,0.000,0.000,0.008,0.104,0.206,0.001,0.050,0.003,0.000,0.001,0.000,0.604,0.604
TCGA-EL-A3D1-01A,0.015,0.000,0.018,0.002,0.008,0.000,0.006,0.139,0.079,0.020,0.050,0.009,0.000,0.001,0.000,0.653,0.653
