,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-C8-A278-01A,0.054,0.001,0.041,0.007,0.021,0.001,0.007,0.038,0.140,0.004,0.144,0.006,0.000,0.004,0.000,0.533,0.533
TCGA-A7-A425-01A,0.006,0.000,0.011,0.002,0.009,0.002,0.025,0.098,0.185,0.035,0.092,0.004,0.002,0.006,0.000,0.523,0.523
TCGA-E2-A15H-01A,0.010,0.000,0.006,0.008,0.001,0.000,0.007,0.028,0.163,0.014,0.028,0.000,0.000,0.005,0.000,0.730,0.730
TCGA-A8-A06N-01A,0.000,0.000,0.004,0.004,0.000,0.000,0.000,0.025,0.000,0.021,0.047,0.000,0.000,0.005,0.000,0.894,0.894
TCGA-E2-A570-01A,0.001,0.000,0.014,0.001,0.006,0.001,0.010,0.048,0.293,0.020,0.029,0.003,0.000,0.002,0.000,0.572,0.572
TCGA-BH-A1FL-01A,0.004,0.011,0.010,0.003,0.007,0.000,0.010,0.068,0.138,0.028,0.033,0.010,0.000,0.007,0.000,0.670,0.670
TCGA-E2-A56Z-01A,0.009,0.000,0.011,0.006,0.001,0.000,0.001,0.041,0.089,0.036,0.021,0.000,0.000,0.001,0.000,0.784,0.784
TCGA-E9-A1RI-01A,0.008,0.000,0.013,0.005,0.006,0.001,0.003,0.037,0.328,0.010,0.073,0.007,0.000,0.006,0.000,0.502,0.502
TCGA-BH-A0DP-01A,0.008,0.001,0.014,0.002,0.011,0.001,0.025,0.058,0.273,0.014,0.076,0.009,0.000,0.005,0.000,0.501,0.501
TCGA-AR-A0U3-01A,0.005,0.000,0.010,0.014,0.001,0.000,0.015,0.039,0.069,0.012,0.041,0.000,0.000,0.006,0.000,0.787,0.787
TCGA-BH-A18L-01A,0.003,0.000,0.007,0.002,0.000,0.000,0.000,0.055,0.009,0.035,0.051,0.000,0.000,0.005,0.000,0.831,0.831
