,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-32-2616-01A,0.000,0.000,0.005,0.000,0.004,0.000,0.000,0.031,0.000,0.024,0.136,0.000,0.000,0.004,0.000,0.794,0.794
TCGA-32-1980-01A,0.000,0.001,0.018,0.000,0.014,0.006,0.007,0.100,0.043,0.054,0.213,0.003,0.008,0.005,0.000,0.528,0.528
TCGA-28-2514-01A,0.000,0.001,0.006,0.001,0.005,0.000,0.003,0.105,0.007,0.054,0.080,0.001,0.001,0.010,0.000,0.727,0.727
TCGA-06-0644-01A,0.000,0.000,0.022,0.001,0.006,0.000,0.000,0.037,0.265,0.005,0.177,0.000,0.000,0.001,0.000,0.484,0.484
TCGA-06-1804-01A,0.000,0.001,0.010,0.006,0.005,0.001,0.002,0.062,0.022,0.049,0.088,0.001,0.008,0.016,0.000,0.727,0.727
TCGA-41-2571-01A,0.000,0.001,0.002,0.000,0.004,0.000,0.001,0.034,0.004,0.024,0.106,0.000,0.009,0.004,0.000,0.810,0.810
TCGA-19-2619-01A,0.000,0.000,0.003,0.000,0.003,0.000,0.000,0.075,0.006,0.052,0.049,0.000,0.000,0.010,0.000,0.800,0.800
TCGA-27-1837-01A,0.000,0.000,0.006,0.000,0.001,0.000,0.008,0.050,0.002,0.036,0.118,0.000,0.002,0.005,0.000,0.770,0.770
TCGA-27-1832-01A,0.000,0.000,0.010,0.003,0.009,0.000,0.001,0.037,0.183,0.015,0.168,0.000,0.001,0.004,0.001,0.569,0.569
TCGA-06-0686-01A,0.000,0.001,0.008,0.000,0.004,0.000,0.011,0.053,0.010,0.049,0.119,0.000,0.003,0.003,0.000,0.740,0.740
TCGA-06-5856-01A,0.000,0.000,0.004,0.001,0.004,0.000,0.000,0.055,0.008,0.033,0.135,0.000,0.000,0.003,0.000,0.755,0.755
