,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-CV-5442-01A,0.000,0.000,0.000,0.007,0.003,0.000,0.005,0.009,0.000,0.002,0.000,0.000,0.000,0.012,0.005,0.955,0.955
TCGA-CR-7392-01A,0.044,0.003,0.052,0.002,0.024,0.000,0.034,0.057,0.202,0.037,0.065,0.000,0.000,0.028,0.001,0.451,0.451
TCGA-UF-A71A-01A,0.000,0.000,0.003,0.001,0.006,0.000,0.003,0.034,0.124,0.043,0.036,0.000,0.000,0.005,0.000,0.745,0.745
TCGA-CN-A642-01A,0.000,0.000,0.008,0.034,0.005,0.000,0.015,0.020,0.034,0.027,0.042,0.000,0.000,0.001,0.000,0.813,0.813
TCGA-CV-A45U-01A,0.003,0.000,0.034,0.019,0.011,0.000,0.008,0.018,0.056,0.013,0.017,0.000,0.000,0.009,0.000,0.811,0.811
TCGA-CN-6012-01A,0.038,0.000,0.032,0.003,0.010,0.000,0.019,0.055,0.065,0.012,0.059,0.000,0.000,0.019,0.000,0.687,0.687
TCGA-CV-A45W-01A,0.112,0.017,0.031,0.003,0.022,0.000,0.013,0.050,0.068,0.019,0.084,0.000,0.004,0.013,0.001,0.562,0.562
TCGA-CV-A6K0-01B,0.001,0.000,0.053,0.001,0.025,0.000,0.100,0.054,0.184,0.041,0.033,0.000,0.000,0.019,0.000,0.487,0.487
TCGA-QK-A6VB-01A,0.000,0.000,0.008,0.000,0.001,0.001,0.000,0.028,0.023,0.020,0.011,0.000,0.000,0.010,0.000,0.896,0.896
TCGA-CV-6959-01A,0.005,0.000,0.019,0.010,0.005,0.000,0.015,0.080,0.067,0.052,0.042,0.000,0.000,0.022,0.020,0.663,0.663
TCGA-HD-7832-01A,0.000,0.000,0.018,0.020,0.004,0.000,0.000,0.017,0.019,0.012,0.059,0.000,0.000,0.009,0.000,0.840,0.840
TCGA-CV-7255-01A,0.000,0.000,0.005,0.000,0.004,0.000,0.000,0.026,0.023,0.022,0.003,0.000,0.000,0.013,0.000,0.902,0.902
TCGA-CR-5243-01A,0.026,0.001,0.060,0.015,0.024,0.000,0.030,0.051,0.134,0.030,0.019,0.000,0.000,0.017,0.000,0.592,0.592
TCGA-P3-A6T5-01A,0.000,0.000,0.009,0.002,0.002,0.000,0.015,0.022,0.075,0.018,0.026,0.000,0.000,0.006,0.000,0.824,0.824
TCGA-CV-6952-01A,0.005,0.000,0.019,0.010,0.007,0.000,0.018,0.032,0.025,0.025,0.020,0.000,0.000,0.016,0.007,0.815,0.815
TCGA-D6-A6ES-01A,0.001,0.000,0.003,0.002,0.004,0.000,0.001,0.008,0.001,0.002,0.040,0.000,0.000,0.000,0.006,0.931,0.931
TCGA-CN-5366-01A,0.000,0.000,0.009,0.011,0.011,0.000,0.001,0.042,0.136,0.029,0.041,0.000,0.000,0.009,0.000,0.711,0.711
TCGA-CQ-6223-01A,0.003,0.000,0.011,0.005,0.008,0.000,0.010,0.016,0.007,0.009,0.036,0.000,0.000,0.024,0.001,0.871,0.871
TCGA-F7-7848-01A,0.018,0.002,0.042,0.001,0.021,0.000,0.036,0.054,0.078,0.013,0.029,0.000,0.000,0.025,0.004,0.674,0.674
TCGA-CV-A6JM-01A,0.011,0.000,0.008,0.001,0.007,0.000,0.000,0.012,0.031,0.014,0.042,0.000,0.000,0.000,0.004,0.870,0.870
TCGA-CN-5359-01A,0.003,0.000,0.051,0.009,0.033,0.000,0.032,0.045,0.208,0.012,0.102,0.000,0.001,0.039,0.018,0.449,0.449
TCGA-P3-A5QA-01A,0.000,0.000,0.007,0.004,0.001,0.000,0.007,0.020,0.297,0.041,0.000,0.000,0.000,0.004,0.001,0.617,0.617
TCGA-CN-4734-01A,0.000,0.000,0.025,0.050,0.001,0.000,0.023,0.030,0.054,0.014,0.045,0.000,0.000,0.017,0.011,0.729,0.729
TCGA-CV-6441-01A,0.000,0.000,0.003,0.002,0.002,0.000,0.009,0.008,0.000,0.021,0.004,0.000,0.000,0.003,0.000,0.949,0.949
