,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-BP-4766-01A,0.005,0.000,0.000,0.001,0.000,0.000,0.000,0.275,0.000,0.145,0.157,0.000,0.007,0.018,0.000,0.389,0.389
TCGA-A3-3352-01A,0.005,0.001,0.007,0.005,0.000,0.007,0.002,0.263,0.000,0.123,0.151,0.001,0.016,0.009,0.000,0.407,0.407
TCGA-G6-A8L7-01A,0.018,0.000,0.010,0.001,0.008,0.000,0.000,0.094,0.001,0.138,0.040,0.000,0.003,0.000,0.000,0.687,0.687
TCGA-A3-A6NN-01A,0.000,0.001,0.010,0.006,0.001,0.001,0.005,0.363,0.036,0.099,0.132,0.001,0.027,0.009,0.000,0.309,0.309
TCGA-T7-A92I-01A,0.007,0.000,0.001,0.001,0.002,0.000,0.000,0.050,0.029,0.031,0.148,0.001,0.000,0.007,0.000,0.724,0.724
TCGA-B0-5713-01A,0.001,0.001,0.006,0.012,0.006,0.000,0.001,0.397,0.000,0.165,0.100,0.000,0.006,0.007,0.000,0.298,0.298
TCGA-CZ-4860-01A,0.000,0.000,0.005,0.000,0.008,0.000,0.000,0.033,0.166,0.007,0.200,0.000,0.000,0.001,0.000,0.580,0.580
TCGA-A3-3351-01A,0.002,0.003,0.022,0.030,0.044,0.000,0.035,0.210,0.002,0.158,0.192,0.004,0.001,0.020,0.000,0.278,0.278
TCGA-B8-4148-01A,0.008,0.003,0.014,0.053,0.052,0.000,0.032,0.251,0.001,0.153,0.144,0.000,0.006,0.017,0.001,0.268,0.268
TCGA-BP-4345-01A,0.000,0.000,0.022,0.001,0.012,0.000,0.002,0.254,0.246,0.267,0.171,0.000,0.001,0.004,0.000,0.018,0.018
TCGA-BP-5010-01A,0.001,0.000,0.004,0.001,0.009,0.000,0.000,0.243,0.245,0.317,0.059,0.000,0.000,0.003,0.000,0.117,0.117
TCGA-BP-4325-01A,0.003,0.001,0.001,0.018,0.030,0.000,0.000,0.180,0.000,0.111,0.194,0.000,0.000,0.009,0.000,0.453,0.453
TCGA-B0-5102-01A,0.011,0.000,0.000,0.001,0.007,0.000,0.000,0.157,0.001,0.116,0.125,0.000,0.000,0.001,0.000,0.579,0.579
TCGA-BP-5185-01A,0.009,0.000,0.000,0.000,0.001,0.000,0.000,0.150,0.013,0.155,0.085,0.000,0.000,0.000,0.000,0.586,0.586
TCGA-CZ-5986-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.008,0.265,0.000,0.147,0.146,0.004,0.003,0.018,0.000,0.403,0.403
TCGA-CW-5590-01A,0.000,0.000,0.013,0.011,0.001,0.000,0.001,0.297,0.031,0.169,0.125,0.000,0.005,0.004,0.000,0.342,0.342
TCGA-CJ-4904-01A,0.000,0.000,0.001,0.009,0.012,0.000,0.008,0.425,0.001,0.199,0.119,0.000,0.000,0.007,0.000,0.217,0.217
TCGA-BP-4987-01A,0.000,0.001,0.001,0.012,0.018,0.000,0.000,0.327,0.000,0.175,0.117,0.000,0.011,0.010,0.000,0.326,0.326
TCGA-B0-4849-01A,0.004,0.001,0.007,0.013,0.003,0.000,0.002,0.286,0.001,0.252,0.106,0.000,0.005,0.013,0.011,0.298,0.298
