,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-BQ-7044-01A,0.001,0.000,0.000,0.003,0.001,0.000,0.000,0.013,0.000,0.000,0.056,0.000,0.000,0.001,0.000,0.925,0.925
TCGA-SX-A7SR-01A,0.000,0.000,0.000,0.003,0.002,0.000,0.001,0.026,0.001,0.003,0.119,0.014,0.000,0.008,0.000,0.822,0.822
TCGA-MH-A854-01A,0.008,0.000,0.001,0.002,0.000,0.001,0.000,0.025,0.002,0.023,0.042,0.000,0.000,0.000,0.000,0.894,0.894
TCGA-B3-8121-01A,0.017,0.001,0.010,0.004,0.008,0.000,0.003,0.051,0.039,0.006,0.227,0.001,0.012,0.015,0.000,0.607,0.607
TCGA-2Z-A9JJ-01A,0.000,0.000,0.011,0.001,0.000,0.000,0.000,0.039,0.103,0.001,0.090,0.002,0.000,0.006,0.000,0.747,0.747
TCGA-B1-7332-01A,0.000,0.000,0.001,0.001,0.002,0.000,0.000,0.033,0.019,0.001,0.131,0.000,0.000,0.001,0.000,0.811,0.811
TCGA-WN-A9G9-01A,0.006,0.001,0.006,0.138,0.237,0.000,0.016,0.035,0.000,0.011,0.381,0.000,0.000,0.008,0.000,0.160,0.160
TCGA-A4-8310-01A,0.000,0.000,0.001,0.002,0.000,0.000,0.000,0.011,0.002,0.001,0.088,0.000,0.000,0.001,0.000,0.893,0.893
TCGA-2Z-A9JT-01A,0.011,0.000,0.000,0.001,0.007,0.001,0.000,0.010,0.000,0.000,0.233,0.000,0.000,0.000,0.000,0.735,0.735
TCGA-5P-A9K2-01A,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.054,0.000,0.000,0.000,0.000,0.941,0.941
TCGA-4A-A93W-01A,0.000,0.000,0.001,0.000,0.000,0.001,0.003,0.030,0.040,0.005,0.049,0.000,0.000,0.000,0.000,0.870,0.870
TCGA-DW-7837-01A,0.000,0.000,0.000,0.003,0.001,0.001,0.004,0.042,0.003,0.020,0.125,0.007,0.000,0.004,0.000,0.788,0.788
TCGA-A4-A5DU-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.019,0.002,0.002,0.070,0.000,0.000,0.001,0.000,0.904,0.904
