,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-TQ-A7RO-01A,0.000,0.001,0.003,0.000,0.002,0.000,0.011,0.103,0.000,0.057,0.043,0.000,0.002,0.007,0.000,0.768,0.768
TCGA-CS-6670-01A,0.000,0.000,0.004,0.000,0.001,0.000,0.005,0.079,0.000,0.053,0.037,0.000,0.000,0.005,0.000,0.814,0.814
TCGA-QH-A6X5-01A,0.000,0.001,0.003,0.000,0.000,0.000,0.003,0.055,0.000,0.053,0.068,0.000,0.005,0.004,0.000,0.807,0.807
TCGA-HW-7493-01A,0.000,0.003,0.004,0.000,0.005,0.000,0.002,0.078,0.001,0.051,0.131,0.005,0.000,0.008,0.000,0.711,0.711
TCGA-CS-6667-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.131,0.000,0.106,0.079,0.000,0.000,0.005,0.000,0.675,0.675
TCGA-DU-6406-01A,0.000,0.000,0.003,0.001,0.002,0.000,0.007,0.085,0.000,0.025,0.074,0.000,0.000,0.007,0.000,0.794,0.794
TCGA-DU-A7TA-01A,0.000,0.003,0.004,0.003,0.000,0.000,0.010,0.051,0.000,0.053,0.131,0.000,0.004,0.005,0.001,0.735,0.735
TCGA-QH-A6X4-01A,0.000,0.001,0.005,0.000,0.000,0.000,0.011,0.042,0.000,0.049,0.061,0.000,0.005,0.008,0.000,0.818,0.818
TCGA-TQ-A7RR-01A,0.000,0.003,0.003,0.000,0.001,0.001,0.007,0.051,0.000,0.051,0.130,0.002,0.005,0.010,0.000,0.736,0.736
TCGA-HT-8104-01A,0.000,0.000,0.008,0.001,0.004,0.000,0.001,0.116,0.011,0.038,0.087,0.000,0.002,0.007,0.000,0.726,0.726
TCGA-HT-A74K-01A,0.000,0.000,0.007,0.000,0.000,0.000,0.001,0.065,0.000,0.075,0.085,0.000,0.007,0.000,0.000,0.759,0.759
TCGA-DB-A64X-01A,0.000,0.002,0.002,0.000,0.000,0.000,0.008,0.047,0.000,0.068,0.054,0.000,0.001,0.000,0.000,0.819,0.819
TCGA-HT-8107-01A,0.000,0.011,0.010,0.000,0.010,0.011,0.026,0.137,0.000,0.066,0.058,0.010,0.001,0.016,0.000,0.643,0.643
TCGA-FG-A710-01A,0.000,0.001,0.012,0.002,0.002,0.002,0.023,0.080,0.001,0.045,0.157,0.000,0.002,0.005,0.000,0.667,0.667
TCGA-QH-A6CX-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.034,0.002,0.040,0.143,0.000,0.001,0.003,0.000,0.776,0.776
TCGA-CS-6666-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.117,0.000,0.080,0.084,0.000,0.000,0.002,0.000,0.714,0.714
TCGA-TM-A7CA-01A,0.000,0.002,0.001,0.001,0.000,0.000,0.003,0.033,0.000,0.048,0.081,0.000,0.000,0.007,0.000,0.822,0.822
TCGA-HW-7486-01A,0.000,0.001,0.006,0.000,0.000,0.000,0.001,0.073,0.000,0.043,0.134,0.000,0.004,0.006,0.000,0.731,0.731
TCGA-QH-A6X8-01A,0.000,0.001,0.006,0.000,0.001,0.000,0.002,0.055,0.000,0.033,0.095,0.000,0.007,0.008,0.000,0.792,0.792
TCGA-DU-A76K-01A,0.000,0.001,0.003,0.000,0.005,0.003,0.006,0.059,0.007,0.053,0.024,0.004,0.002,0.004,0.000,0.830,0.830
TCGA-DB-A4XD-01A,0.000,0.001,0.003,0.000,0.000,0.000,0.001,0.034,0.000,0.060,0.093,0.000,0.001,0.009,0.000,0.800,0.800
TCGA-DH-A669-01A,0.000,0.000,0.010,0.001,0.002,0.000,0.000,0.030,0.000,0.032,0.075,0.000,0.001,0.001,0.000,0.846,0.846
TCGA-WY-A858-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.106,0.000,0.058,0.248,0.000,0.002,0.000,0.000,0.583,0.583
TCGA-DU-7294-01A,0.000,0.001,0.003,0.000,0.000,0.000,0.001,0.036,0.000,0.043,0.056,0.000,0.000,0.005,0.001,0.853,0.853
TCGA-TM-A7C3-01A,0.000,0.000,0.002,0.000,0.004,0.000,0.000,0.104,0.013,0.044,0.035,0.000,0.000,0.003,0.000,0.794,0.794
TCGA-WY-A85E-01A,0.000,0.004,0.003,0.000,0.001,0.000,0.012,0.038,0.000,0.043,0.041,0.000,0.002,0.004,0.000,0.851,0.851
TCGA-FG-A6J1-01A,0.000,0.000,0.004,0.000,0.001,0.000,0.020,0.050,0.000,0.055,0.083,0.000,0.006,0.001,0.001,0.778,0.778
TCGA-QH-A65Z-01A,0.000,0.003,0.005,0.000,0.001,0.000,0.007,0.044,0.000,0.034,0.052,0.000,0.003,0.004,0.000,0.847,0.847
