,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-55-8508-01A,0.136,0.001,0.031,0.001,0.002,0.000,0.001,0.042,0.108,0.028,0.043,0.000,0.003,0.018,0.000,0.585,0.585
TCGA-67-3771-01A,0.056,0.011,0.031,0.004,0.020,0.000,0.004,0.033,0.115,0.024,0.140,0.000,0.000,0.014,0.001,0.547,0.547
TCGA-55-A4DG-01A,0.050,0.051,0.019,0.007,0.025,0.005,0.023,0.031,0.063,0.022,0.053,0.002,0.000,0.013,0.000,0.635,0.635
TCGA-91-7771-01A,0.032,0.009,0.041,0.013,0.019,0.002,0.033,0.062,0.124,0.042,0.133,0.002,0.000,0.011,0.001,0.473,0.473
TCGA-91-6849-01A,0.078,0.002,0.008,0.001,0.008,0.000,0.030,0.047,0.047,0.011,0.117,0.000,0.000,0.010,0.000,0.639,0.639
TCGA-64-5781-01A,0.047,0.000,0.016,0.045,0.007,0.000,0.002,0.017,0.163,0.010,0.036,0.000,0.000,0.003,0.000,0.654,0.654
TCGA-44-6146-01B,0.006,0.010,0.020,0.033,0.002,0.004,0.024,0.142,0.145,0.039,0.016,0.021,0.001,0.046,0.001,0.492,0.492
TCGA-97-7552-01A,0.050,0.064,0.042,0.035,0.032,0.001,0.053,0.066,0.074,0.028,0.114,0.008,0.004,0.022,0.001,0.406,0.406
TCGA-80-5608-01A,0.019,0.000,0.017,0.006,0.001,0.000,0.010,0.029,0.020,0.029,0.051,0.000,0.000,0.010,0.000,0.807,0.807
TCGA-91-6829-01A,0.005,0.001,0.013,0.006,0.010,0.001,0.001,0.072,0.268,0.025,0.107,0.004,0.000,0.011,0.000,0.477,0.477
TCGA-49-AARE-01A,0.026,0.001,0.010,0.004,0.009,0.000,0.019,0.024,0.113,0.010,0.052,0.000,0.000,0.007,0.000,0.724,0.724
