,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-94-7943-01A,0.009,0.001,0.022,0.001,0.012,0.000,0.012,0.023,0.037,0.018,0.079,0.001,0.000,0.008,0.000,0.779,0.779
TCGA-68-8251-01A,0.009,0.016,0.032,0.012,0.013,0.000,0.020,0.028,0.182,0.007,0.082,0.000,0.000,0.008,0.000,0.590,0.590
TCGA-33-A5GW-01A,0.000,0.000,0.003,0.000,0.001,0.000,0.000,0.028,0.001,0.009,0.009,0.000,0.000,0.004,0.000,0.944,0.944
TCGA-85-8070-01A,0.025,0.000,0.005,0.002,0.006,0.000,0.001,0.011,0.010,0.008,0.012,0.000,0.000,0.007,0.000,0.912,0.912
TCGA-85-8479-01A,0.000,0.000,0.004,0.000,0.009,0.000,0.006,0.035,0.016,0.023,0.001,0.000,0.000,0.007,0.000,0.898,0.898
TCGA-22-5482-01A,0.007,0.000,0.004,0.000,0.005,0.000,0.007,0.020,0.124,0.013,0.033,0.000,0.001,0.004,0.000,0.782,0.782
TCGA-21-1077-01A,0.038,0.002,0.014,0.001,0.006,0.000,0.018,0.027,0.135,0.018,0.071,0.000,0.000,0.009,0.001,0.658,0.658
TCGA-43-6773-01A,0.130,0.031,0.023,0.015,0.017,0.000,0.005,0.092,0.209,0.034,0.115,0.000,0.000,0.011,0.001,0.315,0.315
TCGA-34-8455-01A,0.018,0.000,0.015,0.002,0.009,0.000,0.000,0.049,0.144,0.032,0.029,0.000,0.000,0.016,0.000,0.686,0.686
TCGA-85-7950-01A,0.007,0.027,0.084,0.014,0.022,0.000,0.019,0.042,0.217,0.008,0.068,0.000,0.001,0.014,0.001,0.476,0.476
TCGA-60-2715-01A,0.018,0.002,0.042,0.005,0.015,0.004,0.043,0.145,0.228,0.036,0.145,0.007,0.001,0.018,0.002,0.287,0.287
TCGA-85-A5B5-01A,0.007,0.014,0.009,0.002,0.006,0.000,0.012,0.021,0.091,0.010,0.033,0.000,0.000,0.005,0.000,0.790,0.790
TCGA-33-4583-01A,0.002,0.001,0.005,0.021,0.001,0.000,0.000,0.011,0.004,0.006,0.017,0.000,0.000,0.003,0.006,0.924,0.924
TCGA-60-2725-01A,0.027,0.008,0.044,0.011,0.018,0.001,0.034,0.047,0.162,0.019,0.154,0.004,0.001,0.018,0.009,0.444,0.444
TCGA-85-8072-01A,0.015,0.012,0.010,0.020,0.015,0.000,0.024,0.037,0.065,0.012,0.082,0.000,0.001,0.011,0.000,0.697,0.697
TCGA-22-4601-01A,0.014,0.001,0.016,0.004,0.010,0.000,0.009,0.037,0.030,0.017,0.061,0.000,0.000,0.011,0.000,0.789,0.789
TCGA-66-2781-01A,0.049,0.001,0.010,0.001,0.010,0.000,0.003,0.022,0.115,0.011,0.041,0.000,0.000,0.017,0.001,0.719,0.719
TCGA-22-0940-01A,0.018,0.000,0.021,0.038,0.014,0.000,0.034,0.024,0.159,0.006,0.100,0.000,0.000,0.006,0.000,0.579,0.579
TCGA-43-6143-01A,0.011,0.001,0.016,0.013,0.006,0.000,0.010,0.038,0.098,0.029,0.045,0.000,0.001,0.011,0.000,0.719,0.719
TCGA-39-5021-01A,0.044,0.004,0.030,0.001,0.028,0.000,0.021,0.024,0.115,0.009,0.087,0.000,0.000,0.004,0.000,0.632,0.632
TCGA-22-1012-01A,0.012,0.004,0.013,0.001,0.017,0.000,0.019,0.026,0.076,0.018,0.055,0.000,0.001,0.004,0.009,0.746,0.746
TCGA-33-AASL-01A,0.004,0.000,0.005,0.010,0.001,0.000,0.002,0.011,0.005,0.002,0.021,0.000,0.000,0.008,0.006,0.924,0.924
TCGA-33-4533-01A,0.006,0.001,0.017,0.005,0.013,0.001,0.031,0.046,0.288,0.019,0.033,0.003,0.000,0.004,0.001,0.533,0.533
TCGA-43-6647-01A,0.036,0.001,0.045,0.000,0.011,0.000,0.022,0.033,0.390,0.004,0.098,0.000,0.000,0.014,0.001,0.346,0.346
TCGA-77-6845-01A,0.000,0.000,0.003,0.000,0.007,0.000,0.000,0.031,0.028,0.009,0.023,0.000,0.000,0.005,0.000,0.892,0.892
TCGA-56-8504-01A,0.006,0.000,0.026,0.017,0.012,0.000,0.006,0.025,0.085,0.009,0.083,0.000,0.000,0.008,0.000,0.722,0.722
TCGA-56-8629-01A,0.011,0.000,0.007,0.013,0.004,0.000,0.001,0.020,0.101,0.004,0.048,0.000,0.000,0.009,0.000,0.781,0.781
TCGA-63-A5MY-01A,0.005,0.000,0.002,0.001,0.006,0.000,0.000,0.017,0.000,0.004,0.001,0.000,0.000,0.009,0.003,0.951,0.951
TCGA-37-4130-01A,0.090,0.000,0.047,0.052,0.031,0.000,0.041,0.009,0.014,0.005,0.162,0.000,0.000,0.001,0.003,0.543,0.543
TCGA-22-1002-01A,0.024,0.007,0.015,0.005,0.011,0.001,0.016,0.130,0.166,0.066,0.053,0.000,0.002,0.022,0.006,0.475,0.475
TCGA-18-3410-01A,0.030,0.019,0.066,0.017,0.026,0.000,0.045,0.029,0.043,0.011,0.112,0.000,0.000,0.009,0.001,0.592,0.592
TCGA-39-5011-01A,0.007,0.001,0.048,0.049,0.004,0.000,0.012,0.019,0.030,0.001,0.174,0.000,0.000,0.005,0.000,0.649,0.649
TCGA-56-7580-01A,0.043,0.000,0.011,0.001,0.004,0.000,0.002,0.016,0.104,0.001,0.025,0.000,0.000,0.009,0.000,0.783,0.783
TCGA-98-8023-01A,0.044,0.004,0.040,0.012,0.017,0.000,0.027,0.037,0.205,0.004,0.098,0.000,0.000,0.010,0.001,0.501,0.501
TCGA-33-4586-01A,0.006,0.000,0.003,0.001,0.005,0.000,0.000,0.019,0.074,0.014,0.033,0.000,0.000,0.006,0.000,0.837,0.837
TCGA-58-8388-01A,0.011,0.002,0.046,0.018,0.022,0.000,0.027,0.050,0.191,0.027,0.079,0.001,0.001,0.014,0.001,0.512,0.512
