,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
TCGA-AG-3896-01A,0.014,0.000,0.014,0.006,0.001,0.001,0.024,0.042,0.052,0.020,0.036,0.000,0.000,0.001,0.000,0.790,0.790
TCGA-DC-4745-01A,0.001,0.000,0.011,0.008,0.000,0.001,0.016,0.034,0.032,0.022,0.021,0.000,0.000,0.000,0.000,0.855,0.855
TCGA-AH-6903-01A,0.002,0.000,0.008,0.004,0.000,0.000,0.011,0.015,0.014,0.010,0.007,0.000,0.000,0.002,0.000,0.925,0.925
TCGA-AG-3599-01A,0.007,0.000,0.019,0.022,0.001,0.000,0.024,0.014,0.017,0.012,0.032,0.000,0.000,0.001,0.000,0.851,0.851
TCGA-AG-3581-01A,0.016,0.000,0.017,0.007,0.001,0.000,0.021,0.032,0.033,0.015,0.031,0.000,0.000,0.003,0.000,0.824,0.824
TCGA-AG-3881-01A,0.014,0.000,0.007,0.007,0.007,0.000,0.025,0.055,0.127,0.042,0.076,0.000,0.000,0.002,0.001,0.637,0.637
TCGA-CL-5917-01A,0.000,0.000,0.006,0.005,0.002,0.000,0.003,0.026,0.066,0.015,0.012,0.000,0.000,0.005,0.000,0.860,0.860
TCGA-AG-3902-01A,0.017,0.000,0.023,0.041,0.002,0.000,0.044,0.021,0.031,0.013,0.055,0.000,0.000,0.005,0.000,0.748,0.748
TCGA-CI-6624-01C,0.016,0.000,0.019,0.003,0.006,0.000,0.027,0.040,0.076,0.014,0.049,0.000,0.000,0.005,0.000,0.745,0.745
TCGA-AF-2692-01A,0.007,0.000,0.008,0.008,0.006,0.000,0.021,0.024,0.059,0.015,0.015,0.000,0.000,0.005,0.000,0.832,0.832
TCGA-DC-6683-01A,0.000,0.000,0.005,0.005,0.001,0.000,0.001,0.019,0.059,0.008,0.044,0.000,0.000,0.002,0.000,0.856,0.856
TCGA-DC-6682-01A,0.000,0.000,0.005,0.014,0.000,0.000,0.011,0.017,0.014,0.008,0.011,0.000,0.000,0.001,0.000,0.918,0.918
TCGA-F5-6702-01A,0.006,0.000,0.020,0.004,0.005,0.001,0.010,0.045,0.353,0.018,0.081,0.001,0.000,0.004,0.000,0.451,0.451
TCGA-AF-4110-01A,0.052,0.000,0.017,0.012,0.002,0.000,0.032,0.052,0.109,0.019,0.049,0.000,0.000,0.004,0.000,0.650,0.650
TCGA-F5-6861-01A,0.000,0.000,0.012,0.014,0.000,0.000,0.004,0.025,0.037,0.019,0.026,0.000,0.000,0.001,0.000,0.861,0.861
TCGA-G5-6235-01A,0.002,0.000,0.002,0.008,0.000,0.000,0.001,0.013,0.002,0.005,0.002,0.000,0.000,0.002,0.000,0.961,0.961
TCGA-AG-3999-01A,0.000,0.000,0.006,0.002,0.001,0.000,0.010,0.020,0.063,0.018,0.019,0.000,0.000,0.002,0.000,0.860,0.860
TCGA-AG-A02N-01A,0.005,0.000,0.006,0.009,0.016,0.000,0.007,0.012,0.008,0.001,0.027,0.000,0.000,0.002,0.000,0.907,0.907
TCGA-AF-6136-01A,0.006,0.000,0.013,0.002,0.004,0.000,0.020,0.041,0.023,0.012,0.014,0.000,0.000,0.003,0.000,0.861,0.861
TCGA-AG-3580-01A,0.013,0.000,0.016,0.020,0.000,0.000,0.019,0.022,0.011,0.012,0.018,0.000,0.000,0.003,0.000,0.864,0.864
TCGA-DY-A1H8-01A,0.000,0.000,0.000,0.005,0.000,0.001,0.001,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.986,0.986
TCGA-AG-A032-01A,0.004,0.000,0.006,0.005,0.000,0.002,0.018,0.024,0.031,0.010,0.008,0.000,0.000,0.001,0.000,0.889,0.889
TCGA-EI-6512-01A,0.000,0.000,0.017,0.006,0.001,0.000,0.009,0.027,0.016,0.004,0.036,0.000,0.000,0.005,0.000,0.878,0.878
TCGA-AG-3575-01A,0.004,0.000,0.010,0.006,0.001,0.000,0.010,0.021,0.097,0.014,0.041,0.000,0.000,0.001,0.001,0.794,0.794
TCGA-AF-6672-01A,0.004,0.005,0.003,0.005,0.000,0.009,0.015,0.022,0.030,0.010,0.012,0.001,0.000,0.004,0.000,0.880,0.880
TCGA-EI-6514-01A,0.000,0.000,0.001,0.003,0.000,0.000,0.004,0.026,0.074,0.021,0.029,0.000,0.000,0.001,0.000,0.840,0.840
TCGA-AH-6644-01A,0.000,0.000,0.013,0.009,0.003,0.000,0.011,0.047,0.132,0.013,0.033,0.000,0.000,0.005,0.000,0.733,0.733
TCGA-AF-6655-01A,0.002,0.000,0.010,0.013,0.001,0.001,0.003,0.049,0.131,0.021,0.024,0.000,0.000,0.005,0.000,0.740,0.740
TCGA-AF-A56K-01A,0.006,0.000,0.013,0.013,0.001,0.000,0.012,0.076,0.113,0.029,0.030,0.000,0.000,0.004,0.000,0.702,0.702
TCGA-G5-6641-01A,0.004,0.000,0.001,0.000,0.003,0.000,0.000,0.007,0.002,0.006,0.001,0.000,0.000,0.002,0.000,0.975,0.975
TCGA-DY-A1DG-01A,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.011,0.000,0.008,0.008,0.000,0.000,0.000,0.000,0.966,0.966
TCGA-AG-4001-01A,0.006,0.001,0.020,0.011,0.005,0.000,0.019,0.049,0.147,0.021,0.082,0.000,0.000,0.004,0.000,0.637,0.637
TCGA-AG-A026-01A,0.000,0.000,0.000,0.005,0.000,0.000,0.001,0.024,0.038,0.040,0.009,0.000,0.000,0.002,0.000,0.879,0.879
TCGA-EI-7004-01A,0.000,0.001,0.019,0.004,0.003,0.001,0.011,0.158,0.329,0.041,0.100,0.001,0.000,0.009,0.001,0.321,0.321
TCGA-AG-3878-01A,0.014,0.001,0.030,0.014,0.002,0.000,0.041,0.028,0.152,0.016,0.059,0.000,0.001,0.004,0.000,0.638,0.638
TCGA-AG-3611-01A,0.015,0.000,0.006,0.002,0.002,0.001,0.007,0.011,0.019,0.003,0.033,0.000,0.000,0.000,0.000,0.900,0.900
TCGA-AF-3400-01A,0.011,0.000,0.015,0.007,0.003,0.000,0.004,0.065,0.179,0.020,0.133,0.000,0.001,0.019,0.070,0.473,0.473
TCGA-G5-6572-01A,0.000,0.000,0.000,0.002,0.000,0.006,0.006,0.038,0.172,0.010,0.019,0.000,0.000,0.002,0.000,0.744,0.744
TCGA-AG-3574-01A,0.011,0.000,0.005,0.003,0.001,0.000,0.015,0.020,0.026,0.019,0.024,0.000,0.000,0.000,0.000,0.875,0.875
TCGA-AG-3605-01A,0.009,0.000,0.007,0.007,0.000,0.006,0.015,0.015,0.007,0.010,0.015,0.000,0.000,0.001,0.001,0.908,0.908
TCGA-AG-3731-01A,0.017,0.009,0.025,0.024,0.008,0.000,0.023,0.094,0.140,0.034,0.067,0.000,0.001,0.011,0.003,0.544,0.544
TCGA-AG-A01J-01A,0.006,0.000,0.005,0.007,0.001,0.000,0.004,0.014,0.011,0.008,0.012,0.000,0.000,0.001,0.000,0.929,0.929
TCGA-AG-A01N-01A,0.000,0.000,0.001,0.008,0.000,0.000,0.011,0.021,0.026,0.015,0.010,0.000,0.000,0.002,0.000,0.906,0.906
TCGA-DT-5265-01A,0.000,0.000,0.007,0.003,0.003,0.000,0.002,0.023,0.150,0.028,0.082,0.000,0.000,0.002,0.000,0.701,0.701
