,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-OR-A5LO-01A,0.000,0.000,0.000,0.000,0.002,0.000,0.907,0.000,0.039,0.003,0.047,0.000,0.000,0.000,0.001,0.000
TCGA-P6-A5OG-01A,0.002,0.000,0.003,0.016,0.000,0.000,0.307,0.000,0.229,0.045,0.224,0.161,0.000,0.000,0.011,0.001
TCGA-OR-A5J6-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.080,0.000,0.321,0.000,0.070,0.508,0.020,0.000,0.000,0.000
TCGA-OR-A5LT-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.951,0.000,0.014,0.000,0.013,0.020,0.000,0.000,0.000,0.000
TCGA-OR-A5JY-01A,0.000,0.000,0.001,0.006,0.000,0.000,0.849,0.000,0.049,0.004,0.019,0.068,0.003,0.000,0.001,0.000
TCGA-OR-A5JV-01A,0.000,0.000,0.005,0.000,0.002,0.000,0.533,0.000,0.060,0.000,0.044,0.353,0.002,0.000,0.001,0.000
TCGA-OR-A5JT-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.807,0.000,0.086,0.000,0.063,0.040,0.001,0.000,0.001,0.000
TCGA-OR-A5KX-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.849,0.000,0.069,0.002,0.030,0.042,0.007,0.000,0.000,0.000
TCGA-OR-A5K3-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.808,0.000,0.057,0.000,0.023,0.108,0.001,0.000,0.001,0.000
TCGA-OR-A5JZ-01A,0.000,0.000,0.009,0.000,0.000,0.000,0.721,0.000,0.145,0.000,0.045,0.069,0.011,0.000,0.000,0.000
TCGA-OR-A5LC-01A,0.002,0.000,0.000,0.009,0.000,0.000,0.203,0.000,0.295,0.126,0.261,0.095,0.005,0.001,0.001,0.001
TCGA-OR-A5LH-01A,0.000,0.000,0.001,0.000,0.004,0.000,0.779,0.000,0.070,0.000,0.024,0.118,0.003,0.000,0.001,0.000
TCGA-OR-A5LM-01A,0.000,0.000,0.003,0.000,0.004,0.000,0.875,0.000,0.055,0.000,0.028,0.031,0.003,0.000,0.001,0.000
TCGA-OR-A5J5-01A,0.000,0.000,0.000,0.006,0.001,0.000,0.932,0.000,0.021,0.000,0.028,0.008,0.002,0.000,0.000,0.000
TCGA-P6-A5OF-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.816,0.000,0.064,0.051,0.027,0.040,0.001,0.000,0.001,0.000
TCGA-OR-A5LD-01A,0.011,0.006,0.000,0.054,0.001,0.000,0.417,0.000,0.277,0.005,0.148,0.062,0.008,0.005,0.005,0.001
TCGA-OR-A5L3-01A,0.000,0.003,0.002,0.000,0.000,0.000,0.216,0.000,0.204,0.004,0.263,0.290,0.004,0.000,0.012,0.000
TCGA-OR-A5LK-01A,0.000,0.000,0.000,0.000,0.006,0.000,0.594,0.020,0.102,0.000,0.035,0.228,0.014,0.000,0.001,0.000
TCGA-OR-A5LG-01A,0.001,0.000,0.000,0.001,0.000,0.000,0.358,0.000,0.133,0.118,0.032,0.352,0.001,0.001,0.002,0.000
TCGA-OR-A5KO-01A,0.000,0.000,0.000,0.005,0.000,0.000,0.908,0.000,0.051,0.001,0.022,0.011,0.001,0.000,0.000,0.000
TCGA-OR-A5JJ-01A,0.004,0.000,0.000,0.007,0.001,0.000,0.908,0.000,0.032,0.002,0.024,0.019,0.002,0.000,0.000,0.000
TCGA-OR-A5JL-01A,0.000,0.000,0.003,0.000,0.001,0.000,0.766,0.000,0.105,0.000,0.034,0.088,0.003,0.000,0.001,0.000
TCGA-OR-A5KV-01A,0.000,0.000,0.000,0.000,0.002,0.000,0.927,0.000,0.031,0.001,0.021,0.013,0.003,0.000,0.000,0.000
TCGA-OR-A5JE-01A,0.000,0.000,0.001,0.002,0.000,0.001,0.074,0.000,0.361,0.034,0.056,0.460,0.006,0.000,0.004,0.000
TCGA-PK-A5HB-01A,0.000,0.000,0.000,0.002,0.000,0.000,0.762,0.000,0.115,0.000,0.106,0.013,0.001,0.000,0.000,0.000
TCGA-OR-A5JM-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.957,0.000,0.024,0.004,0.004,0.004,0.003,0.000,0.000,0.000
TCGA-OR-A5JD-01A,0.000,0.000,0.001,0.000,0.003,0.000,0.670,0.001,0.095,0.000,0.055,0.173,0.001,0.000,0.002,0.000
TCGA-OR-A5LN-01A,0.000,0.001,0.001,0.000,0.004,0.000,0.036,0.000,0.459,0.000,0.048,0.441,0.005,0.000,0.006,0.000
TCGA-OR-A5K6-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.824,0.000,0.057,0.000,0.027,0.088,0.001,0.000,0.001,0.000
TCGA-OR-A5JR-01A,0.000,0.000,0.001,0.001,0.001,0.000,0.804,0.001,0.064,0.000,0.049,0.077,0.001,0.000,0.001,0.000
TCGA-OR-A5L6-01A,0.004,0.001,0.001,0.017,0.000,0.000,0.080,0.000,0.326,0.001,0.264,0.273,0.026,0.001,0.005,0.001
TCGA-OR-A5JI-01A,0.000,0.000,0.000,0.000,0.003,0.000,0.669,0.001,0.112,0.053,0.114,0.047,0.001,0.000,0.001,0.000
TCGA-OR-A5J2-01A,0.007,0.000,0.001,0.000,0.000,0.000,0.738,0.000,0.145,0.002,0.065,0.040,0.001,0.000,0.000,0.000
TCGA-OR-A5LL-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.857,0.000,0.058,0.004,0.016,0.061,0.002,0.000,0.000,0.000
TCGA-OR-A5K1-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.622,0.000,0.180,0.000,0.135,0.051,0.009,0.000,0.001,0.000
TCGA-PK-A5HA-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.522,0.000,0.148,0.000,0.067,0.258,0.001,0.000,0.000,0.000
TCGA-OR-A5LR-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.764,0.001,0.073,0.008,0.084,0.061,0.007,0.000,0.001,0.000
TCGA-OR-A5JX-01A,0.000,0.000,0.001,0.000,0.001,0.000,0.464,0.016,0.224,0.001,0.240,0.050,0.002,0.000,0.001,0.000
TCGA-OU-A5PI-01A,0.000,0.000,0.000,0.007,0.002,0.000,0.859,0.000,0.043,0.045,0.012,0.029,0.001,0.000,0.001,0.000
TCGA-OR-A5JA-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.874,0.000,0.034,0.003,0.044,0.036,0.006,0.000,0.001,0.000
TCGA-OR-A5KY-01A,0.000,0.000,0.000,0.009,0.000,0.000,0.792,0.000,0.062,0.015,0.008,0.110,0.002,0.000,0.000,0.000
TCGA-OR-A5L9-01A,0.000,0.004,0.000,0.000,0.000,0.001,0.001,0.001,0.082,0.005,0.246,0.639,0.015,0.000,0.005,0.000
