,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-C5-A7UI-01A,0.061,0.000,0.013,0.050,0.000,0.000,0.794,0.016,0.023,0.010,0.003,0.021,0.000,0.005,0.004,0.001
TCGA-C5-A902-01A,0.000,0.000,0.000,0.135,0.000,0.000,0.798,0.010,0.035,0.002,0.000,0.008,0.000,0.010,0.000,0.000
TCGA-DS-A1OB-01A,0.002,0.000,0.002,0.006,0.000,0.000,0.919,0.000,0.018,0.001,0.001,0.050,0.000,0.000,0.000,0.000
TCGA-Q1-A6DW-01A,0.001,0.000,0.000,0.049,0.000,0.000,0.859,0.016,0.056,0.010,0.001,0.006,0.001,0.000,0.000,0.000
TCGA-EK-A2R7-01A,0.035,0.000,0.007,0.033,0.000,0.000,0.826,0.022,0.023,0.036,0.000,0.015,0.003,0.000,0.000,0.000
TCGA-C5-A7X8-01A,0.049,0.000,0.005,0.015,0.000,0.000,0.657,0.011,0.047,0.195,0.003,0.016,0.002,0.000,0.000,0.000
TCGA-Q1-A5R3-01A,0.002,0.000,0.002,0.020,0.001,0.000,0.938,0.008,0.013,0.002,0.000,0.007,0.003,0.000,0.002,0.000
TCGA-C5-A7X5-01A,0.000,0.000,0.000,0.007,0.000,0.000,0.955,0.000,0.026,0.002,0.000,0.008,0.000,0.000,0.000,0.000
TCGA-ZJ-A8QR-01A,0.006,0.000,0.001,0.016,0.000,0.000,0.885,0.007,0.043,0.021,0.001,0.007,0.001,0.001,0.009,0.000
TCGA-HM-A3JK-01A,0.010,0.000,0.006,0.011,0.001,0.000,0.578,0.045,0.063,0.243,0.011,0.028,0.003,0.001,0.000,0.000
TCGA-EA-A556-01A,0.000,0.000,0.002,0.008,0.004,0.000,0.821,0.000,0.021,0.115,0.016,0.011,0.000,0.000,0.001,0.000
TCGA-VS-A9V4-01A,0.003,0.000,0.001,0.005,0.000,0.001,0.956,0.004,0.008,0.004,0.011,0.002,0.000,0.000,0.003,0.000
TCGA-IR-A3L7-01A,0.000,0.000,0.000,0.015,0.000,0.000,0.921,0.007,0.012,0.040,0.001,0.004,0.000,0.000,0.000,0.000
TCGA-EK-A2RL-01A,0.001,0.000,0.000,0.027,0.000,0.000,0.933,0.002,0.016,0.021,0.000,0.000,0.000,0.000,0.001,0.000
TCGA-VS-A94X-01A,0.002,0.000,0.002,0.029,0.000,0.000,0.936,0.002,0.012,0.002,0.001,0.011,0.002,0.000,0.001,0.000
TCGA-VS-A9V3-01A,0.007,0.003,0.009,0.040,0.000,0.000,0.831,0.012,0.043,0.009,0.004,0.036,0.005,0.001,0.001,0.000
TCGA-EK-A2RO-01A,0.000,0.000,0.000,0.019,0.000,0.000,0.820,0.005,0.030,0.111,0.002,0.009,0.000,0.001,0.002,0.000
TCGA-JW-A5VJ-01A,0.005,0.000,0.001,0.033,0.000,0.000,0.900,0.009,0.025,0.001,0.002,0.021,0.002,0.000,0.000,0.001
TCGA-MA-AA42-01A,0.019,0.002,0.034,0.048,0.062,0.000,0.608,0.048,0.015,0.002,0.000,0.155,0.002,0.003,0.002,0.001
TCGA-C5-A1MK-01A,0.000,0.000,0.010,0.018,0.000,0.000,0.788,0.007,0.039,0.101,0.002,0.031,0.002,0.000,0.001,0.001
TCGA-UC-A7PG-01A,0.000,0.000,0.003,0.021,0.001,0.000,0.909,0.011,0.025,0.019,0.002,0.005,0.002,0.000,0.001,0.001
TCGA-VS-A9UH-01A,0.033,0.000,0.010,0.069,0.012,0.000,0.579,0.012,0.049,0.069,0.000,0.162,0.001,0.000,0.003,0.000
TCGA-4J-AA1J-01A,0.000,0.000,0.004,0.007,0.000,0.000,0.815,0.009,0.048,0.080,0.019,0.012,0.002,0.000,0.003,0.001
TCGA-C5-A1ME-01A,0.011,0.000,0.002,0.010,0.008,0.000,0.902,0.013,0.019,0.016,0.001,0.012,0.005,0.000,0.001,0.000
TCGA-C5-A8YR-01A,0.000,0.000,0.001,0.053,0.000,0.000,0.786,0.000,0.036,0.011,0.001,0.112,0.000,0.000,0.000,0.000
TCGA-EA-A5FO-01A,0.000,0.000,0.000,0.018,0.000,0.000,0.969,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TCGA-MA-AA3Z-01A,0.001,0.000,0.002,0.079,0.000,0.000,0.834,0.039,0.028,0.000,0.000,0.014,0.002,0.000,0.001,0.000
TCGA-C5-A8XJ-01A,0.009,0.000,0.008,0.033,0.004,0.000,0.752,0.010,0.055,0.086,0.015,0.025,0.002,0.000,0.000,0.000
TCGA-R2-A69V-01A,0.008,0.006,0.015,0.062,0.023,0.000,0.581,0.069,0.027,0.024,0.000,0.177,0.003,0.001,0.002,0.001
TCGA-C5-A1BM-01A,0.008,0.000,0.005,0.039,0.000,0.000,0.766,0.042,0.030,0.001,0.000,0.107,0.000,0.001,0.001,0.000
TCGA-ZJ-AAXD-01A,0.002,0.000,0.000,0.022,0.000,0.000,0.849,0.009,0.032,0.069,0.011,0.001,0.001,0.000,0.001,0.000
TCGA-HM-A4S6-01A,0.000,0.000,0.013,0.069,0.000,0.000,0.715,0.051,0.040,0.041,0.006,0.060,0.000,0.000,0.001,0.000
TCGA-EA-A5ZF-01A,0.004,0.000,0.000,0.007,0.000,0.000,0.843,0.000,0.026,0.087,0.007,0.024,0.001,0.000,0.001,0.000
TCGA-C5-A1M6-01A,0.001,0.000,0.000,0.022,0.000,0.000,0.915,0.005,0.011,0.042,0.001,0.002,0.000,0.000,0.000,0.000
TCGA-DG-A2KK-01A,0.002,0.000,0.000,0.031,0.000,0.000,0.891,0.022,0.015,0.015,0.000,0.020,0.001,0.000,0.002,0.000
TCGA-HG-A2PA-01A,0.020,0.000,0.002,0.030,0.000,0.000,0.830,0.008,0.032,0.044,0.001,0.025,0.005,0.001,0.001,0.000
TCGA-VS-A8EH-01A,0.000,0.000,0.003,0.011,0.000,0.000,0.932,0.011,0.024,0.000,0.000,0.015,0.001,0.000,0.001,0.000
TCGA-FU-A5XV-01A,0.005,0.000,0.002,0.015,0.000,0.000,0.900,0.010,0.033,0.021,0.001,0.007,0.005,0.000,0.001,0.001
TCGA-C5-A1MF-01A,0.005,0.000,0.000,0.015,0.000,0.000,0.933,0.000,0.009,0.020,0.001,0.015,0.001,0.000,0.001,0.000
TCGA-EX-A449-01A,0.076,0.000,0.000,0.016,0.000,0.000,0.876,0.004,0.011,0.005,0.002,0.008,0.000,0.000,0.000,0.000
TCGA-C5-A2LX-01A,0.023,0.001,0.040,0.040,0.056,0.000,0.680,0.070,0.013,0.043,0.000,0.031,0.001,0.001,0.001,0.000
TCGA-HM-A3JJ-01A,0.008,0.000,0.007,0.023,0.000,0.000,0.697,0.045,0.052,0.135,0.003,0.025,0.003,0.001,0.001,0.000
TCGA-LP-A4AW-01A,0.005,0.000,0.007,0.005,0.001,0.000,0.630,0.013,0.108,0.136,0.073,0.018,0.002,0.000,0.001,0.000
TCGA-C5-A8XH-01A,0.000,0.000,0.012,0.045,0.000,0.000,0.840,0.018,0.031,0.015,0.000,0.037,0.000,0.000,0.000,0.000
TCGA-EK-A2RE-01A,0.000,0.000,0.004,0.003,0.000,0.000,0.931,0.005,0.027,0.010,0.008,0.000,0.003,0.000,0.000,0.007
TCGA-EK-A2RC-01A,0.008,0.000,0.003,0.062,0.000,0.000,0.748,0.022,0.038,0.081,0.000,0.031,0.001,0.004,0.001,0.000
TCGA-EA-A3HU-01A,0.028,0.000,0.002,0.182,0.000,0.000,0.623,0.018,0.042,0.017,0.000,0.070,0.000,0.018,0.000,0.000
