,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-4T-AA8H-01A,0.008,0.000,0.001,0.001,0.000,0.000,0.973,0.011,0.002,0.000,0.003,0.000,0.000,0.000,0.000,0.000
TCGA-AA-A00Q-01A,0.004,0.000,0.004,0.008,0.000,0.000,0.903,0.015,0.022,0.022,0.003,0.018,0.000,0.000,0.000,0.000
TCGA-AZ-4614-01A,0.000,0.000,0.000,0.012,0.000,0.000,0.966,0.001,0.014,0.002,0.001,0.004,0.000,0.000,0.000,0.000
TCGA-A6-2675-01A,0.012,0.000,0.013,0.002,0.000,0.000,0.685,0.012,0.042,0.144,0.012,0.073,0.003,0.000,0.001,0.000
TCGA-AA-A00U-01A,0.000,0.000,0.004,0.008,0.000,0.000,0.933,0.011,0.017,0.011,0.009,0.006,0.000,0.000,0.000,0.000
TCGA-A6-6781-01A,0.010,0.000,0.004,0.016,0.009,0.000,0.540,0.000,0.052,0.254,0.015,0.097,0.000,0.001,0.002,0.000
TCGA-CM-6169-01A,0.015,0.000,0.027,0.009,0.000,0.001,0.573,0.033,0.087,0.148,0.022,0.083,0.002,0.000,0.000,0.000
TCGA-AA-3516-01A,0.012,0.000,0.004,0.020,0.004,0.000,0.875,0.017,0.026,0.014,0.002,0.024,0.001,0.000,0.001,0.000
TCGA-AA-3552-01A,0.039,0.000,0.013,0.004,0.003,0.002,0.785,0.034,0.032,0.020,0.017,0.046,0.003,0.000,0.001,0.000
TCGA-D5-6931-01A,0.032,0.000,0.016,0.012,0.001,0.001,0.784,0.016,0.021,0.071,0.000,0.040,0.007,0.000,0.000,0.000
TCGA-SS-A7HO-01A,0.000,0.000,0.000,0.005,0.000,0.000,0.927,0.001,0.031,0.014,0.015,0.006,0.000,0.000,0.001,0.000
TCGA-AZ-6605-01A,0.022,0.000,0.020,0.005,0.000,0.000,0.578,0.018,0.062,0.220,0.016,0.055,0.003,0.000,0.000,0.000
TCGA-CA-6717-01A,0.020,0.009,0.016,0.007,0.007,0.001,0.636,0.030,0.048,0.117,0.032,0.071,0.005,0.000,0.000,0.000
TCGA-NH-A8F7-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.962,0.007,0.012,0.000,0.008,0.007,0.000,0.000,0.000,0.000
TCGA-AD-6965-01A,0.002,0.000,0.004,0.014,0.000,0.000,0.868,0.001,0.037,0.042,0.011,0.019,0.002,0.000,0.000,0.000
TCGA-AA-A02H-01A,0.009,0.000,0.003,0.005,0.000,0.001,0.893,0.010,0.026,0.025,0.012,0.016,0.000,0.000,0.000,0.000
TCGA-AA-A022-01A,0.027,0.000,0.003,0.061,0.022,0.000,0.768,0.014,0.024,0.026,0.000,0.050,0.002,0.001,0.001,0.000
TCGA-AA-3680-01A,0.021,0.000,0.013,0.009,0.003,0.010,0.845,0.017,0.023,0.010,0.013,0.033,0.002,0.000,0.000,0.000
