,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-32-2616-01A,0.000,0.000,0.003,0.000,0.004,0.000,0.803,0.000,0.021,0.000,0.003,0.164,0.000,0.000,0.002,0.000
TCGA-32-1980-01A,0.000,0.000,0.001,0.000,0.015,0.007,0.568,0.001,0.079,0.005,0.047,0.272,0.002,0.001,0.003,0.000
TCGA-28-2514-01A,0.000,0.000,0.000,0.001,0.006,0.000,0.771,0.008,0.079,0.000,0.037,0.089,0.003,0.000,0.004,0.000
TCGA-06-0644-01A,0.000,0.000,0.011,0.000,0.000,0.000,0.561,0.000,0.049,0.201,0.000,0.174,0.003,0.000,0.001,0.000
TCGA-06-1804-01A,0.000,0.001,0.000,0.000,0.007,0.001,0.812,0.010,0.048,0.003,0.020,0.091,0.000,0.000,0.007,0.000
TCGA-41-2571-01A,0.000,0.000,0.000,0.000,0.002,0.000,0.858,0.000,0.022,0.000,0.020,0.093,0.001,0.002,0.002,0.000
TCGA-19-2619-01A,0.000,0.000,0.000,0.000,0.001,0.000,0.830,0.003,0.078,0.001,0.017,0.065,0.001,0.000,0.003,0.000
TCGA-27-1837-01A,0.000,0.000,0.000,0.002,0.000,0.001,0.763,0.012,0.055,0.003,0.005,0.154,0.002,0.001,0.001,0.000
TCGA-27-1832-01A,0.000,0.000,0.002,0.000,0.007,0.000,0.641,0.006,0.032,0.078,0.003,0.229,0.000,0.000,0.000,0.000
TCGA-06-0686-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.786,0.009,0.053,0.001,0.025,0.122,0.002,0.000,0.002,0.000
TCGA-06-5856-01A,0.000,0.000,0.000,0.001,0.001,0.001,0.769,0.000,0.059,0.004,0.012,0.151,0.000,0.000,0.002,0.000
TCGA-28-1753-01A,0.000,0.000,0.000,0.000,0.005,0.001,0.497,0.013,0.088,0.071,0.031,0.292,0.001,0.000,0.000,0.000
