,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-CV-5442-01A,0.000,0.000,0.000,0.013,0.000,0.000,0.961,0.012,0.005,0.000,0.000,0.000,0.001,0.000,0.000,0.007
TCGA-CR-7392-01A,0.050,0.004,0.032,0.008,0.020,0.000,0.516,0.031,0.094,0.136,0.033,0.060,0.007,0.000,0.003,0.005
TCGA-UF-A71A-01A,0.000,0.000,0.001,0.005,0.000,0.000,0.778,0.006,0.033,0.110,0.030,0.032,0.004,0.000,0.000,0.000
TCGA-CN-A642-01A,0.000,0.000,0.005,0.042,0.000,0.000,0.845,0.015,0.037,0.017,0.002,0.034,0.001,0.000,0.000,0.000
TCGA-CV-A45U-01A,0.004,0.000,0.016,0.023,0.005,0.000,0.889,0.010,0.016,0.026,0.001,0.008,0.002,0.000,0.001,0.000
TCGA-CN-6012-01A,0.036,0.000,0.011,0.009,0.008,0.000,0.781,0.022,0.044,0.038,0.001,0.045,0.002,0.000,0.001,0.001
TCGA-CV-A45W-01A,0.099,0.005,0.010,0.008,0.017,0.000,0.641,0.015,0.035,0.063,0.017,0.080,0.004,0.000,0.000,0.003
TCGA-CV-A6K0-01B,0.002,0.000,0.038,0.007,0.015,0.001,0.571,0.077,0.066,0.157,0.026,0.036,0.003,0.000,0.001,0.001
TCGA-QK-A6VB-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.930,0.004,0.024,0.017,0.011,0.012,0.000,0.000,0.000,0.000
TCGA-CV-6959-01A,0.009,0.000,0.011,0.007,0.000,0.000,0.732,0.020,0.102,0.030,0.043,0.041,0.002,0.000,0.002,0.002
TCGA-HD-7832-01A,0.000,0.000,0.002,0.051,0.000,0.000,0.870,0.000,0.035,0.011,0.000,0.029,0.001,0.001,0.000,0.000
TCGA-CV-7255-01A,0.000,0.000,0.007,0.002,0.000,0.000,0.925,0.005,0.027,0.012,0.016,0.001,0.002,0.000,0.000,0.000
TCGA-CR-5243-01A,0.027,0.000,0.022,0.035,0.027,0.000,0.660,0.033,0.056,0.123,0.002,0.012,0.001,0.001,0.001,0.000
TCGA-P3-A6T5-01A,0.001,0.000,0.008,0.013,0.000,0.000,0.889,0.014,0.034,0.022,0.002,0.013,0.001,0.000,0.004,0.000
TCGA-CV-6952-01A,0.006,0.000,0.012,0.022,0.004,0.000,0.844,0.016,0.051,0.007,0.020,0.013,0.003,0.000,0.003,0.000
TCGA-D6-A6ES-01A,0.000,0.000,0.004,0.004,0.000,0.000,0.936,0.009,0.023,0.000,0.001,0.014,0.003,0.000,0.005,0.001
TCGA-CN-5366-01A,0.000,0.000,0.002,0.030,0.009,0.000,0.809,0.004,0.069,0.021,0.015,0.034,0.002,0.000,0.004,0.000
TCGA-CQ-6223-01A,0.006,0.000,0.004,0.014,0.012,0.000,0.916,0.008,0.015,0.001,0.001,0.015,0.004,0.000,0.004,0.000
TCGA-F7-7848-01A,0.013,0.001,0.016,0.003,0.014,0.000,0.779,0.024,0.059,0.056,0.004,0.015,0.001,0.000,0.002,0.013
TCGA-CV-A6JM-01A,0.007,0.000,0.005,0.005,0.000,0.000,0.923,0.006,0.017,0.001,0.006,0.028,0.001,0.000,0.002,0.000
TCGA-CN-5359-01A,0.004,0.000,0.031,0.009,0.015,0.007,0.511,0.026,0.052,0.203,0.021,0.078,0.002,0.000,0.015,0.026
TCGA-P3-A5QA-01A,0.002,0.000,0.005,0.007,0.000,0.000,0.864,0.008,0.039,0.062,0.007,0.005,0.001,0.000,0.000,0.000
TCGA-CN-4734-01A,0.000,0.000,0.022,0.062,0.001,0.001,0.793,0.026,0.051,0.016,0.002,0.020,0.002,0.000,0.002,0.001
TCGA-CV-6441-01A,0.000,0.000,0.001,0.008,0.000,0.000,0.934,0.009,0.010,0.023,0.005,0.010,0.000,0.000,0.000,0.000
TCGA-CV-A6JY-01A,0.007,0.000,0.003,0.003,0.000,0.005,0.905,0.007,0.044,0.000,0.016,0.002,0.006,0.000,0.002,0.000
TCGA-D6-6825-01A,0.002,0.000,0.052,0.019,0.037,0.001,0.650,0.032,0.067,0.063,0.002,0.062,0.005,0.000,0.003,0.003
TCGA-CR-5247-01A,0.000,0.000,0.002,0.002,0.000,0.000,0.736,0.006,0.029,0.213,0.002,0.008,0.002,0.000,0.000,0.000
TCGA-CV-7410-01A,0.013,0.140,0.086,0.020,0.011,0.015,0.401,0.065,0.101,0.078,0.021,0.043,0.003,0.000,0.001,0.001
TCGA-CV-7091-01A,0.000,0.000,0.017,0.014,0.000,0.000,0.857,0.024,0.038,0.033,0.004,0.010,0.001,0.000,0.001,0.000
TCGA-BA-5153-01A,0.030,0.000,0.036,0.076,0.004,0.000,0.700,0.048,0.046,0.035,0.001,0.022,0.000,0.001,0.000,0.000
TCGA-CV-7428-01A,0.000,0.000,0.015,0.022,0.013,0.000,0.809,0.025,0.042,0.027,0.014,0.031,0.001,0.000,0.001,0.001
TCGA-CX-7086-01A,0.003,0.000,0.005,0.010,0.002,0.000,0.888,0.015,0.048,0.006,0.008,0.000,0.001,0.000,0.002,0.012
TCGA-CN-5364-01A,0.000,0.000,0.016,0.013,0.000,0.000,0.792,0.020,0.048,0.068,0.001,0.040,0.001,0.000,0.001,0.000
TCGA-BA-A6DB-01A,0.006,0.000,0.030,0.004,0.030,0.000,0.634,0.059,0.045,0.112,0.026,0.043,0.007,0.002,0.001,0.001
TCGA-CQ-5325-01A,0.059,0.000,0.030,0.029,0.027,0.000,0.537,0.047,0.059,0.080,0.031,0.085,0.009,0.000,0.002,0.004
TCGA-CN-4731-01A,0.000,0.000,0.007,0.007,0.000,0.000,0.792,0.030,0.024,0.129,0.001,0.006,0.002,0.000,0.000,0.000
TCGA-CV-7427-01A,0.000,0.000,0.037,0.049,0.015,0.000,0.735,0.048,0.064,0.005,0.000,0.042,0.002,0.000,0.002,0.000
TCGA-CR-6467-01A,0.028,0.041,0.023,0.045,0.022,0.000,0.700,0.060,0.030,0.031,0.001,0.018,0.001,0.000,0.000,0.000
TCGA-CV-7183-01A,0.000,0.000,0.001,0.004,0.000,0.000,0.927,0.006,0.046,0.005,0.004,0.000,0.004,0.000,0.001,0.002
TCGA-CV-A6JN-01A,0.000,0.000,0.007,0.012,0.000,0.000,0.916,0.019,0.030,0.000,0.001,0.006,0.002,0.000,0.005,0.001
TCGA-D6-A6EN-01A,0.000,0.000,0.007,0.043,0.012,0.000,0.826,0.018,0.032,0.002,0.000,0.053,0.001,0.000,0.004,0.001
TCGA-CQ-A4C7-01A,0.000,0.000,0.017,0.010,0.000,0.000,0.780,0.009,0.080,0.044,0.036,0.022,0.000,0.000,0.000,0.000
TCGA-CV-5435-01A,0.000,0.000,0.004,0.004,0.000,0.000,0.837,0.010,0.024,0.094,0.012,0.013,0.000,0.000,0.000,0.000
TCGA-CR-7370-01A,0.005,0.000,0.007,0.008,0.000,0.000,0.783,0.007,0.038,0.094,0.021,0.035,0.001,0.000,0.001,0.000
TCGA-CN-4722-01A,0.010,0.000,0.009,0.003,0.004,0.005,0.748,0.010,0.064,0.088,0.032,0.006,0.004,0.000,0.001,0.016
TCGA-F7-8489-01A,0.010,0.000,0.036,0.036,0.002,0.000,0.765,0.053,0.063,0.014,0.001,0.017,0.000,0.000,0.001,0.000
TCGA-CV-A6K2-01A,0.000,0.000,0.006,0.021,0.000,0.000,0.898,0.005,0.021,0.015,0.000,0.024,0.001,0.000,0.008,0.000
TCGA-HD-8634-01A,0.000,0.000,0.012,0.006,0.000,0.000,0.911,0.015,0.038,0.000,0.010,0.000,0.002,0.000,0.001,0.004
TCGA-CN-6994-01A,0.000,0.000,0.014,0.011,0.000,0.000,0.759,0.016,0.034,0.114,0.001,0.047,0.004,0.000,0.001,0.000
TCGA-D6-A4Z9-01A,0.001,0.000,0.006,0.021,0.000,0.000,0.867,0.010,0.050,0.025,0.004,0.010,0.002,0.000,0.002,0.003
TCGA-CR-7376-01A,0.012,0.000,0.043,0.016,0.025,0.000,0.241,0.041,0.097,0.341,0.019,0.153,0.006,0.000,0.002,0.004
TCGA-CR-7391-01A,0.010,0.000,0.041,0.003,0.014,0.001,0.638,0.044,0.091,0.067,0.037,0.038,0.006,0.000,0.001,0.008
TCGA-T2-A6X2-01A,0.000,0.000,0.005,0.054,0.000,0.000,0.839,0.011,0.048,0.017,0.000,0.024,0.001,0.000,0.001,0.000
TCGA-BA-4074-01A,0.001,0.000,0.002,0.002,0.000,0.000,0.820,0.007,0.031,0.116,0.003,0.009,0.005,0.000,0.003,0.000
TCGA-CN-6022-01A,0.001,0.000,0.026,0.003,0.001,0.000,0.575,0.031,0.053,0.201,0.028,0.080,0.001,0.000,0.000,0.000
TCGA-CN-A6V3-01A,0.014,0.000,0.009,0.037,0.000,0.000,0.856,0.016,0.045,0.006,0.001,0.013,0.001,0.000,0.001,0.000
TCGA-QK-A8Z7-01A,0.004,0.004,0.005,0.002,0.001,0.000,0.874,0.006,0.024,0.057,0.006,0.013,0.002,0.000,0.000,0.000
TCGA-CN-A497-01A,0.011,0.000,0.012,0.013,0.004,0.001,0.851,0.025,0.038,0.021,0.006,0.012,0.003,0.000,0.002,0.000
TCGA-F7-A50G-01A,0.001,0.000,0.013,0.020,0.010,0.000,0.823,0.033,0.059,0.008,0.004,0.020,0.005,0.000,0.003,0.000
TCGA-IQ-A61I-01A,0.013,0.001,0.011,0.024,0.000,0.000,0.870,0.021,0.016,0.007,0.000,0.019,0.000,0.005,0.010,0.001
TCGA-CR-7373-01A,0.007,0.000,0.033,0.048,0.003,0.000,0.774,0.017,0.068,0.006,0.001,0.040,0.001,0.000,0.002,0.000
TCGA-CN-A63T-01A,0.008,0.000,0.016,0.011,0.001,0.000,0.832,0.016,0.029,0.024,0.011,0.036,0.002,0.000,0.001,0.014
TCGA-CN-6019-01A,0.007,0.000,0.016,0.000,0.008,0.000,0.335,0.026,0.052,0.374,0.015,0.163,0.002,0.000,0.000,0.000
TCGA-CR-7386-01A,0.001,0.000,0.026,0.005,0.013,0.000,0.410,0.042,0.063,0.335,0.006,0.092,0.003,0.000,0.001,0.001
TCGA-HD-A6HZ-01A,0.026,0.000,0.029,0.011,0.007,0.000,0.692,0.032,0.055,0.054,0.021,0.049,0.005,0.000,0.003,0.016
TCGA-QK-A6IH-01A,0.000,0.000,0.001,0.008,0.000,0.000,0.927,0.003,0.027,0.017,0.002,0.014,0.000,0.000,0.002,0.000
TCGA-CN-6011-01A,0.000,0.000,0.000,0.041,0.000,0.000,0.897,0.002,0.035,0.006,0.003,0.013,0.001,0.000,0.001,0.000
TCGA-CR-6474-01A,0.008,0.000,0.021,0.003,0.000,0.000,0.604,0.028,0.076,0.178,0.025,0.038,0.003,0.000,0.013,0.001
TCGA-CV-6939-01A,0.014,0.005,0.012,0.022,0.024,0.000,0.676,0.048,0.078,0.089,0.001,0.028,0.002,0.000,0.001,0.000
TCGA-D6-8568-01A,0.010,0.000,0.006,0.005,0.005,0.000,0.709,0.011,0.085,0.071,0.043,0.019,0.002,0.000,0.012,0.021
TCGA-HD-A634-01A,0.002,0.002,0.001,0.000,0.001,0.000,0.960,0.000,0.020,0.002,0.010,0.001,0.000,0.000,0.000,0.001
TCGA-CV-A45O-01A,0.000,0.000,0.005,0.012,0.002,0.000,0.926,0.008,0.026,0.000,0.002,0.011,0.003,0.000,0.003,0.002
TCGA-T3-A92N-01A,0.000,0.000,0.001,0.026,0.000,0.000,0.912,0.007,0.019,0.009,0.001,0.024,0.000,0.000,0.001,0.000
TCGA-CV-7438-01A,0.012,0.000,0.024,0.001,0.000,0.000,0.775,0.031,0.037,0.047,0.041,0.029,0.000,0.000,0.000,0.001
TCGA-CV-A6K1-01A,0.001,0.000,0.000,0.011,0.000,0.000,0.918,0.000,0.039,0.008,0.007,0.010,0.001,0.000,0.002,0.001
TCGA-CN-5363-01A,0.004,0.000,0.007,0.039,0.000,0.000,0.730,0.017,0.076,0.058,0.023,0.044,0.000,0.000,0.000,0.000
TCGA-CV-6956-01A,0.000,0.000,0.000,0.006,0.000,0.000,0.903,0.002,0.033,0.013,0.037,0.003,0.001,0.000,0.000,0.000
