,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-KL-8325-01A,0.000,0.005,0.001,0.000,0.000,0.000,0.848,0.000,0.052,0.000,0.019,0.071,0.002,0.000,0.001,0.000
TCGA-KO-8411-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.834,0.000,0.097,0.000,0.026,0.040,0.002,0.001,0.000,0.000
TCGA-KL-8331-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.925,0.000,0.027,0.000,0.020,0.025,0.001,0.000,0.000,0.000
TCGA-KO-8409-01A,0.001,0.000,0.000,0.001,0.000,0.000,0.794,0.000,0.080,0.000,0.045,0.072,0.001,0.004,0.001,0.000
TCGA-KM-8439-01A,0.001,0.000,0.001,0.002,0.000,0.000,0.753,0.000,0.096,0.000,0.028,0.113,0.002,0.002,0.002,0.000
TCGA-KN-8423-01A,0.000,0.005,0.001,0.000,0.000,0.000,0.778,0.000,0.082,0.000,0.056,0.076,0.000,0.000,0.000,0.000
TCGA-KL-8339-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.876,0.000,0.047,0.000,0.032,0.043,0.000,0.000,0.001,0.000
TCGA-KN-8434-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.660,0.000,0.118,0.000,0.079,0.134,0.007,0.000,0.001,0.000
TCGA-KL-8342-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.699,0.000,0.142,0.000,0.050,0.101,0.000,0.006,0.000,0.000
TCGA-KN-8428-01A,0.011,0.000,0.002,0.007,0.000,0.000,0.885,0.000,0.020,0.001,0.042,0.030,0.001,0.001,0.000,0.000
TCGA-KO-8416-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.755,0.000,0.088,0.000,0.064,0.090,0.001,0.000,0.000,0.000
TCGA-KL-8344-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.390,0.000,0.300,0.000,0.195,0.107,0.005,0.000,0.000,0.000
TCGA-KM-8441-01A,0.000,0.000,0.002,0.001,0.000,0.000,0.697,0.000,0.107,0.000,0.052,0.140,0.000,0.000,0.000,0.000
TCGA-KM-8442-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.863,0.000,0.046,0.000,0.034,0.054,0.001,0.000,0.000,0.000
TCGA-KL-8346-01A,0.000,0.001,0.002,0.000,0.000,0.000,0.909,0.000,0.042,0.000,0.030,0.011,0.003,0.000,0.001,0.000
TCGA-KL-8341-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.921,0.000,0.028,0.000,0.021,0.028,0.000,0.000,0.000,0.000
TCGA-KL-8330-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.888,0.000,0.039,0.000,0.032,0.040,0.000,0.000,0.001,0.000
TCGA-KN-8431-01A,0.001,0.000,0.000,0.002,0.000,0.000,0.749,0.000,0.113,0.000,0.061,0.071,0.000,0.001,0.001,0.000
TCGA-KO-8403-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.656,0.000,0.134,0.000,0.045,0.161,0.001,0.001,0.000,0.000
TCGA-KO-8405-01A,0.000,0.000,0.001,0.001,0.000,0.000,0.500,0.001,0.059,0.001,0.055,0.378,0.001,0.002,0.000,0.000
TCGA-KN-8435-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.867,0.000,0.057,0.000,0.037,0.038,0.000,0.000,0.000,0.000
TCGA-KN-8419-01A,0.000,0.000,0.005,0.000,0.000,0.000,0.683,0.001,0.128,0.000,0.054,0.128,0.000,0.000,0.001,0.000
TCGA-KL-8337-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.854,0.000,0.073,0.000,0.037,0.035,0.001,0.000,0.001,0.000
TCGA-KL-8332-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.450,0.000,0.302,0.000,0.106,0.139,0.000,0.000,0.000,0.000
TCGA-KO-8413-01A,0.001,0.000,0.002,0.000,0.000,0.000,0.609,0.000,0.124,0.000,0.089,0.164,0.004,0.004,0.002,0.000
TCGA-KM-8443-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.923,0.000,0.040,0.000,0.014,0.018,0.004,0.000,0.000,0.000
TCGA-KL-8333-01A,0.022,0.020,0.006,0.001,0.000,0.000,0.443,0.000,0.231,0.019,0.128,0.127,0.002,0.000,0.001,0.000
TCGA-KL-8334-01A,0.000,0.001,0.001,0.000,0.000,0.000,0.798,0.000,0.055,0.000,0.044,0.093,0.004,0.002,0.001,0.000
TCGA-KN-8427-01A,0.001,0.000,0.004,0.016,0.000,0.000,0.652,0.000,0.083,0.178,0.002,0.059,0.001,0.000,0.003,0.001
TCGA-KL-8338-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.872,0.000,0.040,0.000,0.036,0.048,0.004,0.000,0.001,0.000
TCGA-KN-8432-01A,0.000,0.000,0.001,0.001,0.000,0.000,0.769,0.000,0.101,0.000,0.047,0.067,0.002,0.010,0.001,0.000
TCGA-KO-8410-01A,0.000,0.006,0.002,0.000,0.000,0.000,0.743,0.000,0.100,0.000,0.048,0.101,0.000,0.000,0.000,0.000
TCGA-KN-8437-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.721,0.000,0.110,0.000,0.041,0.126,0.000,0.000,0.001,0.000
TCGA-KN-8430-01A,0.004,0.000,0.002,0.000,0.000,0.000,0.676,0.000,0.110,0.000,0.063,0.144,0.000,0.000,0.001,0.000
TCGA-KM-8477-01A,0.001,0.000,0.000,0.004,0.000,0.000,0.736,0.000,0.082,0.000,0.064,0.108,0.003,0.000,0.001,0.000
TCGA-KO-8414-01A,0.005,0.000,0.000,0.004,0.000,0.000,0.842,0.000,0.045,0.000,0.034,0.059,0.000,0.010,0.001,0.000
