,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-BQ-7044-01A,0.002,0.000,0.001,0.006,0.000,0.000,0.920,0.000,0.011,0.001,0.000,0.057,0.000,0.000,0.001,0.000
TCGA-SX-A7SR-01A,0.000,0.000,0.001,0.003,0.000,0.000,0.804,0.007,0.016,0.001,0.000,0.147,0.015,0.000,0.005,0.000
TCGA-MH-A854-01A,0.000,0.000,0.000,0.005,0.000,0.000,0.904,0.001,0.036,0.000,0.010,0.040,0.002,0.000,0.001,0.000
TCGA-B3-8121-01A,0.024,0.000,0.011,0.004,0.010,0.001,0.481,0.008,0.066,0.059,0.001,0.309,0.006,0.011,0.008,0.000
TCGA-2Z-A9JJ-01A,0.000,0.000,0.005,0.006,0.000,0.000,0.809,0.000,0.033,0.051,0.000,0.091,0.003,0.000,0.001,0.000
TCGA-B1-7332-01A,0.000,0.000,0.003,0.003,0.000,0.000,0.771,0.000,0.050,0.015,0.000,0.154,0.004,0.000,0.000,0.000
TCGA-WN-A9G9-01A,0.001,0.000,0.023,0.118,0.191,0.000,0.000,0.005,0.037,0.000,0.008,0.614,0.000,0.000,0.001,0.000
TCGA-A4-8310-01A,0.000,0.000,0.001,0.002,0.000,0.000,0.876,0.000,0.010,0.007,0.000,0.104,0.000,0.000,0.000,0.000
TCGA-2Z-A9JT-01A,0.000,0.001,0.000,0.003,0.001,0.001,0.736,0.000,0.022,0.001,0.003,0.227,0.003,0.001,0.001,0.000
TCGA-5P-A9K2-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.913,0.000,0.005,0.000,0.000,0.075,0.004,0.000,0.001,0.000
TCGA-4A-A93W-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.849,0.009,0.027,0.052,0.000,0.055,0.003,0.002,0.000,0.000
TCGA-DW-7837-01A,0.000,0.000,0.001,0.004,0.000,0.002,0.754,0.010,0.049,0.015,0.006,0.148,0.010,0.000,0.001,0.000
TCGA-A4-A5DU-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.907,0.000,0.005,0.002,0.001,0.081,0.000,0.001,0.000,0.000
TCGA-2Z-A9JI-01A,0.037,0.001,0.002,0.012,0.002,0.000,0.685,0.009,0.045,0.002,0.009,0.188,0.001,0.003,0.004,0.000
TCGA-BQ-7050-01A,0.000,0.001,0.001,0.003,0.000,0.000,0.835,0.000,0.030,0.000,0.012,0.116,0.000,0.000,0.001,0.000
TCGA-BQ-5894-01A,0.005,0.000,0.010,0.011,0.000,0.000,0.584,0.002,0.094,0.101,0.059,0.128,0.004,0.000,0.000,0.000
TCGA-BQ-5879-01A,0.011,0.000,0.005,0.000,0.000,0.000,0.690,0.000,0.118,0.051,0.029,0.076,0.015,0.000,0.001,0.000
TCGA-AL-3472-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.894,0.000,0.012,0.054,0.000,0.033,0.004,0.002,0.001,0.000
TCGA-MH-A560-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.869,0.000,0.033,0.000,0.009,0.088,0.000,0.000,0.001,0.000
TCGA-BQ-5891-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.901,0.000,0.025,0.003,0.000,0.068,0.001,0.000,0.000,0.000
TCGA-B9-A5W7-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.848,0.009,0.019,0.005,0.000,0.103,0.012,0.000,0.002,0.000
TCGA-UZ-A9PR-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.863,0.000,0.012,0.026,0.000,0.091,0.005,0.000,0.000,0.000
TCGA-B9-A69E-01A,0.001,0.000,0.006,0.002,0.009,0.000,0.410,0.000,0.101,0.010,0.061,0.396,0.000,0.001,0.001,0.000
TCGA-B3-4104-01A,0.001,0.000,0.001,0.003,0.000,0.004,0.884,0.000,0.048,0.005,0.041,0.007,0.003,0.000,0.002,0.000
TCGA-SX-A71R-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.930,0.001,0.017,0.002,0.001,0.041,0.004,0.002,0.001,0.000
TCGA-MH-A55Z-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.875,0.009,0.026,0.000,0.002,0.079,0.001,0.003,0.001,0.000
