,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-TQ-A7RO-01A,0.000,0.000,0.000,0.000,0.005,0.006,0.822,0.012,0.049,0.000,0.044,0.061,0.000,0.000,0.000,0.000
TCGA-CS-6670-01A,0.000,0.000,0.001,0.000,0.007,0.007,0.876,0.001,0.045,0.000,0.030,0.032,0.000,0.000,0.001,0.000
TCGA-QH-A6X5-01A,0.000,0.000,0.000,0.000,0.000,0.001,0.869,0.001,0.038,0.000,0.019,0.070,0.000,0.000,0.001,0.000
TCGA-HW-7493-01A,0.000,0.002,0.000,0.000,0.012,0.003,0.777,0.003,0.039,0.000,0.049,0.113,0.001,0.000,0.002,0.000
TCGA-CS-6667-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.802,0.000,0.088,0.000,0.036,0.072,0.000,0.000,0.002,0.000
TCGA-DU-6406-01A,0.000,0.000,0.000,0.000,0.000,0.001,0.796,0.018,0.088,0.002,0.001,0.094,0.000,0.000,0.000,0.000
TCGA-DU-A7TA-01A,0.000,0.000,0.001,0.001,0.000,0.000,0.761,0.021,0.032,0.000,0.002,0.180,0.000,0.001,0.000,0.000
TCGA-QH-A6X4-01A,0.000,0.000,0.000,0.000,0.000,0.002,0.911,0.009,0.025,0.000,0.006,0.046,0.000,0.000,0.000,0.000
TCGA-TQ-A7RR-01A,0.000,0.001,0.000,0.000,0.002,0.001,0.790,0.015,0.035,0.000,0.022,0.133,0.000,0.000,0.002,0.000
TCGA-HT-8104-01A,0.000,0.000,0.001,0.000,0.008,0.001,0.786,0.009,0.091,0.003,0.022,0.080,0.000,0.000,0.000,0.000
TCGA-HT-A74K-01A,0.000,0.000,0.001,0.000,0.000,0.001,0.827,0.000,0.052,0.000,0.024,0.092,0.001,0.000,0.001,0.000
TCGA-DB-A64X-01A,0.000,0.000,0.000,0.000,0.001,0.000,0.881,0.006,0.042,0.000,0.018,0.051,0.000,0.000,0.001,0.000
TCGA-HT-8107-01A,0.000,0.000,0.001,0.000,0.023,0.015,0.811,0.013,0.042,0.000,0.041,0.049,0.001,0.000,0.002,0.000
TCGA-FG-A710-01A,0.000,0.000,0.000,0.000,0.004,0.005,0.697,0.019,0.054,0.000,0.033,0.185,0.001,0.000,0.001,0.000
TCGA-QH-A6CX-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.811,0.000,0.022,0.002,0.002,0.162,0.000,0.000,0.001,0.000
TCGA-CS-6666-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.808,0.000,0.096,0.000,0.031,0.064,0.000,0.000,0.000,0.000
TCGA-TM-A7CA-01A,0.000,0.000,0.000,0.000,0.001,0.001,0.890,0.010,0.023,0.000,0.014,0.060,0.000,0.000,0.000,0.000
TCGA-HW-7486-01A,0.000,0.000,0.000,0.000,0.001,0.001,0.832,0.000,0.047,0.000,0.015,0.102,0.000,0.000,0.002,0.000
TCGA-QH-A6X8-01A,0.000,0.000,0.000,0.000,0.001,0.001,0.859,0.001,0.048,0.000,0.018,0.072,0.000,0.000,0.000,0.000
TCGA-DU-A76K-01A,0.000,0.000,0.000,0.000,0.007,0.004,0.901,0.001,0.029,0.000,0.039,0.016,0.001,0.000,0.001,0.000
TCGA-DB-A4XD-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.892,0.001,0.025,0.000,0.009,0.073,0.000,0.000,0.000,0.000
TCGA-DH-A669-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.891,0.000,0.024,0.000,0.002,0.077,0.001,0.000,0.000,0.000
TCGA-WY-A858-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.627,0.000,0.082,0.000,0.006,0.283,0.000,0.000,0.001,0.000
TCGA-DU-7294-01A,0.000,0.000,0.000,0.000,0.000,0.007,0.921,0.001,0.026,0.000,0.018,0.026,0.000,0.000,0.001,0.000
TCGA-TM-A7C3-01A,0.000,0.000,0.000,0.000,0.005,0.000,0.835,0.000,0.068,0.043,0.009,0.039,0.000,0.000,0.000,0.000
TCGA-WY-A85E-01A,0.000,0.002,0.000,0.000,0.005,0.003,0.901,0.008,0.027,0.000,0.017,0.037,0.000,0.000,0.000,0.000
TCGA-FG-A6J1-01A,0.000,0.000,0.001,0.000,0.004,0.004,0.843,0.000,0.047,0.000,0.030,0.065,0.001,0.002,0.002,0.002
TCGA-QH-A65Z-01A,0.000,0.000,0.000,0.000,0.003,0.004,0.893,0.003,0.039,0.000,0.015,0.043,0.000,0.000,0.000,0.000
TCGA-VM-A8CD-01A,0.000,0.000,0.001,0.000,0.001,0.000,0.786,0.001,0.042,0.000,0.014,0.152,0.000,0.000,0.001,0.000
TCGA-HT-8019-01A,0.000,0.000,0.001,0.000,0.017,0.018,0.846,0.009,0.023,0.000,0.054,0.029,0.001,0.000,0.001,0.000
TCGA-QH-A6CV-01A,0.000,0.000,0.000,0.000,0.002,0.000,0.761,0.009,0.048,0.003,0.001,0.174,0.000,0.000,0.001,0.000
TCGA-FG-A6IZ-01A,0.000,0.000,0.001,0.000,0.003,0.001,0.912,0.003,0.028,0.000,0.007,0.044,0.000,0.000,0.001,0.000
TCGA-P5-A5F1-01A,0.000,0.000,0.000,0.000,0.002,0.000,0.820,0.000,0.043,0.000,0.012,0.122,0.000,0.000,0.000,0.000
TCGA-P5-A72U-01A,0.000,0.000,0.002,0.000,0.001,0.001,0.597,0.004,0.129,0.099,0.030,0.136,0.000,0.000,0.000,0.000
TCGA-CS-4943-01A,0.000,0.000,0.000,0.000,0.000,0.001,0.863,0.001,0.031,0.000,0.008,0.096,0.000,0.000,0.000,0.000
TCGA-P5-A5EW-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.832,0.000,0.036,0.000,0.006,0.125,0.000,0.000,0.001,0.000
TCGA-E1-5322-01A,0.000,0.000,0.001,0.000,0.000,0.001,0.722,0.000,0.035,0.000,0.002,0.237,0.000,0.000,0.002,0.000
TCGA-HT-A4DS-01A,0.000,0.000,0.000,0.000,0.003,0.000,0.755,0.013,0.032,0.001,0.005,0.189,0.001,0.000,0.001,0.000
TCGA-FG-7634-01A,0.000,0.000,0.001,0.000,0.000,0.010,0.682,0.007,0.085,0.001,0.052,0.161,0.000,0.000,0.000,0.000
TCGA-DU-7306-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.832,0.000,0.043,0.000,0.013,0.110,0.000,0.000,0.000,0.000
TCGA-FG-7636-01A,0.000,0.001,0.000,0.000,0.001,0.001,0.876,0.011,0.022,0.000,0.015,0.072,0.000,0.000,0.001,0.000
TCGA-S9-A7J3-01A,0.000,0.000,0.001,0.000,0.001,0.003,0.814,0.010,0.060,0.000,0.038,0.072,0.000,0.000,0.001,0.000
TCGA-DU-A6S7-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.809,0.000,0.031,0.000,0.015,0.143,0.000,0.000,0.001,0.000
TCGA-DU-6396-01A,0.001,0.000,0.002,0.000,0.000,0.001,0.483,0.021,0.052,0.000,0.003,0.428,0.000,0.006,0.002,0.000
TCGA-S9-A7QW-01A,0.000,0.000,0.000,0.000,0.001,0.001,0.957,0.001,0.010,0.000,0.007,0.022,0.000,0.000,0.000,0.000
TCGA-FG-7643-01A,0.000,0.000,0.001,0.000,0.013,0.007,0.824,0.014,0.047,0.000,0.041,0.050,0.001,0.000,0.002,0.000
TCGA-S9-A7R4-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.685,0.002,0.104,0.000,0.045,0.164,0.000,0.000,0.000,0.000
TCGA-DU-A6S8-01A,0.000,0.000,0.000,0.000,0.002,0.003,0.926,0.005,0.025,0.000,0.015,0.023,0.000,0.000,0.000,0.000
