,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-94-7943-01A,0.006,0.000,0.006,0.002,0.012,0.000,0.818,0.013,0.015,0.049,0.012,0.062,0.003,0.000,0.000,0.000
TCGA-68-8251-01A,0.008,0.007,0.015,0.032,0.001,0.000,0.662,0.031,0.026,0.163,0.001,0.051,0.001,0.002,0.000,0.000
TCGA-33-A5GW-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.954,0.006,0.025,0.002,0.002,0.008,0.001,0.000,0.000,0.000
TCGA-85-8070-01A,0.017,0.000,0.001,0.006,0.000,0.000,0.937,0.004,0.010,0.008,0.009,0.007,0.001,0.000,0.001,0.000
TCGA-85-8479-01A,0.000,0.000,0.000,0.008,0.000,0.000,0.922,0.007,0.034,0.002,0.020,0.001,0.001,0.000,0.005,0.000
TCGA-22-5482-01A,0.005,0.000,0.003,0.004,0.000,0.000,0.837,0.009,0.022,0.086,0.003,0.028,0.000,0.000,0.000,0.000
TCGA-21-1077-01A,0.038,0.000,0.005,0.007,0.001,0.000,0.733,0.017,0.024,0.106,0.010,0.055,0.002,0.000,0.000,0.000
TCGA-43-6773-01A,0.084,0.019,0.012,0.010,0.017,0.000,0.397,0.007,0.081,0.200,0.035,0.132,0.004,0.000,0.001,0.001
TCGA-34-8455-01A,0.019,0.000,0.003,0.012,0.002,0.000,0.785,0.000,0.067,0.061,0.017,0.024,0.002,0.000,0.007,0.000
TCGA-85-7950-01A,0.002,0.010,0.053,0.022,0.017,0.001,0.594,0.019,0.038,0.189,0.002,0.049,0.001,0.002,0.000,0.000
TCGA-60-2715-01A,0.014,0.001,0.022,0.009,0.009,0.001,0.352,0.048,0.100,0.235,0.032,0.165,0.004,0.002,0.004,0.001
TCGA-85-A5B5-01A,0.002,0.004,0.002,0.007,0.000,0.000,0.821,0.012,0.013,0.103,0.001,0.034,0.000,0.000,0.000,0.000
TCGA-33-4583-01A,0.001,0.000,0.000,0.029,0.000,0.000,0.936,0.000,0.007,0.010,0.002,0.013,0.001,0.000,0.000,0.001
TCGA-60-2725-01A,0.019,0.003,0.013,0.008,0.013,0.000,0.531,0.026,0.056,0.144,0.015,0.148,0.004,0.003,0.009,0.007
TCGA-85-8072-01A,0.018,0.004,0.002,0.020,0.005,0.000,0.739,0.019,0.034,0.068,0.002,0.083,0.004,0.001,0.001,0.000
