,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-IB-AAUW-01A,0.014,0.010,0.006,0.001,0.004,0.000,0.436,0.029,0.124,0.236,0.053,0.074,0.012,0.000,0.001,0.000
TCGA-LB-A8F3-01A,0.005,0.000,0.004,0.000,0.000,0.000,0.735,0.002,0.036,0.177,0.004,0.029,0.003,0.003,0.002,0.000
TCGA-HV-A5A5-01A,0.006,0.000,0.018,0.000,0.000,0.000,0.455,0.021,0.083,0.270,0.027,0.115,0.004,0.000,0.000,0.000
TCGA-US-A77E-01A,0.001,0.000,0.002,0.003,0.000,0.000,0.545,0.003,0.033,0.362,0.001,0.046,0.002,0.000,0.000,0.000
TCGA-3A-A9IX-01A,0.012,0.016,0.024,0.000,0.015,0.003,0.309,0.062,0.079,0.379,0.018,0.073,0.008,0.001,0.000,0.001
TCGA-HZ-A4BH-01A,0.005,0.009,0.020,0.005,0.005,0.000,0.369,0.028,0.120,0.322,0.034,0.076,0.005,0.000,0.000,0.000
TCGA-HZ-A49G-01A,0.010,0.000,0.014,0.001,0.006,0.000,0.379,0.039,0.053,0.314,0.007,0.168,0.008,0.001,0.000,0.000
TCGA-IB-8126-01A,0.020,0.013,0.011,0.001,0.020,0.006,0.325,0.031,0.110,0.341,0.027,0.085,0.006,0.000,0.003,0.000
TCGA-FB-A5VM-01A,0.003,0.005,0.010,0.001,0.005,0.000,0.512,0.039,0.071,0.264,0.016,0.070,0.003,0.000,0.001,0.001
TCGA-HV-AA8V-01A,0.011,0.000,0.003,0.003,0.000,0.000,0.303,0.013,0.033,0.517,0.003,0.109,0.005,0.001,0.000,0.000
TCGA-IB-7891-01A,0.020,0.000,0.022,0.000,0.009,0.000,0.352,0.055,0.061,0.328,0.012,0.133,0.006,0.000,0.000,0.000
TCGA-FB-A545-01A,0.005,0.000,0.001,0.007,0.000,0.000,0.646,0.005,0.060,0.262,0.003,0.004,0.006,0.000,0.000,0.000
TCGA-FB-A7DR-01A,0.006,0.000,0.002,0.001,0.000,0.000,0.352,0.009,0.085,0.349,0.102,0.084,0.006,0.001,0.001,0.000
