,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-HQ-A5NE-01A,0.002,0.000,0.008,0.000,0.000,0.000,0.785,0.010,0.059,0.077,0.017,0.024,0.010,0.000,0.009,0.000
TCGA-FD-A5BT-01A,0.008,0.000,0.013,0.023,0.002,0.000,0.272,0.014,0.038,0.427,0.014,0.184,0.000,0.000,0.003,0.001
TCGA-DK-A3IQ-01A,0.002,0.000,0.003,0.000,0.000,0.000,0.189,0.004,0.061,0.631,0.054,0.048,0.009,0.000,0.000,0.000
TCGA-ZF-AA4X-01A,0.000,0.000,0.001,0.006,0.000,0.000,0.939,0.030,0.008,0.000,0.004,0.010,0.000,0.000,0.000,0.000
TCGA-GD-A3OQ-01A,0.000,0.000,0.006,0.002,0.000,0.000,0.933,0.002,0.020,0.025,0.001,0.007,0.002,0.000,0.001,0.000
TCGA-ZF-AA51-01A,0.027,0.000,0.028,0.007,0.000,0.000,0.663,0.015,0.039,0.083,0.007,0.101,0.001,0.000,0.010,0.017
TCGA-FD-A3SS-01A,0.000,0.000,0.000,0.005,0.000,0.000,0.925,0.000,0.015,0.010,0.022,0.020,0.000,0.000,0.002,0.000
TCGA-DK-AA71-01A,0.000,0.000,0.005,0.008,0.000,0.000,0.920,0.000,0.022,0.017,0.005,0.021,0.000,0.000,0.001,0.000
TCGA-4Z-AA83-01A,0.000,0.000,0.002,0.007,0.000,0.000,0.848,0.015,0.045,0.005,0.043,0.033,0.001,0.000,0.001,0.001
TCGA-ZF-A9R4-01A,0.001,0.000,0.000,0.014,0.000,0.000,0.933,0.000,0.019,0.000,0.004,0.029,0.000,0.000,0.000,0.000
TCGA-BT-A20P-01A,0.000,0.000,0.000,0.003,0.000,0.000,0.945,0.000,0.022,0.001,0.020,0.008,0.000,0.000,0.000,0.000
TCGA-HQ-A2OE-01A,0.001,0.000,0.003,0.000,0.004,0.000,0.952,0.006,0.016,0.000,0.004,0.010,0.000,0.000,0.001,0.002
TCGA-R3-A69X-01A,0.008,0.005,0.025,0.005,0.000,0.000,0.598,0.031,0.068,0.111,0.053,0.084,0.005,0.000,0.006,0.002
TCGA-BT-A3PH-01A,0.003,0.000,0.000,0.001,0.000,0.000,0.915,0.000,0.030,0.014,0.012,0.022,0.000,0.000,0.002,0.000
TCGA-UY-A9PA-01A,0.000,0.000,0.004,0.021,0.000,0.000,0.879,0.027,0.030,0.000,0.001,0.030,0.007,0.000,0.000,0.000
TCGA-BL-A13J-01B,0.013,0.001,0.010,0.025,0.001,0.001,0.667,0.012,0.028,0.118,0.073,0.024,0.017,0.000,0.010,0.001
TCGA-CF-A3MI-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.902,0.004,0.053,0.000,0.026,0.012,0.000,0.000,0.001,0.000
TCGA-XF-AAMW-01A,0.001,0.000,0.010,0.004,0.000,0.000,0.790,0.011,0.046,0.073,0.009,0.049,0.000,0.000,0.007,0.000
TCGA-H4-A2HQ-01A,0.010,0.000,0.004,0.006,0.001,0.000,0.923,0.001,0.023,0.004,0.010,0.016,0.001,0.000,0.000,0.000
TCGA-HQ-A5ND-01A,0.000,0.000,0.004,0.005,0.000,0.000,0.963,0.000,0.015,0.001,0.009,0.002,0.000,0.000,0.001,0.000
TCGA-K4-A6FZ-01A,0.000,0.000,0.009,0.004,0.000,0.000,0.853,0.018,0.054,0.003,0.003,0.036,0.007,0.000,0.012,0.001
TCGA-DK-A3IV-01A,0.002,0.023,0.066,0.023,0.001,0.000,0.766,0.042,0.012,0.003,0.006,0.049,0.001,0.000,0.006,0.001
TCGA-E7-A3X6-01A,0.001,0.000,0.017,0.049,0.000,0.000,0.791,0.003,0.054,0.015,0.014,0.042,0.000,0.000,0.013,0.000
TCGA-BT-A42F-01A,0.045,0.000,0.008,0.016,0.001,0.000,0.755,0.015,0.040,0.001,0.020,0.086,0.000,0.000,0.011,0.001
TCGA-UY-A8OB-01A,0.000,0.000,0.004,0.026,0.000,0.000,0.920,0.002,0.011,0.003,0.003,0.030,0.000,0.000,0.002,0.000
TCGA-DK-A1A3-01A,0.010,0.000,0.008,0.003,0.000,0.000,0.729,0.013,0.035,0.096,0.015,0.088,0.001,0.000,0.000,0.000
TCGA-DK-AA6X-01A,0.001,0.001,0.027,0.001,0.003,0.000,0.747,0.056,0.039,0.030,0.013,0.074,0.003,0.000,0.005,0.000
TCGA-G2-A3IE-01A,0.006,0.000,0.000,0.000,0.000,0.000,0.931,0.000,0.016,0.000,0.003,0.043,0.000,0.000,0.000,0.000
TCGA-FD-A5BU-01A,0.006,0.000,0.013,0.003,0.000,0.000,0.657,0.016,0.058,0.123,0.045,0.050,0.000,0.000,0.027,0.001
TCGA-C4-A0EZ-01A,0.000,0.000,0.014,0.000,0.006,0.001,0.887,0.006,0.044,0.001,0.030,0.011,0.000,0.000,0.000,0.000
TCGA-FD-A3B3-01A,0.020,0.001,0.027,0.037,0.001,0.000,0.513,0.020,0.069,0.161,0.041,0.072,0.001,0.000,0.020,0.016
TCGA-FD-A5BZ-01A,0.011,0.000,0.008,0.000,0.000,0.000,0.469,0.003,0.044,0.373,0.038,0.042,0.011,0.000,0.001,0.000
TCGA-C4-A0F7-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.859,0.001,0.085,0.015,0.028,0.007,0.000,0.000,0.000,0.002
TCGA-XF-AAMR-01A,0.000,0.000,0.005,0.001,0.000,0.000,0.474,0.010,0.095,0.161,0.144,0.091,0.014,0.000,0.003,0.000
TCGA-XF-AAN7-01A,0.000,0.000,0.003,0.001,0.000,0.000,0.557,0.002,0.140,0.161,0.104,0.030,0.000,0.000,0.002,0.000
TCGA-UY-A8OD-01A,0.007,0.000,0.009,0.008,0.000,0.000,0.627,0.007,0.034,0.153,0.066,0.087,0.001,0.000,0.001,0.000
TCGA-FD-A3SP-01A,0.005,0.000,0.013,0.013,0.004,0.000,0.279,0.028,0.053,0.420,0.028,0.145,0.003,0.000,0.006,0.001
TCGA-DK-A2HX-01A,0.001,0.000,0.006,0.000,0.000,0.000,0.578,0.010,0.050,0.261,0.037,0.055,0.002,0.000,0.000,0.000
TCGA-CF-A8HX-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.984,0.000,0.006,0.000,0.009,0.000,0.000,0.000,0.000,0.000
TCGA-E7-A85H-01A,0.004,0.000,0.019,0.020,0.001,0.000,0.823,0.005,0.018,0.040,0.010,0.059,0.000,0.000,0.001,0.000
TCGA-ZF-A9RL-01A,0.000,0.000,0.000,0.004,0.000,0.000,0.971,0.000,0.017,0.000,0.005,0.003,0.000,0.000,0.000,0.000
TCGA-UY-A9PB-01A,0.026,0.000,0.031,0.041,0.000,0.000,0.477,0.009,0.044,0.204,0.015,0.148,0.001,0.000,0.002,0.001
TCGA-GV-A3JV-01A,0.008,0.001,0.025,0.003,0.000,0.000,0.772,0.016,0.043,0.062,0.023,0.041,0.006,0.000,0.001,0.000
