,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-C8-A278-01A,0.049,0.000,0.021,0.003,0.025,0.000,0.555,0.016,0.032,0.152,0.003,0.133,0.005,0.000,0.006,0.000
TCGA-A7-A425-01A,0.002,0.000,0.002,0.000,0.011,0.000,0.571,0.029,0.070,0.168,0.029,0.103,0.005,0.001,0.009,0.000
TCGA-E2-A15H-01A,0.008,0.000,0.001,0.008,0.001,0.000,0.748,0.016,0.025,0.146,0.007,0.039,0.001,0.000,0.001,0.000
TCGA-A8-A06N-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.916,0.006,0.018,0.000,0.014,0.042,0.000,0.000,0.000,0.000
TCGA-E2-A570-01A,0.001,0.000,0.003,0.000,0.010,0.000,0.542,0.016,0.042,0.303,0.021,0.050,0.009,0.000,0.001,0.000
TCGA-BH-A1FL-01A,0.000,0.011,0.007,0.000,0.024,0.000,0.659,0.018,0.066,0.136,0.024,0.046,0.008,0.000,0.001,0.000
TCGA-E2-A56Z-01A,0.001,0.000,0.007,0.002,0.003,0.000,0.815,0.009,0.039,0.079,0.023,0.022,0.000,0.000,0.000,0.000
TCGA-E9-A1RI-01A,0.003,0.000,0.007,0.000,0.011,0.000,0.493,0.015,0.037,0.339,0.017,0.071,0.006,0.000,0.001,0.000
TCGA-BH-A0DP-01A,0.004,0.000,0.008,0.000,0.020,0.000,0.496,0.035,0.061,0.274,0.005,0.084,0.008,0.000,0.003,0.000
TCGA-AR-A0U3-01A,0.001,0.000,0.005,0.004,0.001,0.000,0.822,0.013,0.044,0.067,0.010,0.031,0.000,0.000,0.000,0.000
TCGA-BH-A18L-01A,0.000,0.000,0.006,0.000,0.009,0.000,0.868,0.002,0.038,0.008,0.020,0.046,0.000,0.000,0.003,0.000
TCGA-A7-A3J1-01A,0.005,0.018,0.016,0.003,0.040,0.000,0.431,0.079,0.091,0.185,0.026,0.093,0.007,0.000,0.003,0.000
TCGA-AC-A6IW-01A,0.002,0.000,0.024,0.001,0.020,0.000,0.607,0.099,0.018,0.038,0.010,0.179,0.000,0.000,0.001,0.000
TCGA-AC-A3YI-01A,0.005,0.000,0.002,0.001,0.014,0.000,0.411,0.026,0.106,0.339,0.025,0.055,0.008,0.000,0.001,0.006
TCGA-D8-A1XG-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.717,0.010,0.025,0.139,0.070,0.037,0.000,0.000,0.002,0.000
TCGA-A8-A082-01A,0.000,0.000,0.000,0.000,0.002,0.000,0.760,0.006,0.023,0.115,0.003,0.085,0.003,0.000,0.001,0.000
TCGA-OL-A5RU-01A,0.039,0.029,0.021,0.000,0.036,0.000,0.561,0.062,0.068,0.106,0.026,0.045,0.004,0.000,0.001,0.000
TCGA-BH-A0HA-01A,0.009,0.000,0.016,0.000,0.020,0.000,0.453,0.036,0.065,0.309,0.022,0.064,0.005,0.000,0.001,0.000
TCGA-A2-A3XS-01A,0.012,0.003,0.006,0.001,0.014,0.000,0.716,0.027,0.060,0.103,0.022,0.034,0.001,0.000,0.002,0.000
TCGA-A2-A0ES-01A,0.001,0.000,0.009,0.000,0.015,0.000,0.490,0.035,0.124,0.214,0.050,0.053,0.009,0.000,0.001,0.000
TCGA-B6-A0RN-01A,0.001,0.000,0.004,0.000,0.012,0.000,0.533,0.018,0.031,0.354,0.003,0.040,0.003,0.000,0.000,0.000
TCGA-BH-A2L8-01A,0.007,0.010,0.031,0.002,0.053,0.000,0.457,0.074,0.030,0.225,0.005,0.094,0.009,0.000,0.002,0.000
TCGA-E2-A108-01A,0.009,0.002,0.021,0.006,0.045,0.000,0.256,0.054,0.128,0.259,0.035,0.155,0.010,0.001,0.017,0.002
TCGA-AN-A046-01A,0.000,0.000,0.017,0.001,0.030,0.000,0.608,0.031,0.032,0.168,0.012,0.099,0.000,0.000,0.000,0.000
TCGA-E2-A576-01A,0.004,0.000,0.004,0.000,0.016,0.000,0.806,0.008,0.031,0.082,0.017,0.027,0.004,0.000,0.001,0.000
TCGA-A2-A3XX-01A,0.026,0.002,0.011,0.005,0.018,0.000,0.709,0.014,0.037,0.102,0.026,0.046,0.000,0.000,0.002,0.000
TCGA-C8-A137-01A,0.000,0.000,0.003,0.000,0.008,0.000,0.808,0.001,0.025,0.127,0.000,0.026,0.000,0.000,0.001,0.000
TCGA-A7-A4SC-01A,0.004,0.000,0.003,0.001,0.020,0.000,0.517,0.034,0.078,0.257,0.026,0.045,0.012,0.000,0.004,0.000
TCGA-E2-A15M-01A,0.001,0.013,0.031,0.001,0.040,0.000,0.394,0.050,0.130,0.193,0.026,0.108,0.006,0.000,0.006,0.000
TCGA-A8-A08I-01A,0.020,0.000,0.010,0.042,0.079,0.000,0.556,0.044,0.008,0.052,0.004,0.171,0.002,0.000,0.010,0.001
TCGA-AC-A2FF-01A,0.018,0.008,0.016,0.000,0.026,0.000,0.336,0.047,0.137,0.307,0.033,0.058,0.009,0.000,0.004,0.000
TCGA-E2-A1L6-01A,0.000,0.000,0.003,0.001,0.009,0.000,0.605,0.029,0.067,0.184,0.037,0.055,0.004,0.000,0.004,0.000
TCGA-A7-A13E-01B,0.015,0.036,0.006,0.057,0.013,0.064,0.452,0.041,0.040,0.140,0.056,0.058,0.011,0.000,0.007,0.003
TCGA-AR-A24S-01A,0.000,0.000,0.015,0.007,0.001,0.000,0.459,0.034,0.053,0.214,0.022,0.192,0.001,0.000,0.001,0.000
TCGA-E2-A155-01A,0.000,0.000,0.000,0.000,0.004,0.000,0.898,0.018,0.020,0.031,0.005,0.020,0.001,0.000,0.001,0.000
TCGA-C8-A12M-01A,0.008,0.000,0.008,0.000,0.027,0.000,0.799,0.015,0.080,0.024,0.025,0.013,0.002,0.000,0.001,0.000
TCGA-E2-A14W-01A,0.000,0.000,0.000,0.000,0.001,0.000,0.871,0.004,0.009,0.083,0.003,0.028,0.000,0.000,0.001,0.000
TCGA-B6-A0RQ-01A,0.000,0.000,0.002,0.000,0.007,0.000,0.700,0.016,0.079,0.122,0.042,0.023,0.006,0.000,0.001,0.000
TCGA-EW-A1IW-01A,0.000,0.004,0.008,0.003,0.016,0.000,0.628,0.027,0.062,0.160,0.028,0.055,0.005,0.000,0.003,0.001
TCGA-A1-A0SM-01A,0.000,0.000,0.002,0.001,0.002,0.000,0.559,0.028,0.031,0.283,0.016,0.072,0.003,0.000,0.003,0.000
