,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-C5-A7UI-01A,0.042,0.000,0.052,0.030,0.003,0.000,0.747,0.013,0.027,0.013,0.013,0.045,0.000,0.000,0.012,0.003
TCGA-C5-A902-01A,0.000,0.000,0.000,0.156,0.000,0.000,0.751,0.014,0.039,0.002,0.006,0.027,0.000,0.003,0.000,0.000
TCGA-DS-A1OB-01A,0.000,0.000,0.012,0.001,0.006,0.000,0.892,0.001,0.018,0.001,0.006,0.062,0.000,0.000,0.000,0.000
TCGA-Q1-A6DW-01A,0.000,0.000,0.000,0.039,0.000,0.000,0.858,0.022,0.059,0.005,0.007,0.010,0.000,0.000,0.001,0.000
TCGA-EK-A2R7-01A,0.026,0.000,0.013,0.031,0.001,0.000,0.817,0.022,0.026,0.028,0.002,0.031,0.000,0.000,0.002,0.000
TCGA-C5-A7X8-01A,0.041,0.000,0.006,0.010,0.002,0.000,0.651,0.014,0.041,0.198,0.008,0.024,0.003,0.000,0.002,0.000
TCGA-Q1-A5R3-01A,0.002,0.000,0.009,0.011,0.003,0.000,0.929,0.008,0.019,0.002,0.001,0.012,0.000,0.000,0.004,0.000
TCGA-C5-A7X5-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.956,0.000,0.027,0.004,0.001,0.011,0.000,0.000,0.000,0.000
TCGA-ZJ-A8QR-01A,0.002,0.000,0.000,0.004,0.000,0.000,0.901,0.010,0.038,0.004,0.002,0.007,0.000,0.000,0.030,0.000
TCGA-HM-A3JK-01A,0.008,0.000,0.014,0.000,0.002,0.000,0.576,0.046,0.056,0.228,0.022,0.041,0.002,0.000,0.002,0.000
TCGA-EA-A556-01A,0.001,0.000,0.001,0.006,0.011,0.000,0.806,0.001,0.023,0.115,0.015,0.017,0.003,0.000,0.002,0.000
TCGA-VS-A9V4-01A,0.001,0.000,0.000,0.005,0.000,0.000,0.947,0.003,0.008,0.002,0.014,0.006,0.001,0.000,0.010,0.002
TCGA-IR-A3L7-01A,0.000,0.000,0.000,0.012,0.000,0.000,0.930,0.006,0.008,0.028,0.006,0.009,0.000,0.000,0.001,0.000
TCGA-EK-A2RL-01A,0.000,0.000,0.000,0.021,0.001,0.000,0.927,0.008,0.017,0.013,0.000,0.011,0.000,0.000,0.001,0.000
TCGA-VS-A94X-01A,0.002,0.000,0.005,0.020,0.001,0.000,0.933,0.003,0.010,0.001,0.005,0.019,0.000,0.000,0.003,0.000
TCGA-VS-A9V3-01A,0.003,0.000,0.019,0.040,0.002,0.000,0.825,0.014,0.035,0.008,0.011,0.037,0.004,0.000,0.004,0.001
TCGA-EK-A2RO-01A,0.000,0.000,0.000,0.006,0.000,0.000,0.833,0.010,0.030,0.093,0.014,0.013,0.000,0.000,0.000,0.000
TCGA-JW-A5VJ-01A,0.002,0.000,0.001,0.007,0.029,0.000,0.885,0.004,0.028,0.002,0.003,0.027,0.000,0.000,0.001,0.012
TCGA-MA-AA42-01A,0.024,0.000,0.032,0.068,0.031,0.000,0.588,0.050,0.018,0.001,0.001,0.169,0.000,0.001,0.014,0.003
TCGA-C5-A1MK-01A,0.000,0.000,0.014,0.009,0.001,0.000,0.804,0.001,0.034,0.085,0.008,0.030,0.000,0.000,0.005,0.008
TCGA-UC-A7PG-01A,0.000,0.000,0.005,0.004,0.015,0.000,0.898,0.008,0.026,0.016,0.007,0.008,0.001,0.000,0.002,0.011
TCGA-VS-A9UH-01A,0.029,0.000,0.038,0.049,0.027,0.000,0.538,0.008,0.055,0.068,0.012,0.166,0.000,0.000,0.008,0.003
TCGA-4J-AA1J-01A,0.000,0.000,0.009,0.005,0.000,0.000,0.825,0.005,0.042,0.060,0.024,0.016,0.002,0.000,0.011,0.001
TCGA-C5-A1ME-01A,0.008,0.000,0.004,0.009,0.012,0.000,0.889,0.025,0.019,0.012,0.001,0.018,0.002,0.000,0.001,0.001
TCGA-C5-A8YR-01A,0.000,0.000,0.001,0.057,0.000,0.000,0.719,0.000,0.041,0.011,0.011,0.155,0.000,0.000,0.003,0.000
TCGA-EA-A5FO-01A,0.000,0.000,0.000,0.009,0.000,0.000,0.971,0.007,0.011,0.000,0.002,0.000,0.000,0.000,0.000,0.000
TCGA-MA-AA3Z-01A,0.001,0.000,0.015,0.087,0.000,0.000,0.810,0.038,0.020,0.000,0.003,0.025,0.000,0.000,0.001,0.001
TCGA-C5-A8XJ-01A,0.006,0.000,0.005,0.025,0.019,0.000,0.737,0.007,0.061,0.080,0.022,0.031,0.003,0.000,0.001,0.000
TCGA-R2-A69V-01A,0.007,0.000,0.021,0.067,0.020,0.000,0.571,0.058,0.032,0.020,0.006,0.175,0.001,0.000,0.020,0.002
TCGA-C5-A1BM-01A,0.004,0.000,0.020,0.031,0.000,0.000,0.753,0.032,0.033,0.001,0.001,0.121,0.000,0.000,0.003,0.001
TCGA-ZJ-AAXD-01A,0.000,0.000,0.000,0.010,0.011,0.000,0.850,0.008,0.025,0.064,0.022,0.004,0.000,0.000,0.004,0.001
