,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-32-2616-01A,0.000,0.000,0.002,0.000,0.002,0.000,0.780,0.000,0.014,0.000,0.012,0.184,0.000,0.000,0.005,0.000
TCGA-32-1980-01A,0.001,0.000,0.005,0.000,0.013,0.000,0.560,0.001,0.081,0.012,0.039,0.272,0.008,0.003,0.004,0.000
TCGA-28-2514-01A,0.000,0.000,0.000,0.000,0.010,0.000,0.768,0.009,0.079,0.000,0.026,0.095,0.006,0.000,0.004,0.000
TCGA-06-0644-01A,0.000,0.000,0.009,0.000,0.000,0.000,0.553,0.000,0.046,0.193,0.003,0.191,0.002,0.000,0.003,0.000
TCGA-06-1804-01A,0.001,0.000,0.002,0.000,0.012,0.000,0.796,0.008,0.059,0.004,0.010,0.087,0.006,0.001,0.014,0.000
TCGA-41-2571-01A,0.000,0.000,0.000,0.000,0.002,0.000,0.846,0.001,0.021,0.000,0.016,0.105,0.002,0.002,0.003,0.000
TCGA-19-2619-01A,0.000,0.000,0.000,0.000,0.002,0.000,0.813,0.000,0.062,0.003,0.036,0.070,0.005,0.000,0.007,0.000
TCGA-27-1837-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.737,0.006,0.058,0.010,0.019,0.162,0.003,0.000,0.003,0.000
TCGA-27-1832-01A,0.000,0.000,0.003,0.000,0.012,0.000,0.618,0.002,0.033,0.073,0.003,0.240,0.001,0.000,0.004,0.009
TCGA-06-0686-01A,0.000,0.000,0.002,0.000,0.002,0.000,0.766,0.007,0.051,0.002,0.033,0.133,0.002,0.000,0.002,0.000
TCGA-06-5856-01A,0.000,0.000,0.000,0.000,0.002,0.000,0.751,0.001,0.052,0.013,0.027,0.149,0.001,0.000,0.004,0.000
TCGA-28-1753-01A,0.000,0.000,0.000,0.000,0.008,0.000,0.518,0.008,0.079,0.058,0.034,0.285,0.003,0.000,0.005,0.000
