,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-CV-5442-01A,0.000,0.000,0.000,0.002,0.009,0.000,0.959,0.008,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.008
TCGA-CR-7392-01A,0.039,0.002,0.031,0.001,0.022,0.000,0.451,0.022,0.092,0.195,0.034,0.054,0.004,0.000,0.040,0.012
TCGA-UF-A71A-01A,0.000,0.000,0.000,0.000,0.003,0.000,0.752,0.007,0.040,0.135,0.027,0.033,0.001,0.000,0.001,0.000
TCGA-CN-A642-01A,0.000,0.000,0.003,0.038,0.000,0.000,0.808,0.019,0.046,0.021,0.010,0.054,0.000,0.000,0.002,0.000
TCGA-CV-A45U-01A,0.004,0.000,0.012,0.011,0.018,0.000,0.863,0.008,0.018,0.038,0.002,0.016,0.003,0.000,0.003,0.002
TCGA-CN-6012-01A,0.032,0.000,0.012,0.003,0.012,0.000,0.735,0.014,0.042,0.056,0.002,0.048,0.000,0.000,0.041,0.002
TCGA-CV-A45W-01A,0.094,0.001,0.014,0.001,0.022,0.000,0.628,0.014,0.039,0.065,0.018,0.083,0.002,0.000,0.014,0.005
TCGA-CV-A6K0-01B,0.001,0.000,0.037,0.001,0.023,0.000,0.551,0.071,0.081,0.163,0.024,0.033,0.003,0.000,0.007,0.005
TCGA-QK-A6VB-01A,0.000,0.000,0.003,0.000,0.001,0.000,0.906,0.001,0.023,0.035,0.010,0.015,0.000,0.000,0.006,0.000
TCGA-CV-6959-01A,0.007,0.000,0.010,0.004,0.001,0.000,0.686,0.019,0.112,0.051,0.033,0.041,0.001,0.000,0.012,0.024
TCGA-HD-7832-01A,0.000,0.000,0.011,0.030,0.001,0.000,0.868,0.000,0.031,0.012,0.003,0.042,0.000,0.000,0.001,0.000
TCGA-CV-7255-01A,0.000,0.000,0.002,0.001,0.002,0.000,0.914,0.001,0.031,0.028,0.006,0.005,0.003,0.000,0.007,0.001
TCGA-CR-5243-01A,0.033,0.000,0.031,0.024,0.025,0.000,0.641,0.027,0.060,0.112,0.010,0.019,0.002,0.000,0.016,0.001
TCGA-P3-A6T5-01A,0.001,0.000,0.007,0.001,0.001,0.000,0.855,0.013,0.039,0.050,0.002,0.018,0.000,0.000,0.011,0.001
TCGA-CV-6952-01A,0.005,0.000,0.011,0.011,0.004,0.000,0.817,0.016,0.058,0.011,0.011,0.016,0.001,0.000,0.025,0.015
TCGA-D6-A6ES-01A,0.000,0.000,0.003,0.000,0.002,0.000,0.916,0.002,0.024,0.000,0.001,0.025,0.000,0.000,0.020,0.006
TCGA-CN-5366-01A,0.000,0.000,0.005,0.013,0.016,0.000,0.733,0.002,0.068,0.096,0.019,0.042,0.000,0.000,0.004,0.001
TCGA-CQ-6223-01A,0.003,0.000,0.008,0.003,0.021,0.000,0.885,0.007,0.030,0.001,0.001,0.025,0.001,0.000,0.013,0.002
TCGA-F7-7848-01A,0.017,0.001,0.020,0.000,0.017,0.000,0.713,0.020,0.065,0.064,0.008,0.021,0.001,0.000,0.041,0.012
TCGA-CV-A6JM-01A,0.007,0.000,0.004,0.000,0.002,0.000,0.908,0.000,0.024,0.002,0.007,0.036,0.000,0.000,0.005,0.005
TCGA-CN-5359-01A,0.003,0.000,0.028,0.005,0.025,0.000,0.500,0.020,0.061,0.193,0.020,0.078,0.005,0.000,0.047,0.016
TCGA-P3-A5QA-01A,0.004,0.000,0.001,0.005,0.000,0.000,0.684,0.008,0.044,0.174,0.070,0.006,0.000,0.000,0.003,0.000
TCGA-CN-4734-01A,0.000,0.000,0.018,0.057,0.000,0.000,0.747,0.022,0.058,0.045,0.006,0.035,0.001,0.000,0.008,0.001
TCGA-CV-6441-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.938,0.015,0.014,0.013,0.008,0.009,0.000,0.000,0.001,0.001
TCGA-CV-A6JY-01A,0.004,0.000,0.005,0.000,0.007,0.001,0.899,0.005,0.049,0.001,0.003,0.006,0.002,0.000,0.009,0.009
TCGA-D6-6825-01A,0.002,0.000,0.039,0.023,0.034,0.000,0.626,0.026,0.078,0.064,0.004,0.061,0.004,0.000,0.030,0.011
TCGA-CR-5247-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.695,0.002,0.030,0.255,0.002,0.012,0.000,0.000,0.000,0.000
TCGA-CV-7410-01A,0.013,0.133,0.078,0.007,0.023,0.001,0.384,0.057,0.107,0.090,0.025,0.054,0.004,0.000,0.020,0.004
TCGA-CV-7091-01A,0.000,0.000,0.018,0.004,0.006,0.000,0.794,0.018,0.043,0.085,0.004,0.022,0.002,0.000,0.004,0.001
TCGA-BA-5153-01A,0.027,0.000,0.035,0.072,0.007,0.000,0.676,0.038,0.049,0.036,0.005,0.038,0.001,0.000,0.014,0.001
TCGA-CV-7428-01A,0.000,0.000,0.012,0.018,0.022,0.000,0.778,0.022,0.049,0.040,0.014,0.040,0.000,0.000,0.001,0.002
TCGA-CX-7086-01A,0.003,0.000,0.008,0.000,0.016,0.000,0.875,0.011,0.042,0.003,0.005,0.008,0.001,0.000,0.004,0.024
TCGA-CN-5364-01A,0.000,0.000,0.011,0.010,0.000,0.000,0.785,0.017,0.060,0.057,0.004,0.053,0.000,0.000,0.002,0.001
TCGA-BA-A6DB-01A,0.005,0.000,0.031,0.001,0.028,0.000,0.606,0.056,0.060,0.106,0.022,0.043,0.005,0.001,0.016,0.021
TCGA-CQ-5325-01A,0.046,0.000,0.025,0.034,0.020,0.000,0.483,0.049,0.071,0.118,0.026,0.078,0.001,0.000,0.013,0.035
TCGA-CN-4731-01A,0.002,0.000,0.009,0.004,0.000,0.000,0.742,0.026,0.026,0.165,0.000,0.021,0.001,0.000,0.003,0.001
TCGA-CV-7427-01A,0.000,0.000,0.040,0.035,0.012,0.000,0.708,0.044,0.072,0.004,0.000,0.051,0.000,0.000,0.005,0.029
TCGA-CR-6467-01A,0.024,0.041,0.034,0.024,0.044,0.000,0.682,0.048,0.033,0.029,0.005,0.029,0.001,0.000,0.004,0.002
TCGA-CV-7183-01A,0.000,0.000,0.002,0.001,0.001,0.000,0.903,0.004,0.054,0.010,0.000,0.001,0.004,0.000,0.006,0.013
TCGA-CV-A6JN-01A,0.000,0.000,0.006,0.005,0.001,0.000,0.888,0.016,0.040,0.000,0.004,0.011,0.000,0.000,0.020,0.007
TCGA-D6-A6EN-01A,0.000,0.000,0.016,0.039,0.002,0.000,0.807,0.021,0.033,0.001,0.001,0.074,0.000,0.000,0.006,0.001
TCGA-CQ-A4C7-01A,0.000,0.000,0.010,0.003,0.003,0.000,0.661,0.008,0.071,0.177,0.036,0.026,0.000,0.000,0.002,0.001
TCGA-CV-5435-01A,0.000,0.000,0.002,0.000,0.002,0.000,0.801,0.009,0.037,0.123,0.004,0.021,0.001,0.000,0.000,0.000
TCGA-CR-7370-01A,0.006,0.000,0.007,0.003,0.010,0.000,0.738,0.004,0.045,0.107,0.033,0.033,0.004,0.000,0.010,0.000
TCGA-CN-4722-01A,0.012,0.000,0.011,0.000,0.011,0.000,0.741,0.008,0.084,0.066,0.027,0.013,0.004,0.000,0.004,0.017
