,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-4T-AA8H-01A,0.007,0.000,0.000,0.002,0.001,0.000,0.964,0.007,0.005,0.000,0.001,0.012,0.000,0.000,0.000,0.000
TCGA-AA-A00Q-01A,0.004,0.000,0.003,0.005,0.001,0.000,0.904,0.009,0.026,0.018,0.002,0.027,0.001,0.000,0.000,0.000
TCGA-AZ-4614-01A,0.000,0.000,0.002,0.012,0.002,0.000,0.961,0.001,0.010,0.002,0.000,0.009,0.000,0.000,0.001,0.000
TCGA-A6-2675-01A,0.009,0.000,0.011,0.001,0.002,0.000,0.699,0.007,0.050,0.125,0.009,0.079,0.003,0.000,0.003,0.000
TCGA-AA-A00U-01A,0.000,0.000,0.004,0.008,0.001,0.000,0.932,0.007,0.020,0.009,0.006,0.013,0.000,0.000,0.001,0.000
TCGA-A6-6781-01A,0.013,0.000,0.002,0.023,0.010,0.000,0.543,0.002,0.054,0.231,0.011,0.097,0.003,0.000,0.008,0.002
TCGA-CM-6169-01A,0.017,0.000,0.026,0.013,0.003,0.000,0.564,0.036,0.092,0.135,0.019,0.090,0.002,0.000,0.001,0.001
TCGA-AA-3516-01A,0.008,0.000,0.009,0.008,0.012,0.000,0.869,0.015,0.025,0.014,0.003,0.032,0.001,0.000,0.001,0.001
TCGA-AA-3552-01A,0.034,0.000,0.012,0.003,0.003,0.000,0.780,0.041,0.036,0.017,0.015,0.053,0.003,0.000,0.003,0.001
TCGA-D5-6931-01A,0.024,0.000,0.022,0.002,0.008,0.000,0.789,0.011,0.025,0.065,0.001,0.047,0.005,0.000,0.001,0.000
TCGA-SS-A7HO-01A,0.000,0.000,0.001,0.007,0.000,0.000,0.904,0.002,0.034,0.023,0.015,0.010,0.001,0.000,0.002,0.000
TCGA-AZ-6605-01A,0.022,0.000,0.023,0.003,0.001,0.000,0.564,0.020,0.073,0.204,0.021,0.063,0.003,0.000,0.001,0.000
TCGA-CA-6717-01A,0.020,0.011,0.017,0.006,0.006,0.000,0.636,0.037,0.055,0.101,0.029,0.074,0.005,0.000,0.001,0.001
TCGA-NH-A8F7-01A,0.001,0.000,0.000,0.004,0.000,0.000,0.957,0.002,0.013,0.001,0.006,0.012,0.003,0.000,0.002,0.000
TCGA-AD-6965-01A,0.002,0.000,0.007,0.009,0.005,0.000,0.873,0.003,0.034,0.032,0.013,0.020,0.001,0.000,0.001,0.000
TCGA-AA-A02H-01A,0.007,0.000,0.004,0.005,0.000,0.000,0.896,0.007,0.030,0.022,0.004,0.022,0.001,0.000,0.001,0.000
TCGA-AA-A022-01A,0.020,0.000,0.003,0.059,0.014,0.000,0.774,0.002,0.024,0.035,0.000,0.066,0.001,0.000,0.002,0.000
TCGA-AA-3680-01A,0.021,0.000,0.012,0.008,0.004,0.000,0.826,0.023,0.033,0.014,0.011,0.044,0.002,0.000,0.001,0.000
TCGA-A6-6650-01A,0.019,0.000,0.006,0.005,0.000,0.000,0.908,0.004,0.024,0.001,0.009,0.021,0.002,0.000,0.000,0.000
TCGA-G4-6311-01A,0.005,0.023,0.003,0.002,0.003,0.000,0.787,0.002,0.024,0.096,0.004,0.047,0.003,0.000,0.001,0.000
TCGA-A6-2677-01B,0.009,0.006,0.008,0.024,0.001,0.025,0.707,0.023,0.058,0.070,0.033,0.022,0.012,0.000,0.001,0.000
TCGA-AA-3815-01A,0.015,0.000,0.016,0.036,0.007,0.000,0.792,0.014,0.019,0.017,0.006,0.072,0.002,0.000,0.003,0.000
TCGA-CK-4951-01A,0.001,0.000,0.027,0.013,0.000,0.000,0.755,0.019,0.028,0.096,0.005,0.050,0.000,0.000,0.003,0.000
TCGA-CK-6748-01A,0.000,0.000,0.009,0.000,0.000,0.000,0.730,0.008,0.040,0.140,0.006,0.066,0.000,0.000,0.000,0.000
TCGA-CA-5255-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.962,0.005,0.004,0.001,0.001,0.020,0.003,0.000,0.000,0.000
TCGA-CK-4952-01A,0.004,0.000,0.002,0.003,0.000,0.000,0.926,0.001,0.018,0.021,0.000,0.017,0.000,0.000,0.007,0.000
TCGA-AZ-4315-01A,0.003,0.000,0.002,0.007,0.001,0.000,0.914,0.009,0.013,0.008,0.005,0.036,0.000,0.000,0.000,0.000
TCGA-AA-3869-01A,0.004,0.000,0.006,0.011,0.001,0.000,0.856,0.014,0.024,0.020,0.006,0.053,0.002,0.000,0.002,0.000
TCGA-G4-6626-01A,0.000,0.000,0.001,0.013,0.001,0.000,0.938,0.003,0.018,0.004,0.004,0.014,0.002,0.000,0.001,0.000
TCGA-DM-A1D7-01A,0.003,0.000,0.001,0.005,0.000,0.000,0.939,0.004,0.017,0.004,0.003,0.022,0.001,0.000,0.000,0.000
TCGA-AA-3531-01A,0.007,0.000,0.002,0.005,0.000,0.000,0.927,0.008,0.015,0.011,0.007,0.016,0.001,0.000,0.001,0.000
TCGA-A6-5662-01A,0.000,0.000,0.001,0.005,0.000,0.000,0.868,0.003,0.036,0.051,0.009,0.025,0.001,0.000,0.001,0.000
